speaker,timestamp,End Time,words
Sam Schrager,00;00;00;00,00;00;22;07,"This conversation with Walt Curran took place at his home in Genesee on March 17th, 1976. The interviewer was Sam Schrager."
Sam Schrager,00;00;22;10,00;00;23;27,Right out in the field.
Walter Currin,00;00;24;00,00;00;40;27,"the folks moved up here in 19 two. What about that little place? And they lived there until 1908. And we moved out on the reservation. And I grew up there, and we stayed there until 1929. Out on the farm."
Sam Schrager,00;00;40;29,00;00;43;08,Where was it? Where was it? On the reservation.
Walter Currin,00;00;43;11,00;01;07;17,"About a year Near-Tum Cody. Great. You come up very heavy and do my own after you break up on top. They're coming in. They see the old gray. Don't come now like it used to. It used to come around over the hills in the farmland. There, and it went right through the farm. We had the Indian land and writer demand for the Indians."
Walter Currin,00;01;07;20,00;01;20;06,"And so it made sense, you know, for the farm country out in New, all that room right down there, the choice farmland."
Sam Schrager,00;01;20;08,00;01;25;02,"What, what makes it so good is because it is lower. It's kind of lower than it is here."
Walter Currin,00;01;25;02,00;01;48;00,"No, not too much, not too much. It just, just an awful good. Well, all this farmland around here, that farm, that rumor I've got there. Of course, maybe I'm just a little prejudiced. I grew up after. Ever been home back? Got time. I was growing out well."
Sam Schrager,00;01;48;03,00;01;52;29,And your father? He had a farm before you went farm there? He'd been a farmer before.
Walter Currin,00;01;53;01,00;02;10;12,"Oh, yeah. He was farmer over. Yeah. And he moved up here. And the family grew up. And then dad, my brother farmed out there. But for for with Fred Nagle, an old timer around here."
Walter Currin,00;02;10;15,00;02;17;25,And then my brother got out of that school and then my farm up there.
Sam Schrager,00;02;17;28,00;02;22;17,"Well, how did that work then. How did you how could you go about renting the Indian land?"
Walter Currin,00;02;22;21,00;02;39;05,"You had to go through the Indian agency and work for they had agency control, the leasing of the Indian land. Yeah. Well, I guess some of the buildings are down there yet and I just need to have some agency there."
Sam Schrager,00;02;39;08,00;02;42;13,"Over kind of a set up. Was it, was it a long term lease? We'd have."
Walter Currin,00;02;42;13,00;02;46;02,"Well, you could get a 3 or 5 year lease."
Unknown,00;02;46;05,00;02;50;03,Whatever you want. Yeah.
Walter Currin,00;02;50;05,00;03;29;19,"So you paid you had so much rent in each year. You know at some point you need to rent and that way where you have your lease. For your five years. But it be for whatever the Indian would let you have free agency. There and. So that worked out pretty good. We had 3060. You farmland rendered, very Indian land rendered, and I say 2.0."
Walter Currin,00;03;29;21,00;03;39;10,"So and that was that. And you of course pays for me. Well, creditors come in."
Walter Currin,00;03;39;12,00;03;47;22,"But they were just, coming in when we left the reservation. If you recall, we still farm records."
Sam Schrager,00;03;47;24,00;03;59;00,"Did you need much, much stock to farm with it? Oh, you."
Walter Currin,00;03;59;02,00;04;08;28,"Hampton. Just ranch, right. Or big farm? They run a lot of stuff. The average small farm road."
Speaker 4,00;04;09;00,00;04;10;19,I see that.
Walter Currin,00;04;10;21,00;04;32;00,"They had about, you know, we had about goats and all that. Maybe 20 head of horses. That's about the average farmer there. Colts and work horses and saddle horses and stuff like that. And we had some cattle and kind of diversified farming."
Walter Currin,00;04;32;02,00;04;37;20,So it kept busy.
Sam Schrager,00;04;37;22,00;04;43;19,"Was there was there a place, to live when you, when you moved over there, was there a place on that where?"
Walter Currin,00;04;43;21,00;05;10;02,"yes. we have any we moved out. Was on Indian land. Well, all the places we lived on here include about that 40 and over the corner range was all Indian like around there. Oh, go on to the corners, carpets and all that down there. Mathews, Williams, older, down west, long central grade there. It's all in the United."
Walter Currin,00;05;10;04,00;05;22;07,But now it's been bought up by the individuals. Some are still from up here but it's. Been pretty well bought up now. But that.
Sam Schrager,00;05;22;09,00;05;28;19,Was it. Was it readily available then. Could you get it. Could you get it easily. Let me to to read. It was there a lot of demand.
Walter Currin,00;05;28;19,00;05;54;25,"For it and got demand kind of you got it by kind of bidding on land for the agency. The highest bidder would you would usually get it unless the Indian had to say so himself. And we had we rented, George Peele of Italics Land there for nine years. But he was just wonderful. Indian Congress. Did they come?"
Walter Currin,00;05;54;28,00;06;17;27,He wanted us to have it. We just kept it until we left the reservation. And most of the old Indians used to be around when I was a boy out there. It's all passed on now. It's all younger ones now. Are there family descendants got the land. What's left there?
Sam Schrager,00;06;17;29,00;06;24;28,"Do you, what was George Field tell it like, I heard that he was a really fine man. He was a."
Walter Currin,00;06;25;01,00;06;50;06,"Well, at one time, I guess he was chief of the Nez Perce tribe. So he was a a nephew of Chief Joseph. So was. If you've heard of this famous writer, Jackson Sundown. Oh, yeah. Well, he was also a nephew of Chief Joseph. And they were cousins. Jackson sent them out, and I knew them all. Fellows. Females were four years old, going out."
Walter Currin,00;06;50;09,00;07;14;12,"The old fellows who come to town on their saddle horses, old man Jordan Matthews and Carlton, all of them little fellows come by a with. I also really got acquainted with them. And every time they come to town, come back by, they'd all have me some candy or gum or something, and and old fellows and I, we were pretty good friends, and then I grew up on them, and they came."
Walter Currin,00;07;14;14,00;07;20;06,"But they're all gone now. So really, I don't know who owns the land now."
Sam Schrager,00;07;20;09,00;07;28;28,"Well, back then, when those guys were, what would they what would they do? I mean, how how would they, pass the time then."
Walter Currin,00;07;29;00,00;07;35;23,"Oh, hunting. Fishing. Yeah. Guarding somewhat. Right guard. Some had some horses, some some."
Speaker 4,00;07;35;29,00;07;39;13,"And they go camping or something. You know, they travel around."
Walter Currin,00;07;39;15,00;07;48;13,"Yeah. And they let them, but they got off their farmland for of the rent and work. Yeah."
Sam Schrager,00;07;48;13,00;07;51;08,It was. Yeah. It was enough for them.
Speaker 4,00;07;51;10,00;07;51;20,Yeah.
Walter Currin,00;07;51;21,00;08;15;11,"Oh they got so some of got so that pretty much draw their rent ahead of time. But this all fell away right here far old Guilford County. Yeah. You know, he almost never draw a heck of a lot. He just lived on what he, he he needed some. He come get a mason over. I don't think he ever drawn over $50 a year on his ranch at any time."
Walter Currin,00;08;15;13,00;08;34;24,"Oh, and he gone by. He and his wife live. Well, it's a house. Just as you hit the river. There on Harry Granger's. You hit the highway here on the river. Had a little house in back up on the point there. Yeah. He had a nice little place. He raised with gardens. They like to hunt fish."
Speaker 4,00;08;34;26,00;08;36;20,"So, you know, things like that."
Walter Currin,00;08;36;26,00;08;37;20,They do.
Sam Schrager,00;08;37;22,00;08;44;09,"I think it was, him that I heard about that they used to camp up around Bovill."
Walter Currin,00;08;44;15,00;09;12;24,"Yeah, he used to go up in there and up on the Clearwater. The first time I ever went deer hunting with that old fellow. We took that. His team of horses, you know. Okay. But ended up much in there, and we went up in there. We can't, one night within the day we went up. The next day, evening, we had a deer and an elk apiece."
Walter Currin,00;09;12;26,00;09;23;28,"So he. Well, he was a he'd go through that timber. You'd never hear him. No. His kneecap on. But he was a great hunter."
Sam Schrager,00;09;24;01,00;09;29;23,"Oh. How old were you about that. Oh, I was,"
Walter Currin,00;09;29;25,00;09;36;14,"I imagine maybe 19, 20, 20, in their early 20s."
Sam Schrager,00;09;36;16,00;09;38;04,"I think, teaching it out of hunt."
Walter Currin,00;09;38;07,00;09;42;17,"Oh, yeah? Yeah, he showed me a lot of things about still hunting and everything."
Sam Schrager,00;09;42;19,00;09;43;15,"Still,"
Walter Currin,00;09;43;18,00;10;04;01,"Oh, yeah. That's. You just, find you good game. Trail and back off ways. He showed me how to do that. Man. Just wait for your game to get to traveling. They come through this game trail. You can get them there. Otherwise, you can sneak through that kind of through that timbered. So quiet you. Could you hear me?"
Walter Currin,00;10;04;04,00;10;09;13,You just get through there and I stampede. Walk right up on him in the timber. There.
Speaker 4,00;10;09;15,00;10;12;02,So different than they do nowadays.
Sam Schrager,00;10;12;06,00;10;16;16,"That sure sounds different than that. And the way I learned. Oh, yes."
Walter Currin,00;10;16;19,00;10;23;02,Yeah. Course. That seemed like to them Indians had a way of doing it.
Speaker 4,00;10;23;05,00;10;24;24,"Their heroes, or."
Walter Currin,00;10;24;25,00;10;27;25,"They, the great hunters."
Speaker 4,00;10;27;27,00;10;30;19,The wonderful things they used to make. They.
Sam Schrager,00;10;30;21,00;10;33;19,"Yeah, things they used to make."
Speaker 4,00;10;33;21,00;10;33;29,Yeah.
Walter Currin,00;10;33;29,00;10;36;22,"Beadwork. Beadwork. Oh, they were great from a."
Speaker 4,00;10;36;22,00;10;39;02,Can be and and Yeah.
Walter Currin,00;10;39;05,00;10;44;14,And gloves and great to make these buckskin gloves and jackets and moccasins.
Speaker 4,00;10;44;16,00;10;50;20,"And they see they made their clothes out of it, out of the animal hide. You know, anything else from the dog? As a dog."
