speaker,timestamp,End Time,words
Rachel Foxman,00;00;00;00,00;00;43;19,"Conversation with John Houston Cushman took place in his home in Moscow on October 27th, 1977. The interviewer is Rachel Foxman."
Rachel Foxman,00;00;43;21,00;00;53;04,"Well, I brought some questions I wanted specifically to ask you. Could you tell me something at all about your early education?"
John Cushman,00;00;53;06,00;01;02;23,"Well, I grew up in a little town. There were nine of us in class, and we graduated in the class of 1909."
Rachel Foxman,00;01;03;00,00;01;03;27,And where was this from?
John Cushman,00;01;03;28,00;01;46;02,"And given me. It was near Bangor. And they had the winning basketball team for several years since the little school. It was amazing. And there were three girls, six boys and six boys went to college and the girls and one went to a finishing school. Married my cousin. And so. Did you two boys are the middle aged men now?"
John Cushman,00;01;46;04,00;02;21;12,"I was valedictorian, which was not hard. well, they were only nine. as I think of it now, it seems quite ridiculous that that's, everyone should take the same percentage. We all had to take Latin for years and three years of ranch and the English and the management. And we all had the junior exhibition, which, in which we recited."
John Cushman,00;02;21;15,00;02;54;13,"I don't know what you got there. About seven minutes long. And then in the senior year, we we had a part and they graduate actors who had. And so we had to experience to do that. we had some rather good teachers too. They were generally from Bates College. Bates over Colby, Maine, Bowdoin. My three cousins went to Bowden."
John Cushman,00;02;54;15,00;03;29;00,"So last year when I needed a hat specialist, I chose a man from Bowdoin over in Seattle. Doctor Michelle was born and in Switzerland, and he lives. He did live as a boy near Concord, Lexington. And then he got his his medical training at Columbia and came out to the Swedish hospital in Sierra Leone."
Rachel Foxman,00;03;29;02,00;03;32;12,What year did you start college? Your undergraduate work?
John Cushman,00;03;32;14,00;03;34;12,I went to Brown University.
Rachel Foxman,00;03;34;12,00;03;35;17,And what year did you enter?
John Cushman,00;03;35;23,00;03;52;28,"I entered 19th, at nine, 1999. Graduated in 1913. And then I went up to Harvard rear in 1914 and started teaching, then at Syracuse University."
Rachel Foxman,00;03;52;28,00;03;54;24,While you were going to Harvard?
John Cushman,00;03;54;26,00;04;28;14,"No, no, no, no, I, I went there for five years and then came out here. And, I came here in 1990 about the time everyone was coming back from the war and, excited to grow. I left Syracuse and when they had about 5000. And we used to have, 60 and a class in English as freshmen."
John Cushman,00;04;28;16,00;05;03;13,"And we had three sections. And what that amounted to. And, while I was there in the English department. I did, some plays for the English club, and their activity was, plays and given out of dollars. They, they had what they call the castle. They bought, Richmond's, which were buildings exactly like a medieval castle."
John Cushman,00;05;03;16,00;05;21;12,"And it was kind of nice. I don't know if there's is true. And I did, Barrie play, they had me book writing, and then I did it. Prunella, did you ever hear that?"
Rachel Foxman,00;05;21;12,00;05;24;06,You never had the delayed.
John Cushman,00;05;24;06,00;05;43;12,"And that was Marguerite Clark. She was quite famous in movies. And later on that she did, that play on the stage and on Broadway. It has a musical accompaniment."
John Cushman,00;05;43;14,00;06;03;02,"And, did I did a part in that honor, honorable Ernest. Well, I it was a good year. Like, An Oscar Wilde play and it. Do you another play?"
Rachel Foxman,00;06;03;04,00;06;04;26,"No, I don't."
John Cushman,00;06;04;28,00;06;28;28,"You say I play attractive play. I think so. Anyway, And I was taught Barrie along with you, and Green Arrow and, and some of the later Victorians, I guess you Garland and got ready. Oh, God."
Rachel Foxman,00;06;29;00,00;06;32;12,"Are those, the types of plays that were being put on when you were in school?"
John Cushman,00;06;32;13,00;07;06;20,"Yeah, when I was at Harvard Jazz, and there was a wonderful stock company that, played in Boston right near the public library, and they the, one of the railroad stations you could get out there if you were coming, as I used to, from Brown and it was near the original, Massachusetts tech before they moved across the the Charles River."
John Cushman,00;07;06;22,00;07;38;13,"Where are they now? and this is a charming theater. I can't remember the man's name. they the women's name because they were, quite well known actors, and they put on the guise of their plays and their shop plays. So I got to be very familiar with all those. You wouldn't have them, of course, in a college town, because they had never put on so many."
John Cushman,00;07;38;15,00;07;43;13,They did about one a week and they were excellent.
Rachel Foxman,00;07;43;16,00;07;48;04,"And you say you studied, in the workshop 47 and Harvard?"
John Cushman,00;07;48;05,00;08;11;29,"No, I didn't no, no, no, never did. I did I have done quite a lot with playwriting down here. And the pageant and the chief thing I did, I did that three times a year and once in Boise."
John Cushman,00;08;12;02,00;08;27;11,"I recently turned in a copy of, production to the university. So they have it out there. okay. Fine. Thank."
Rachel Foxman,00;08;27;14,00;08;30;23,"Well, what brought you up to, to Idaho?"
John Cushman,00;08;30;25,00;09;03;18,"Oh, well, I was just I was going to go to New York and start a place I. Five years, and that's what I was going to do. and think of acting, of course. production. Pretty great that, I got this offer very late in the fall. It was, the head of my department was on vacation after summer school."
John Cushman,00;09;03;20,00;09;34;24,"I ponderay Lake, where I had, summer camp. And so I got hired at ponderay, and that's, that's right. The university. I could very surprised when I came here and found where it was. And you get you get into, and, Spokane at 9:00 at night, coming through. I came from Syracuse. Gosh. And Chicago."
Rachel Foxman,00;09;34;26,00;09;35;10,You came by.
John Cushman,00;09;35;10,00;10;14;10,"Train? Yes. I hadn't ever been farther than Niagara Falls, which is the next time you see, Niagara, two towns passed around. at any rate, that evening I got on the little train that comes down here. It gets here at 1:00 in the morning. I left Syracuse when they were having their state fair. It's a very famous fair at Syracuse, the state fair."
John Cushman,00;10;14;12,00;10;55;08,"And they were crowded. All that I was glad and, and, I took my old boardinghouse keeper to see a play to celebrate my farewell. And, we went to see Denman Jackson and the old homestead at Wagner. And appropriately, the purpose. And then, when I landed here in Saratoga in Moscow, I found they were having the state fair here, and I could have a price, say."
John Cushman,00;10;55;10,00;11;38;11,"And it took me about a month before I got a room to live in for that year. And that year I had a heater that I had to get on prepare. and I could decide whether I would chop wood for the evening and have a nice while. I'm going to bed. I usually be at home late at night and then, rest got hit in the morning when I wanted, get comfortable at the start of the day for breakfast and use my cane."
John Cushman,00;11;38;11,00;12;07;15,"And then I couldn't do well. And, in the night, I was kept through my window open. And there's a great big family cat, a yellow one, and he'd come in and that's very tired in the morning, and he'd crawl down inside the covers, down by my feet for an hour or two. Yeah, yeah. Well, And then he'd crawl out again."
Rachel Foxman,00;12;07;17,00;12;10;19,"So that when you came to Moscow, you boarded with a family."
John Cushman,00;12;10;22,00;12;39;25,"No, I didn't go out with them. I just ate wherever I could down on Main Street, and I. January 8th was in boys who were undergraduates. They weren't my students. And, and we ate at cheap little hotels, I guess mostly it was good and food, and we ate occasionally at a cafeteria. I got acquainted with Miss Matthew and you heard anything?"
Rachel Foxman,00;12;39;25,00;12;40;19,No.
John Cushman,00;12;40;22,00;13;16;20,"Name Matthew. She was in French, and she taught. And she had graduated from Washington and had taught at Aberdeen the year before. And she came over to Moscow and lived with a regents wife, widow. And, she was part of the social scene here and now, my work outside of the university. And she had started this in 1919."
John Cushman,00;13;16;23,00;13;27;03,"I came here in 1919. And, I did praise through 1930. And I started."
Rachel Foxman,00;13;27;05,00;13;32;21,"But you must have done it seems to me that that time period, there were a lot of different styles of drama being."
John Cushman,00;13;32;21,00;14;07;23,"Produced where I, so I, I had nothing to go by except occasionally to go to Spokane to see a film show. but otherwise just movies. I was very lucky not to have many movies as I as again, where they came this second year here and here and as we were down very simply, little movies, that."
John Cushman,00;14;07;26,00;14;30;05,"The first show I did here, a long one, because we were doing a lot of one act and then and, so I used to do a series of one actors about every month, and that was pretty, you understand, I try to work out in English. I did that on the side."
Rachel Foxman,00;14;30;08,00;14;30;23,As well as.
John Cushman,00;14;30;25,00;15;04;17,"Yes, yes, I was hired. Now I was in department. Had I did all the drama. And then another man, Mr. Chan, with Mr. Asia minor, played our county. He came when I did and he took care of public speaking. He later became the last rep. And then Baker Brown, now who went to northwestern and then became quite a famous and professor, also philosophy."
John Cushman,00;15;04;20,00;15;34;29,"He was teaching journalism. And, that's the way doctrine that a man had built his new department. We all knew the only one of us who was a day, wasn't really an English teacher at all. And he turned out to be the poorest, that he had the most scholarly background. He came to Stanford, that, the department then started off very well."
John Cushman,00;15;35;02,00;16;15;27,"And, when I became head, when Doctor Miller died and we happened to have a department match like that, I think people enjoyed it because they were good teachers and because they were read, man. And it worked out very well. And because Idaho in those early years wasn't primarily interested in a scholar of education in English, and they would be in a forestry, mining or something else."
John Cushman,00;16;15;29,00;16;34;22,"so frequently had people say, well, I'd never heard of you and I'd say, well, were you in and engineering, mining? something like that, because they usually run as fast as they can. They get away from English."
