speaker,timestamp,End Time,words
Laura Schrager:,00;00;00;00,00;00;30;08,"Ruth Anderson Kjellberg has lived her entire life on Burnt Ranch near Troy. She reads a written statement on this tape about early life on the ridge and early religious services. In addition, she recalls the early morning Christmas service, Luther League, Peter Carlson party games, hoeing beans and shopping in Moscow."
Laura Schrager:,00;00;30;10,00;00;33;15,"Earlier this year, that should be done."
Helen Kellberg Anderson:,00;00;33;17,00;00;58;14,"Pioneer men and women arrived and settled in this area in 1883 and 84. Among them was Karl Anderson, who arrived from Ashtabula, Ohio, in 1884 after working at that place for three years. After he arrived in Sweden. Carl took up the homestead on what is now Burnt Ridge. He and two other bachelors shared the same cabin. Land had to be cleared."
Helen Kellberg Anderson:,00;00;58;17,00;01;22;26,"It's everywhere you look. There was brush great with the privations of these early settlers. Their earnings were very meager. Working at sawmills which were located some distance away. One year the sawmill company went broke, and the men did not receive one penny for their hard labor until that year, as their only conveyance to wash their own two feet."
Helen Kellberg Anderson:,00;01;23;02,00;01;44;08,"They were only able to come home on weekends. Part of these weekends were spent in carrying water from the stream clear down at the railroad track. One of these pioneers, Andrew Westberg, who brought his wife with him from Sweden, saw it there one day. He did not dare tell his wife about it, for fear she could become frightened."
Helen Kellberg Anderson:,00;01;44;10,00;02;15;23,"Being left alone all week. When he arrived home that weekend, he found his wife's headscarf. If he was crossing the little stream close by, he then feared the worst had happened. His fears were ungrounded, however, if he found his wife well and happy. The nearest place where these pioneers could get their supplies was in Moscow. They had to walk all this distance until they had earned enough to buy a team of horses and a number wagon."
Helen Kellberg Anderson:,00;02;15;26,00;02;41;11,"It was not easy carrying a sack of flour on their back and any other groceries which were needed. One time Anderson was trudging along the road, tired and hungry when he noticed the basket on top of the snow along the roadside. He picked it up, ate it, and felt good from it. He concluded that a higher power had seen that it was placed there just for a hungry man."
Helen Kellberg Anderson:,00;02;41;13,00;03;04;11,"Another family arrived in 1906. This party was instrumental in getting the telephone into the homes of these settlers. One person he could not persuade to get a telephone was his brother in law. One day a horse fell into the well. The brother in law's place. Kjellberg asked him if he didn't wish he would, had the telephone so he could call for help."
Helen Kellberg Anderson:,00;03;04;13,00;03;32;12,"When the telephone was shown in stores, Anderson's mother arrived from Sweden at the age of 70, about the year of 1888, not being able to cope with the language. He was taken clear over to the state of Utah, where her trunk was stolen with the few belongings she had. She was very tired when she arrived at the cabin, having to ride from Moscow in the lumber wagon."
Helen Kellberg Anderson:,00;03;32;15,00;04;02;05,"Anderson's sister, Sophia Anderson, arrived from Ohio in 1894 to keep house for her brother. A few years later, the town of Vollmer, later called Troy, came into being no gravel. Imagine the horses plodding knee deep in this mire and mud through Main Street, who had a buggy ride through town. These early immigrants walked clear to the Landwehr country to worship at Delia Chapel."
Helen Kellberg Anderson:,00;04;02;08,00;04;40;06,"Their future hope lay in organizing a church where they could worship God. Pastor Peter Carson came to bring God's word to these pioneer settlers as he started out from Moscow on foot. Anderson would meet him with his horses, number wagon. Pastor Carson ate many a meal at the home of these bachelors. Pastor Carson conducted worship services in the various homes, and in December 1886, a group of these pioneers met and organized the Lutheran Church with 17 charter members."
Laura Schrager:,00;04;40;09,00;04;56;12,"I wanted to have you tell me the names of the, the other two men who came out, with your father. Ruthie. Both. Johnson from All."
Helen Kellberg Anderson:,00;04;56;12,00;05;06;18,India. Only Oliver Johnson and August Johnson.
Laura Schrager:,00;05;06;20,00;05;10;20,"It was August, and, and,"
Helen Kellberg Anderson:,00;05;10;22,00;05;13;23,They were not related.
Laura Schrager:,00;05;13;26,00;05;15;26,"now, did they know each other before?"
Helen Kellberg Anderson:,00;05;15;29,00;05;23;08,You know each other from Sweden?
Laura Schrager:,00;05;23;10,00;05;28;27,"Did your father ever talk about, his life in Ashtabula, Ohio?"
Helen Kellberg Anderson:,00;05;28;29,00;05;29;25,My uncle.
Laura Schrager:,00;05;29;29,00;05;31;23,Your uncle?
Helen Kellberg Anderson:,00;05;31;25,00;05;38;16,"Well, he worked very hard there. And."
Helen Kellberg Anderson:,00;05;38;19,00;05;48;27,"At the docks, hauling coal and wheelbarrows."
Laura Schrager:,00;05;56;21,00;06;08;04,"Did, did your uncle ever talk about the wheat harvest in 93? Or any particular bad times that they had? Yeah, I don't."
Helen Kellberg Anderson:,00;06;08;04,00;06;18;29,"Remember too much about it, but he did mention the hard times they had at that time. They were very hard."
Laura Schrager:,00;06;19;02,00;06;23;10,Had things changed a lot by the time you were born and remember.
