speaker,timestamp,"End Time",words
"Sam Schrager","00;00;00;00","00;00;03;28","Not anyway."
"Carl Olson","00;00;04;01","00;00;38;20","Well, you know, I wrote her adequate involvement. Oscar and the veteran Mr. Hilliard Newman, went hunting together and they went down to the Bear Creek Falls as far as five or six miles from home. He and they had single gauge shotgun, 12 gauge. My brother, I don't know what they had. And he shot one bird, you know, and then he put another shell in single shot."
"Carl Olson","00;00;38;20","00;01;07;01","You know, there was a big boulder and he walked on that bow learning and they hit the hammer in the boulder and he fell down in the creek. And my brother Adam was right back on the couch. You missed him and just cut about four or five inches long and about two and a half wide here. If the bear been found a way, would it killed him?"
"Carl Olson","00;01;07;01","00;01;26;14","Because then they charge for the thread. But the devil was so close here that they loved, you know, the hell held the charge together. They didn't get down just red. He and that's what made such a long shriek."
"Carl Olson","00;01;26;16","00;01;28;11","Yeah."
"Sam Schrager","00;01;28;13","00;01;32;24","So, what happened? What happened then?"
"Carl Olson","00;01;33;00","00;01;59;03","My roof had fell after Oakland Creek was running right below there. And involvement. And here we come home and all about stayed with him. But we thought he was dead because he fainted just as they left. But they didn't mention then when they got home. And then the first thing you know, you come with him and and the doctor come from the town the same time."
"Carl Olson","00;01;59;05","00;02;22;14","I don't know how they could connect. You know, she had Barrett Creek Falls, you know, our little various little buried around here. And right down there it's the falls and here, here. But we lived here for the fall. You carried him up, unloaded the bear, and then somebody must've went to try and hold a doctor to come up."
"Carl Olson","00;02;22;14","00;02;38;00","And how. How we could find where we lived. I don't know either, because there was no road. All right, But of course, you're going to have neighbors. And neighbors were pretty close. You came about the same thing."
"Sam Schrager","00;02;38;00","00;02;45;05","Did you think one person went clear in the town? You were telling the kids that you thought maybe maybe they relayed the word."
"Carl Olson","00;02;45;08","00;03;10;26","And had to relay them, but they had to go to the you couldn't holler where you had to go to replace every home, you know, with no telephone. Then what's a phone? Better name than telephone. And he's the one who got the doctor. He hitched it up cause I believed about four mile from town. I him. So he drove down there right away."
"Sam Schrager","00;03;10;28","00;03;19;22","And so probably a couple of this. Whoever relayed the message went to Dan Charles. Yeah. Yeah."
"Carl Olson","00;03;19;24","00;03;38;29","That's the way it had to get by those state and relayed to your neighbor. And the houses wasn't too far from the roads in those days, you know, And they built the road and you ought to be pretty close to the house. We could, you know, So they didn't have to walk Duvall to really anything."
"Sam Schrager","00;03;39;02","00;03;45;21","So so your your brother was carried and they carried him. They they carry your brother all the way home."
"Carl Olson","00;03;45;23","00;04;12;11","You know, the whole the way he carried it from about a half a mile. The road we lived here with a in the road common in road went around this way, in this way to get home. So they took the shortcut, carried him only about a quarter mile and then drove in four or five feet, you know, from the rock to the water."
"Carl Olson","00;04;12;13","00;04;14;23","And first you see."
"Sam Schrager","00;04;14;25","00;04;17;00","Well, what did the doctor do when he got there?"
"Carl Olson","00;04;17;05","00;04;36;15","Well, the only one I can think of feeding me brought on was he certainly was Meat Slim was hanging. You know, he trimmed her off, taking clean. And then I believe he put sulfur on it and then they put a rag or and I believe we come back all the."
"Carl Olson","00;04;36;15","00;04;46;23","Once after that and more took care of it altogether. He kept putting on New. So you see."
"Carl Olson","00;04;46;26","00;05;11;01","How we got along. Of course it I don't know I was like some way when I was a kid. Everybody want me to come to their place in the state. We want to up me even and hated it. He had me there all the time. I'm the one that blowed the horn. I told you about that. And you scared the colors."
"Carl Olson","00;05;11;01","00;05;12;28","All we did."
"Sam Schrager","00;05;13;01","00;05;18;28","Broke that story. Now I don't remember that. And yeah, I think you mentioned it to me once, but I don't."
"Carl Olson","00;05;19;01","00;05;42;27","Well, I'm all hated it here is Dad lived in Louis and, you know, and he rode horseback down there. It took two days to make the trip, you know, horseback. So I was all alone up there in the house would do that. And I got saloons. I'm sitting there not seeing the lambs there. Well, well, shame. No, no on him."
"Carl Olson","00;05;42;29","00;06;10;29","And the cows come from all directions with their tails in their belly. And then you wish they couldn't get into the house because of the fence around. And then after that, I figured out why it was it was a disaster called, you know, the wild animals got bad years like we have, and we thought we were murdering in a recoil."
"Carl Olson","00;06;10;29","00;06;13;25","You know, the mad at the club that's I made a new."
"Sam Schrager","00;06;13;25","00;06;17;05","Then there was brown, There was blood around."
"Carl Olson","00;06;17;06","00;06;21;04","No, you know, but the better that we."
"Carl Olson","00;06;21;06","00;06;23;20","Got butchered home one time and New."
"Carl Olson","00;06;23;22","00;06;27;15","Butler, he made that same old sound, you know."
"Sam Schrager","00;06;27;17","00;06;29;13","What did you do?"
"Carl Olson","00;06;29;15","00;06;30;02","What I."
"Sam Schrager","00;06;30;02","00;06;31;18","Do with all the council trying to."
"Carl Olson","00;06;31;19","00;06;47;06","Get out with that where they couldn't get in because of the fence around. They would have tried to get through the house and such board. Yeah. Then. So I missed it."
"Carl Olson","00;06;47;06","00;06;56;29","Because we used to go and get our cows on the canyon road and we were younger all out, you know, and we had to walk down steep hills and hunt them up and chase them."
