speaker,timestamp,"End Time",words

"Bess Beardsley Whitman","00;00;00;00","00;00;19;02","Often they'll have it in quite late. I didn't mean to have somebody I met for dinner right away, but everything just seemed to go against me. I just couldn't find. I don't know anything about writing up things for the paper. My sister would be good at it because she was just a natural composer. She could just write compositions or anything."

"Bess Beardsley Whitman","00;00;19;04","00;00;35;08","She wrote such a wonderful story, in my view, of anything in the world. And about our trip from California horseback. She and I, you know, to save her passes. We didn't want to leave there, so we moved up here and she and I, we wrote our hardships every step of the way from California to Moscow. Took her just a month."

"Bess Beardsley Whitman","00;00;35;08","00;00;59;10","I was only 12 and it was a ball for me, but a hard trip on my mother. But she was a widower, my father. That's why she had to leave the farm. So we went from up here where all her relatives were, would come here from Illinois and settled here. I come here, so we wrote a porch back and she gave that is when she was going to university."

"Bess Beardsley Whitman","00;00;59;11","00;01;20;19","She's four years older. And I when she was going to university, she knew that. I don't suppose she told you that? What did she know? How much you drag it out of her. But she she had to have a theme of some kind of knowledge. And I entertained the assembly very turned on each one. Have to take their turn when you know when I'm coming."

"Bess Beardsley Whitman","00;01;20;22","00;01;37;20","So she didn't. She couldn't think of anything that she could write they'd be interested in, and that would be that. So she meant she kept a diary that and I didn't you know, she kept a diary and been having a good time. So she gave the diary, kept the diary, and then she made a she composed my son."

"Bess Beardsley Whitman","00;01;37;21","00;01;55;27","I said, and I should have been a composer and a writer because it's just as natural for her and it isn't for me at all. So she did. And I guess I never heard it, but I guess it was wonderful. And the kids, the big audience she had there from Home university, you know, and she was kind of nervous, I guess."

"Bess Beardsley Whitman","00;01;55;27","00;02;13;02","But they just required as much and they were just spellbound. When it's all over, I want her to go to that. Did you really do that or just that kind of provoked her? And she said, I'm not sure I can prove every word of it. And then, you know, just just a few days later, that university building burned down, the old university burned."

"Bess Beardsley Whitman","00;02;13;02","00;02;29;25","And we could sit up there all night in our house on spots with modern Subha, you know, and look right down and watch it burn with that. And I went and learned she just cried because everything she had all her notes and everything were in it and everything she'd prepared. And this this diary and all of that stuff."

"Bess Beardsley Whitman","00;02;29;25","00;02;46;18","We lost it all. Well, Mr. Newman up here, and he was principal of schools, and he came to me and he wanted that story to put in the paper. And the paper came to me and they wanted it and everybody wanted that story. I couldn't do anything about it. They've done that for years. They still do because it's gone and she can't remember it."

"Bess Beardsley Whitman","00;02;46;18","00;03;04;11","She says. She said she thought she could find some of the maybe that part of the diary or something, but she never did and she never tried very hard. I guess she uses then she she quit school. She had a nervous breakdown and losing all that and her work and all the books and she'd have to go and she had to walk back and forth."

"Bess Beardsley Whitman","00;03;04;11","00;03;18;24","It was a mile and she wasn't. She was quite frail, so she just didn't go back anymore. And she got married and went out on the farm and out there she went to religion. She had a beautiful home there and even lived in hardships. Just gorgeous."

"Sam Schrager","00;03;18;27","00;03;24;09","Well, what how do you remember that trip on the way? Do you remember very much about it?"

"Bess Beardsley Whitman","00;03;25;13","00;03;29;14","not like she did the places we stopped and things like that. You know, I just remember."

"Sam Schrager","00;03;29;14","00;03;33;10","That was a pretty calm trip. It was pretty adventurous."

"Bess Beardsley Whitman","00;03;33;13","00;03;48;00","Well, in some ways, and often hard on my mother because we had four horses on one big wagon and my brother rode that, too. They didn't want to come that way, but it's the only way we could get the horse. They didn't have carts for taking horses like to do now, and they didn't have good roads like they do now."

"Bess Beardsley Whitman","00;03;48;00","00;04;08;04","They didn't have automobiles like they do now. That was 1930 and I was 12 the day we left there. But we would like to ride and I'd ridden ever since. We don't have to sit on a horse. And we we raised we were on a big cattle ranch and here in Nevada mountains with a five foot in a valley and that beautiful."

"Bess Beardsley Whitman","00;04;08;07","00;04;32;21","We could just get all game and all appreciate anything you wanted. Just go out. Maybe just sometimes they come right down in the yard there and things, you know? And the nicest water. There was three streams run through our farm and it was a hey, hey country to pay for the cattle. And and then we had the government range in the wintertime, in the summertime, while Hay was getting ready to do that, we didn't raise range and things like that."

"Bess Beardsley Whitman","00;04;32;23","00;04;52;22","And it you could go and get three or four deer. They used my pony a lot for that because you just come with here and couldn't show and you wouldn't, you know, and they'd come back and poor Johnny. I was telling Johnny I had two or three, but he was my favorite, but it had him just covered. You can just see there's a little deer overhanging them."

"Bess Beardsley Whitman","00;04;52;25","00;05;02;27","And then they of course, they had no refrigerators in those days or anything like that. You know, they had fewer of the, you know, and they could go down in the swamps and get ducks and geese."

"Sam Schrager","00;05;02;29","00;05;04;08","They they smoke them. Either can."

"Bess Beardsley Whitman","00;05;04;15","00;05;34;09","But smoked it. And then we had cellars and and put some of it you brine and made sausage and put it down and my mother was a wonder and she never done anything like this little bit of a thing that she did at all. I would like to had a whole history of my mother's life. My life she lived it was moved was they were homesteading thing and wild animals would come down, you know, right down to your door and they'd come down and kill the chickens and tell her everything."

"Bess Beardsley Whitman","00;05;34;09","00;05;51;08","And once in a while the men were gone. And once she went out and we were little tiny kids, my sister and I and I went out and her great big rattlesnake out there all coiled up. And we were all the cats. We had cats and kittens were all piled up around, you know, in a circle. And they had you be hypnotize them."

"Bess Beardsley Whitman","00;05;51;12","00;06;17;27","And we had these piled up. And then it was kind of the flipping, you know, and making those rattly noises. And my poor mother, she could always use her head in a time of climax, you know, And she didn't have a gun. So she went back in and go back and get an ax. It was a woodpile and that and if she didn't chop that thing and to save all of the cats and dogs and everything, they just hypnotize little things."

"Bess Beardsley Whitman","00;06;17;27","00;06;38;29","They just they were just, you know, as if they were dead and then another time a mountain lion come down and got one of the kids out in the yard where the cows were and she was milking. Man, my father was gone. So she was milking and she didn't know what to do. So she got the aunt big dog."

"Bess Beardsley Whitman","00;06;38;29","00;06;56;20","He was just cowering up against her and trying to crowd up for she didn't know they were going around. He kept crying and kept pushing up the arms to kind of get her to go out, you know, for the know that you but she didn't know what was the matter. And then she got up, looked around, and there he was just really didn't get one of the cows on the ground there."

"Bess Beardsley Whitman","00;06;56;23","00;07;12;19","And so she just opened the door and let the cows been the best they could get. Got to go with her. And she went down to the house. And I guess after he got Bernie was satisfied, then he got enough to eat, so he left. But she just had things like this all the time. We fell. I fell on them."

"Bess Beardsley Whitman","00;07;12;19","00;07;27;14","So when I was just a little thing, I don't know, average, of course, I was in a rock, ginger and a stick of wood in front of me to keep me from going over on my head. But I do little too hard. And I went over that until I red hot stove and I want to get all scars."

"Bess Beardsley Whitman","00;07;27;14","00;07;47;04","But and that my whole chin was just purple for years and it just like just left my skin on the stove. Well, she was 25 miles from my doctor. No road, no home life. She said that she was a perfect nurse. She never had training. But that little valley where we were, she everybody died. She had help lay him out."

"Bess Beardsley Whitman","00;07;47;04","00;08;04;23","And every time anybody was going to have a baby, they'd get on a horse and come to her. No phone, you know, over of the mother at all, and get on a horse and go prepare and, you know, take care of her, charge The thing for anything she ever did. And she was just Aunt Laura and everybody."

"Bess Beardsley Whitman","00;08;04;26","00;08;14;13","She certainly deserved a lot of stars in her crown. I hope she she to me, she's the most wonderful human being I've ever known to think what she went through and she."

"Sam Schrager","00;08;14;13","00;08;16;15","And what did she say to move up here?"

"Bess Beardsley Whitman","00;08;16;17","00;08;34;13","Well, she thought, well, you have a better chance to get an education because we were 25 miles from her place. We could go to get a education and found hers is the county seat of Modoc County. We were in the seat of the oldest in the war in Modoc, Indian War. We had to go out and pick up a lot their audience and things."

"Bess Beardsley Whitman","00;08;34;13","00;08;54;23","You know, we brought them here. And my boy that stayed with mother to go through and near because it was rough for I couldn't get enough. They had a farm out here so she camping and all for nothing been burned washed farm and everything like she always did. goodness. How people complain now about things she had nothing to do with."

"Bess Beardsley Whitman","00;08;54;24","00;09;14;20","There was nothing modern in those days. But we bought a home here and then we went on this girl and she was disappointed that we didn't. Would she want us to take music, which we did, and to give us the best she could? You know, she didn't have a lot of money, but she wanted to get good. So that's why we came up here and we couldn't stay there and run Little Farm."

"Bess Beardsley Whitman","00;09;14;20","00;09;23;24","You had to hire help. And they were quite a big place and and all the cattle, beef cattle had been sold. So many factors."

"Sam Schrager","00;09;23;26","00;09;28;00","So what kind of things happened on long trip?"

"Bess Beardsley Whitman","00;09;28;03","00;09;28;19","Well, I know."

"Sam Schrager","00;09;28;20","00;09;30;05","With the horses pretty hard to."

"Bess Beardsley Whitman","00;09;30;09","00;09;46;07","Well, we had an awful time when we got down here on Tuesday. There was a ferry across the river down at Louis, and there was no bridges then. And the horses were scared of ferries. And I never seen one, never been on one on some of the horses for quite a while. We were bringing the extra extra horses out, driving them down."

"Bess Beardsley Whitman","00;09;46;09","00;10;06;18","I were, but they followed the Kings pretty well. But when you go to that ferry, well, I mean, it got on with the wagons all right. And their horses were so worn out, I didn't have much. And they got scared and they broke loose the loose ones and went up the river, you know, just broke down. And that mother was just keep bringing her hands down."

"Bess Beardsley Whitman","00;10;06;19","00;10;23;16","We went after what we had to get out of and bring them back to see or get. Maybe they get in trouble with the same people too. Of course it wasn't. Things weren't modern and nobody thought anything about those things in those days and not every day. But anyway, we finally did get and headed off and for a moment it just hysterical."

"Bess Beardsley Whitman","00;10;23;16","00;10;43;18","She just thought we'd go off into the river and they would or something. She just knew we would. But that was the most exciting thing, I guess that happened. But many times we had to drive. Maybe think, what a party. I guess before forever. That's an awful lot for 40 miles. Couldn't come to any water and places to stay all night and feed the kids, you know."

"Bess Beardsley Whitman","00;10;43;20","00;10;48;07","But I can't. Stella could be. She'd be a lot better about that. We'd talk to her about it."

"Sam Schrager","00;10;48;10","00;10;55;18","And I did. But I was just wondering about, you know, about your reactions. If you. If I knew about her. What she said that."

"Bess Beardsley Whitman","00;10;55;20","00;11;01;02","She didn't enjoy it. Yeah, she's not that kind. You know, she'd like to stay in the house and cook some of the things like that that."

"Sam Schrager","00;11;01;06","00;11;03;11","Not that you enjoy the camp."

"Bess Beardsley Whitman","00;11;03;25","00;11;04;19","yes, I did."

