speaker,timestamp,words,End Time

Laura Schrager:,00:00:00,"Nellie Tomer Handlin's grandfather was George W. Tomer, who came to the Moscow area in 1871. He was involved in state and local politics and education in the county. On this tape, Mrs. Handlin tells stories that she heard when young about their arrival in the area. Indian horse races in Indian scares, the 1893 crop failure in trading in Walla Walla. Mr. Handlin describes how the site for the Moscow Cemetery was chosen. She remembers school in the one room schoolhouse, the eighth grade exam high school in Moscow, and her job as a cashier in Penny's. Was it $15 an acre or was it $15 for the whole thing? Because it was $15 an acre? Was that what the homestead fee was on that?",00:00:48
Nellie Tomer Handlin:,00:00:48,It does not say somewhere in there. I'm not talking in there now. I'm.,00:00:52
Laura Schrager:,00:00:52,"You know, I just turned it on.",00:00:54
Nellie Tomer Handlin:,00:00:54,"Well, what preliminary. I'll turn it off to see what is.",00:01:01
Laura Schrager:,00:01:01,"The Indians that year. Now, they say that there was a race track. Where your house, where their homestead was.",00:01:08
Nellie Tomer Handlin:,00:01:08,"Well, it was just, actually a road. Well, you know, a dirt road, but they didn't have racing their horses on. Because Indians were great for horse races. And I would bet, you know, just like they do now. And sometimes lose everything ahead on. But anyway, they were good sports. They were they come from all over the country to run on that track because, you know, it's like a racetrack now. Beaten down. It was hard turf.",00:01:47
Laura Schrager:,00:01:48,"That was a racetrack before your, grandparents settled.",00:01:51
Nellie Tomer Handlin:,00:01:51,"I'm not sure about that, but. Of course, there were three boys in my grandfather's family, and they all had horses who they all had Indian friends have had horses. So they kind of gathered up there for their races. Somewhere in there there was a story about them, band of Indians going through here, and they were going up to Carlin Country to run, to run their horses. They had a whole band. And when they went behind it came back on ahead. The ones they were riding, they lost all their horses. But once they actually wrote back.",00:02:40
Laura Schrager:,00:02:40,"With the women come when they were, the horse races were gone.",00:02:45
Nellie Tomer Handlin:,00:02:45,"I can tell you that I never heard anyone say probably run back, spurring them on. I really don't know.",00:02:55
Laura Schrager:,00:02:55,Was Mox Mox quite a quite a character.,00:02:58
Nellie Tomer Handlin:,00:02:58,"But he was my father's friend. The young man was his dad. That same name. But, he.",00:03:07
Laura Schrager:,00:03:07,"Oh, does Q O P mean that's the younger.",00:03:10
Nellie Tomer Handlin:,00:03:10,"I don't know, because that was said. Yeah, I know it's in here. Yeah, we'd lost maps. Was the name.",00:03:18
Laura Schrager:,00:03:18,What was it like? Did he know that.,00:03:21
Nellie Tomer Handlin:,00:03:22,And tell you that?,00:03:23
Laura Schrager:,00:03:23,Do you know what they do together? Your father.,00:03:26
Nellie Tomer Handlin:,00:03:26,"Oh, they have those young kids, did whatever young kids did. And I don't know what really most I think was horse back riding, racing ponies.",00:03:42
Laura Schrager:,00:03:42,They wouldn't be up here that long with the Indians. would it do for the whole summer?,00:03:49
Laura Schrager,00:03:49,Do you think?,00:03:55
Nellie Tomer Handlin:,00:03:56,Just for them tell about times when they were with them and on one from the summertime. But then I don't know how long or anything.,00:04:08
Laura Schrager:,00:04:08,"Did you want. What is the story with, the bow marks? Marks? His bow. And your father? Oh, there was one story about your father's stringing. Was marked with bow. Might have been, father.",00:04:25
Nellie Tomer Handlin:,00:04:25,Just leave it in there because I can tell you more about that.,00:04:36
Laura Schrager:,00:04:36,"Did your grandparents, did they bring much stuff with them when they came to you?",00:04:44
Nellie Tomer Handlin:,00:04:44,"I don't think so. Anything over there? Personal belongings. You know, clothes. A few dishes. I don't know that I have or have had that my grandmother brought. Who prized pieces? Government.",00:05:03
Laura Schrager:,00:05:03,Could they? How did they come up? Do you know how they came up to Moscow from Lewiston?,00:05:09
Nellie Tomer Handlin:,00:05:09,"And I think some of these people were already here, met them with wagons. You know, we don't know where they could come.",00:05:18
Laura Schrager:,00:05:18,"I was just wondering whether they came through would have come through. some, like the road was pretty crummy between.",00:05:25
Nellie Tomer Handlin:,00:05:25,"Here and I was old grade and a Lewiston grade they came up. It would take, take almost a day to get to the top of it. That's the way the game from Lewiston and company. Heard him tell about coming up to the top of the hill and one day, and staying all night up there and then coming on. With a team of horses and a wagon like, you know, very fast. Traveling.",00:06:06
Laura Schrager:,00:06:06,"Did they ever speak of the boat passage from, Portland, you.",00:06:11
Nellie Tomer Handlin:,00:06:11,"Know, probably so. But I don't remember anything about that.",00:06:16
Laura Schrager:,00:06:16,Or anyone from California.,00:06:19
Nellie Tomer Handlin:,00:06:19,There somewhere that states that both they came from San Francisco to Portland the next year saying because because those of you probably read that that's all I know about the boat trip. There's lots more course. Don't not.,00:06:41
Laura Schrager:,00:06:41,Now they went to Walla Walla to trade.,00:06:46
Nellie Tomer Handlin:,00:06:46,"Went there for their in the fall for their flour and their sugar and their coffee and those things, all those things. And didn't rose and then later they went. They could give them a lodestone. But first they were born in.",00:07:01
Laura Schrager:,00:07:01,We they just go in the fall?,00:07:04
Nellie Tomer Handlin:,00:07:04,"Well, maybe in the spring, but not more than twice a year, probably in from spring.",00:07:10
Laura Schrager:,00:07:11,"Do you know when they started, shipping grain that was here? Because I've read that they started, shipping great, grain from while, out. So homesick. But I don't know how long the family.",00:07:31
Nellie Tomer Handlin:,00:07:32,How do you.,00:07:32
Laura Schrager:,00:07:32,"Think that,",00:07:33
Nellie Tomer Handlin:,00:07:33,I don't even.,00:07:44
Laura Schrager:,00:07:44,"Did your grandmother, ever speak to the Indians?",00:07:49
Nellie Tomer Handlin:,00:07:49,"Oh, yeah. She applied for a long time. She always fed them. We always came. We're friendly and. Could be quite a starting place in my grandfather's home. Come through and stay all night. Maybe stay there. She was friendly with them.",00:08:19
Laura Schrager:,00:08:19,Sounds like your place was really something.,00:08:23
Nellie Tomer Handlin:,00:08:23,"And by half way, place. I wouldn't know how to cope with the.",00:08:30
Laura Schrager:,00:08:30,Did Indians continue to visit your grandfather?,00:08:33
Nellie Tomer Handlin:,00:08:33,"In my area for a good many years. And then they finally all settled down the ones that were left here settle down on land from left. And that probably gone. And of course, the old ones. The island Indians grew up and went somewhere else. Kids do. But in my time I never even saw any of it. So. That's just all part of read... heard.",00:09:06
Laura Schrager:,00:09:06,"Can you tell me the story about how the, site for the Moscow cemetery was picked up?",00:09:12
Nellie Tomer Handlin:,00:09:12,You have. I'm in there somewhere.,00:09:14
Laura Schrager:,00:09:14,"Yeah. I just wanted to have you tell it to me, because if I remember you telling it to me so much better than. Than what I read.",00:09:22
Nellie Tomer Handlin:,00:09:22,"In my grandmother's. Mother was real ill, and I knew she wouldn't live. And there was no cemetery, so she and 2 or 3 other ladies was an area. Would horseback around over the country to try to pick a side, and they decided on use. You're on here. We had first thought they would choose the well, what would be university campus. Now, and then decided to pick up on my great grandmother. Then was the first white lady buried there and her stone still there was like a one that's over. That's how it started. I think there were some Indian children and maybe grown ups to bury there before 1873, but there was no record, no names or anything. So they've always said that she was a first white woman to be buried. Her name was Montgomery.",00:10:36
Laura Schrager:,00:10:36,"No, it's your mother's parents. The I mean, your grandmother's parents that told your grandparents that Moscow was a good place, too.",00:10:46
Nellie Tomer Handlin:,00:10:46,"So they were here first. They were somehow in this area. Now, I don't know what they were right here or not, but they were up in this part of Idaho and. That's how I remember it. I think that's right.",00:11:09
Laura Schrager:,00:11:09,"I've read a lot, you know, reading these articles about your grandfather. And yet, except when they have those stories about, you know, that he actually tells, I don't have that good an idea. You know what kind of man he want.",00:11:26
Nellie Tomer Handlin:,00:11:26,"You. Have those pictures, you know, a little rough, but his name, he was a well-built, straight, tall man, Premier. Six feet and so I can remember when he always worked in beard. He had, of course, my recollection is when he was gray, he had pretty gray, really. Hair and kind of a community minded man. He had to do with early school, some roads and things like that. And I'm sure I told you that he had been with the legislature before. The state was still territory, kind of very high minded Democrat from way back. He was farmer too, and raised horses, cattle like I did.",00:12:27
Laura Schrager:,00:12:28,Did he put a lot of stress on education? Come.,00:12:32
