speaker,timestamp,words,End Time

Gus Gamble or Lola Clyde or Bob Clyde, 00:00:00,"...",00:00:14
Sam Schrager,00:00:29,"That's the guy...",00:00:31
Gus Gamble or Lola Clyde or Bob Clyde, 00:00:31,...,00:00:37
Sam Schrager,00:01:02,What did he brag about?,00:01:04
Gus Gamble or Lola Clyde or Bob Clyde, 00:01:04,...,00:01:09
Gus Gamble or Lola Clyde or Bob Clyde, 00:01:37,"...and I didn't do anything, really, until we could see it. And, he. Yeah. About, you know, the glove and how, you know, I had no money. I mean, all right. The hell? Good, man. Yeah. About 50 or $0.75 today, though. Yeah. And he walks through, and that's why he didn't do as much. and today is, our average man.",00:02:11
Gus Gamble or Lola Clyde or Bob Clyde, 00:02:11,"We're doing an hour. Yeah, he he doesn't he is not nothing at all. And that is, another little hammer hand. we didn't have much use for him for a while because we thought he was the same. But he was. He was, he didn't pretend to do hard work, and he would drive teams somewhere in the field, and, I got a dollar a are.",00:02:42
Gus Gamble or Lola Clyde or Bob Clyde, 00:02:42,"But he had, he you get that though? His horses, they work and so on.",00:02:51
Gus Gamble or Lola Clyde or Bob Clyde, 00:02:51,He knew that. Do you remember about him? leaving some jobs there? Yeah. You boys have been selling these guys?,00:03:00
Gus Gamble or Lola Clyde or Bob Clyde, 00:03:00,"Yeah. Yeah, that's the ad. I know the monologue. And I need is for parts. That's not mine anyway. How many divorces? All summer? And after the mayor and the dog goes, he'll go on. And it's probably not the year for them. And, so the the hollow throated back and and you days after them and. Hello Virginia.",00:03:31
Gus Gamble or Lola Clyde or Bob Clyde, 00:03:31,"We in dogs in the fall they'll hold my shame and we'll give them one away. Well I was trying to and he was here and and I didn't that didn't sit well with us at all. Yeah, yeah, we're having to hustle, feed and all. Don't live here.",00:03:52
Gus Gamble or Lola Clyde or Bob Clyde, 00:03:52,Do you think he ate the dogs?,00:03:53
Gus Gamble or Lola Clyde or Bob Clyde, 00:03:53,Yeah. Those stories in the egg.,00:03:55
Gus Gamble or Lola Clyde or Bob Clyde, 00:03:55,"Dogs. Yeah. And I think he did. And, he had some little shack from between. well, we have in between, sorry. And, the dairy, there was no deer. It had been, ten years later, they have the, Yeah. Started, deliver a big, large meal and, and they had, but this cross country in, in Delaware they call tumble.",00:04:34
Gus Gamble or Lola Clyde or Bob Clyde, 00:04:34,"It's a little quiver now, but it was trommel and, now the brothers were back in their cattle, and they, they go out to the Clearwater River and, in the summer, in the winter. And, he's alive. The two of them come out here in the summer. They have. They had a lot of. But this little problem is not good.",00:05:03
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:03,"And they had the little one room shack. So, so later on the their had an old shack and and, no, no, no, don't even, he just called in through a window. Well, no, he, no, he was no good at all. But you some people kind of believe them. But those kids, the little ones, they were.",00:05:32
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:32,"But we we knew better. We. It was just an old hidden gem, or we didn't like that.",00:05:39
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:39,"And,",00:05:40
Sam Schrager,00:05:40,"Yeah. Well, yeah.",00:05:42
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:42,"Yes, I was, and I wasn't born, and.",00:05:45
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:45,I don't know.,00:05:47
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:47,Any stories about.,00:05:47
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:47,Yours.,00:05:48
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:48,About the King of the forest.,00:05:50
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:50,"Yeah, yeah.",00:05:51
Sam Schrager,00:05:51,"Did he say that he'd, That he'd ridden with Kit Carson?",00:05:56
Gus Gamble or Lola Clyde or Bob Clyde, 00:05:56,"Yes. Yeah. And he was supposed to show his children Carson a lot of things that he didn't know. So the the toy. Yes, yes. Kit Carson. No, he was, yes or no in the money? I never seen Carson. Carson shot the his dogs.",00:06:24
Sam Schrager,00:06:24,And then he disappeared about 19 three or he left.,00:06:27
Gus Gamble or Lola Clyde or Bob Clyde, 00:06:27,"Yeah. I didn't see the last time ever. So I, you know, I heard that he. I never saw him after that, but we met him on the road with him, and, 1 or 2 wouldn't have no idea when a really old, Well, they all, hack heck of this top of the hat. And he would go and control a lot of the area somewhere, and, he was, just out east of Moscow.",00:07:02
Gus Gamble or Lola Clyde or Bob Clyde, 00:07:03,"oh. Before I get, Cornwall even just, about four miles out past the the path, the golf course, the east of Moscow and then. Yeah. Yeah. Oh. Who with all that golf course? Our buddy and I do some plays.",00:07:31
Gus Gamble or Lola Clyde or Bob Clyde, 00:07:31,"Virginia. Oh, the Moscow golf course.",00:07:34
Gus Gamble or Lola Clyde or Bob Clyde, 00:07:34,"Yeah, yeah. who owned it? Yeah, it, some of Lodge owns it.",00:07:41
Gus Gamble or Lola Clyde or Bob Clyde, 00:07:41,"Oh, the Elks.",00:07:42
Gus Gamble or Lola Clyde or Bob Clyde, 00:07:42,"Yeah, yeah, yeah. That's that.",00:07:44
Sam Schrager,00:07:44,So you met Wild Davey out out there?,00:07:47
Gus Gamble or Lola Clyde or Bob Clyde, 00:07:47,"Yeah, I was that was an association of the. Now the. Oh, no, this one from outside through. But the the mountain thing. But then after that. Yeah. Yeah I don't know I, we met and I'll be and my brothers after my old brother stopped and he some haywire off the fence a long ways and, wrapped around who he was from the.",00:08:20
Gus Gamble or Lola Clyde or Bob Clyde, 00:08:20,"Yeah. I, I hacked we just have a shovel when real with, hoop around it and, and it would stretch and, dance or just drop off the, the.",00:08:42
Gus Gamble or Lola Clyde or Bob Clyde, 00:08:42,Because you got it all fixed anyway.,00:08:44
Gus Gamble or Lola Clyde or Bob Clyde, 00:08:44,"Yeah, yeah.",00:08:45
Gus Gamble or Lola Clyde or Bob Clyde, 00:08:45,"Well, I think.",00:08:46
Gus Gamble or Lola Clyde or Bob Clyde, 00:08:46,"Interesting and even nothing now and, and, the, the whole weather having to wire up the fence so birds jumped up and birds before they. I don't know how you can have the wire that and, and shoot it all on and wrapped it tight. And I guess he got, his shot.",00:09:09
Sam Schrager,00:09:09,With. He. Did he have a wife then?,00:09:12
Gus Gamble or Lola Clyde or Bob Clyde, 00:09:12,"I suppose, too, I guess. But I didn't know that until that little, old ten years ago or so. But he had so many schools around the university, but she didn't know very much now, or she wouldn't have been, but she wrote this book. Kind of told name.",00:09:33
Sam Schrager,00:09:33,So how did he work again? How did he how did he.,00:09:36
Gus Gamble or Lola Clyde or Bob Clyde, 00:09:36,"Oh, a little short fella about, or five. This his short? Did you 20 pounds or more. This little fat fella.",00:09:46
Gus Gamble or Lola Clyde or Bob Clyde, 00:09:46,You mean 120 pounds.,00:09:49
Gus Gamble or Lola Clyde or Bob Clyde, 00:09:49,"Oh, yeah. Yeah yeah yeah yeah yeah yeah. But he was, and,",00:09:55
Sam Schrager,00:09:55,And he wore the buckskin. He wore buckskin. Did he.,00:09:58
Gus Gamble or Lola Clyde or Bob Clyde, 00:09:59,"yes, yes. He would. yes. In,",00:10:05
Gus Gamble or Lola Clyde or Bob Clyde, 00:10:05,In.,00:10:08
Gus Gamble or Lola Clyde or Bob Clyde, 00:10:08,"His, regalia.",00:10:10
Gus Gamble or Lola Clyde or Bob Clyde, 00:10:10,Absolutely looks like that.,00:10:13
Sam Schrager,00:10:13,That's another picture.,00:10:15
Gus Gamble or Lola Clyde or Bob Clyde, 00:10:15,"All we have is. Oh, yeah. He's, he looks bigger, and, he was. I used to have a pretty good sized man there, but it was deep. Probably not touching the ground.",00:10:27
Gus Gamble or Lola Clyde or Bob Clyde, 00:10:27,"Yeah, I've.",00:10:28
Gus Gamble or Lola Clyde or Bob Clyde, 00:10:28,Seen it on a stump or something.,00:10:32
Sam Schrager,00:10:32,"Oh, and then. And then one. What? What's his. What are you saying about the girl? That. That he wanted to tone his hair? Yeah.",00:10:40
Gus Gamble or Lola Clyde or Bob Clyde, 00:10:40,"Yeah, yeah. And same, you know, this is a neighbor was down to that girl out loud. and I don't think she was of age anyway. He was. And she was very quiet. She said half an hour, and I think her mother thought cooler. And so one of all, he as it was in the house, so he came in.",00:11:07
Gus Gamble or Lola Clyde or Bob Clyde, 00:11:07,"So then you know what? He he, poster. Wouldn't you like to comb my hair? I don't know this a place, though, is like that. And though, he says no, it's all it is, so. And, all of good long. I just wanted to cut my. Oh, would hold my hair. And, who is he? Never, never has this wire with you.",00:11:39
Gus Gamble or Lola Clyde or Bob Clyde, 00:11:39,"Just serious. But he'll follow those and not. And I know it never had their wife and never had the depression or maybe it's the walking game, or I'd try. And I suppose.",00:11:58
Sam Schrager,00:11:58,While they e sure sounds like.,00:12:00
Gus Gamble or Lola Clyde or Bob Clyde, 00:12:00,"It, it sounds interesting.",00:12:02
Sam Schrager,00:12:02,"Their character. Oh, yeah.",00:12:04
Gus Gamble or Lola Clyde or Bob Clyde, 00:12:04,"I think, I yeah, well, I think I can stick that out so yeah.",00:12:15
Gus Gamble or Lola Clyde or Bob Clyde, 00:12:15,"If at all. Yeah. Yeah, yeah, I don't know.",00:12:22
Sam Schrager,00:12:22,"Well, according to this, his wife, wrote the books for him.",00:12:31
Gus Gamble or Lola Clyde or Bob Clyde, 00:12:32,Probably. And maybe the.,00:12:42
Sam Schrager,00:12:42,"Were there any other any other guy's characters around? And, like, I don't imagine they'd be like him, but were there any.",00:12:49
Gus Gamble or Lola Clyde or Bob Clyde, 00:12:49,Other sort.,00:12:50
Sam Schrager,00:12:50,Of crazy guys around you all.,00:12:53
Gus Gamble or Lola Clyde or Bob Clyde, 00:12:53,From.,00:12:53
Gus Gamble or Lola Clyde or Bob Clyde, 00:12:54,"But they were the ones. It was, what the ship was is.",00:12:57
