speaker,timestamp,spanish,words,tags
,,,,
Patricia McDaniel,[00:00:00:00],One two three,One two three,
Patricia McDaniel,[00:00:10:20],"This is Patricia McDaniel at an interview with Maria RodríguezLópezat her home in Nampa, Idaho. Today's date is April 16th, 1991. ","This is Patricia McDaniel at an interview with Maria RodríguezLópezat her home in Nampa, Idaho. Today's date is April 16th, 1991. ",nampa;idaho
Patricia McDaniel,[00:00:25:24],"Muy bien, señora López. Vamos a empezar al principio a hablar de la de cuando vino usted y dejó a Idaho ¿Usted vino de dónde? ¿Jairo?","Okay, Mrs. López. Let's start at the beginning, talking about when you came and left Idaho. Where did you come from? Jairo?",idaho
Maria (Mary) Rodríguez López,[00:00:40:26],"Oh, yo vine de Park, Texas.","Oh, I came from Park, Texas.",recreation
Patricia McDaniel,[00:00:43:19],"Park, Texas.","Park, Texas.",recreation
Maria (Mary) Rodríguez López,[00:00:45:17],Y vine a Everlyn. ,Y vine a Everlyn. ,
Patricia McDaniel,[00:00:48:17],En que año?,In what year?,
Maria (Mary) Rodríguez López,[00:00:49:08],Es la 1945.,It's 1945.,
Patricia McDaniel,[00:00:54:00],¿Y vino usted sola o con familia?,And did you come alone or with family?,family
Maria (Mary) Rodríguez López,[00:00:56:16],Mi papá. Él vino conmigo a a casarnos. Porque mi mamá no pudo venir porque era mucho gasto. Así que mi papá nomás vino y nos casamos y todo se regresó para atrás.,"My dad. He came with me to get married. Because my mom couldn't come because it was too expensive. So my dad just came and we got married, and everything went backwards.",
Patricia McDaniel,[00:01:12:28],Así su novio estaba esperando aqui en Idaho. Él tenía trabajo?,So her boyfriend was waiting here in Idaho. Did he have a job?,family;idaho
Maria (Mary) Rodríguez López,[00:01:20:04],No estaban en el Army.,They weren't in the Army.,
Patricia McDaniel,[00:01:23:18],¿Usted vino de de Park Tejas para para estar aquí en Idaho con con su esposo?,"You came from Park, Texas to be here in Idaho with your husband?",recreation;idaho;family
Maria (Mary) Rodríguez López,[00:01:34:03],"Sí, en, uh, nos casamos en enero del 22 en 1945.","Yes, in, uh, we got married in January of '22 in 1945.",
Patricia McDaniel,[00:01:44:29],¿Y qué piensa usted cuando llegó aquí en Idaho?  O es la primera vez.,And what do you think about when you arrived here in Idaho? Or is this your first time?,idaho
Maria (Mary) Rodríguez López,[00:01:49:22],"O se fue en. O bien nerviosa y con miedo. Pues yo no conocí a nadie. No conocía a nadie, ni así. Pero no, ya las gentes del yo las conocía de antes porque éramos vecinos, así es que yo y mi esposo nos conocimos antes y fuimos novios, pero cuando él se fue para oversea la guerra pasada, este como le dicen este, quebramos","Or she left. Or she was really nervous and scared. Well, I didn't know anyone. I didn't know anyone, not even that. But no, I knew the people from before because we were neighbors, so my husband and I knew each other before and we were boyfriend and girlfriend, but when he went overseas during the last war, as they call it, we broke up.",family;conflict
Patricia McDaniel,[00:02:22:26],Se terminara.,It will end.,
Maria (Mary) Rodríguez López,[00:02:24:11],"La la amistad, porque él dijo que era mejor así también y yo también opiné hasta que él regresara pa atrás. Entonces si acaso estaban, tocaba que volviéramos pasar así como si cuando nomás llegó a él aquí a Everlyn y diríamos a Estados Unidos pa atrás del de la guerra pasada, me mandó a escribir que quería que fuéramos novios otra vez y luego me.","Friendship, because he said it was better that way too, and I also agreed until he came back. So if anything, we were, it was time for us to go back like that, just like when he first arrived here in Everlyn and we were going to the United States back from the last war, he sent me a letter saying he wanted us to be boyfriend and girlfriend again, and then I...",conflict;family
Maria (Mary) Rodríguez López,[00:02:53:26],"En otra carta me mandó a ofrecer casamiento, que sería que nos casáramos.","In another letter he sent me an offer of marriage, which would mean that we would get married.",family
Patricia McDaniel,[00:02:58:29],Y así es como llegó aqui a Idaho. Y bien nerviosa.,And that's how she got here to Idaho. And she was very nervous.,idaho
Maria (Mary) Rodríguez López,[00:03:03:02],"Bien nerviosa, con esposo. Y no, nos casamos.","Very nervous, with a husband. And no, we got married.",family
Patricia McDaniel,[00:03:09:06],Todo muy bonita.,Everything is very pretty.,
Maria (Mary) Rodríguez López,[00:03:10:11],Mi boda ya.,My wedding already.,family
Patricia McDaniel,[00:03:12:05],Y la boda es donde estaba. ¿Aquí en donde? En everlyn. ,And the wedding is where it was. Here where? In Everlyn.,family
Maria (Mary) Rodríguez López,[00:03:17:01],¿En el jardín Donde?,In the garden Where?,agriculture
