speaker,timestamp,words,End Time
Laura Schrager,00:00:00,"Madeline Groh Gorman recalls her early childhood in Bovill and her parents background. Her mother was from a French upper class family and her father a commoner. After an 18 years separation, they were married in New York. Her father, Tom Groh, and uncle John ran the ball store for many years. On this day, Mrs. Gorman remembers the Indians who traded at her father's store, her uncle's tricks which almost killed him, and the arson attempts to burn the store.",00:00:28
Laura Schrager,00:00:28,She also remembers the tent meeting Chautauqua shows Pat Malone and Pete Olson hanging the Kaiser and their return visit to France. Some of the home remedies for your bad burns and the flu are recalled here.,00:00:42
Madeleine Groh Gorman,00:00:42,"In other words, I don't like to talk over the tape at all. Well, now, what did you want to know, though?",00:00:54
Laura Schrager,00:00:54,"Well, really, I wanted to ask you some things. Started back, with, you know, repeating some stuff we talked about last time. And, I really would like to get the story of your parents and how they met in, France, and, well, how that.",00:01:13
Madeleine Groh Gorman,00:01:13,Dad.,00:01:14
Laura Schrager,00:01:14,Long separation came about.,00:01:15
Madeleine Groh Gorman,00:01:15,"Her dad was, as a young boy, had to work because they had a 13 in their family and a friend of mother's father, asked him to take daddy Tom, as a, not a delivery boy, but, errand boy. And he and, would give him his three meals a day and a place to sleep so that, grandpa said, okay.",00:01:52
Madeleine Groh Gorman,00:01:52,"And the only place at that time that they could, of course, over there, class distinction is everything. The workers slept in a certain spot. Know the the family was completely barred off. Well, this, daddy, then, slept in the, the bakery where the ovens were because it was warm, and he had a little, oh, I guess a cot or whatever you wanted to call.",00:02:21
Madeleine Groh Gorman,00:02:21,"He had this place there that he slept in. He did little errands and everything. And, grandpa Stattmuller took compassion on him being a young child the way he was. I think it was either 10 or 12 years old or something like that. And he was underfed when he came to grandpa, and grandpa thought, well, now this isn't being human to have him like that.",00:02:50
Madeleine Groh Gorman,00:02:50,"So he permitted him to, spend some of his time with the children in the different gardens. See, in France, mother's place was quite a quite an estate. In fact, there was to give you a small idea of what, the estate was. They had over 300 fruit trees, 300 nut trees. They had a garden that was considered, the English garden.",00:03:20
Madeleine Groh Gorman,00:03:20,"Then they had one that was American Garden, and then they had the vegetable garden was all together. And what when I say English garden, I mean it had trees. It was really a park more than anything else. And grandpa had also, stable for running horses. Yeah. Running canters and so of course, then he permitted when the kids went to, the different, places to have a go on a picnic, daddy was included, Tom was included.",00:03:57
Madeleine Groh Gorman,00:03:57,"And this is how mother got to know. And dad, Tom was, so kind with the younger children that it impressed mother because mother was the oldest. The, girls. I think she's the oldest. Well, she was the oldest of the girls. And, this impressed made quite an impression on mother. How kind and gentle he was of the children.",00:04:23
Madeleine Groh Gorman,00:04:23,"And, of course, the the practically grew up together, more or less. And then when dad. I don't know how old he was when he decided that he. He was saving his money and he decided to come over to the States, and that way he came here. And then he thought, well, he was going to get rich quick. This business of gold mining and everything here.",00:04:48
Madeleine Groh Gorman,00:04:48,"Well, first to get enough money to travel. Apparently, then he did work in the bakery, and then he came up, well, came out, further west or from San Francisco. He came up here up north, I guess you'd call it. And, it's around in this vicinity. Then he tried to, gold mine, but I guess he's seven years or eight years or whatever.",00:05:15
Madeleine Groh Gorman,00:05:15,"It was. 18 years. I still have dad's, mining, some of his equipment. He had in the basement somewhere. I have his, gold pan, you know, and and, pictures of, the, cradles, the rock, the cradles for rocking. In the stream with, you know, to wash the sand away, you know, and then, of course, how.",00:05:45
Laura Schrager,00:05:45,Did they know? They knew before your father left that they wanted to.,00:05:49
Madeleine Groh Gorman,00:05:49,"Oh, yes. This. Yes. This is why mother went to into the court of Austria to get away from France so that people would forget about her. See, because, as I say, class distinction over there is very, very high. If you even thought of being married to a person beneath you, why, that was taboo for the complete family.",00:06:12
Madeleine Groh Gorman,00:06:12,"In fact, being that if she was going to marry dad, she was lower lowering herself. So far that, there might have been a blight or an illness or something in the family, and therefore no one else would ever approach to ask the other girls or the boys, if they did approach other girls, they'd, you know, they have.",00:06:34
Madeleine Groh Gorman,00:06:34,"No, that was it. There's no, it just wouldn't be. And, so the mother and went away for what I think. But 18. Yes. 18 years. She, for dad finally came to his senses. And I guess it was before 18 years, because he did have a little bit of, quite a little bit of money saved up so that he could she could come over and, then, of course, mother's dowry and all that.",00:07:09
Madeleine Groh Gorman,00:07:10,"Oh. Mother's dowry, was there they were to spend $20,000 on the wedding, and the dowry was $20,000. Were. You can imagine how, wealthy grandpa was because he had 12 children, and each child would be treated like. And so when mother asked dad if he knew if he wanted the dowry, dad said, no, just forget it is.",00:07:41
Madeleine Groh Gorman,00:07:41,"We don't need the dowry. Just leave it there and. And then. And for the wedding. He says it. Being that you're coming over here, we won't need a wedding, you know, like that. So we'll just forget about that. And, Then, uncle, as I say, Uncle Ferdinand came over with her. It was her youngest brother at the time.",00:08:03
Madeleine Groh Gorman,00:08:03,"Came over with her as a,",00:08:10
Madeleine Groh Gorman,00:08:10,"Chaperon. And of course, as soon as they, they had had all the, arrangements made, at the church and all that for the wedding. And so the they got, I guess the boat landed and then, it was early in the morning that she that they were permitted to get off of the boat or something because I know she says we got married after we landed in New York.",00:08:37
Madeleine Groh Gorman,00:08:37,"Now, I don't know whether they waited the following morning or what, but it was that was where they'd been married then. And then from there, now, Tommy put a doubt in my mind there two because, I don't remember mama saying anything about Davenport, but she did. She always mentioned Endicott, and she says when the first gift that your dad bought me, when we came back, it when we when I came up to, the hotel dad bought me.",00:09:13
Madeleine Groh Gorman,00:09:13,"Tom bought me a pair of boots, shoes, hit boots. Because the dust was so thick. So once you step inside, you just sank right into the dust. He's almost up to your knees in dust. Well, now, that may have been a little exaggerated. Up to the knees, but up to the ankles. I can understand that a and I do remember, too, that she said that it was so terribly hot that at night they would take sheets.",00:09:44
Madeleine Groh Gorman,00:09:44,"She had a rope put from one end of the room to the other, and they would take sheets and dip them in cold water and hang on, hang them up so that the evaporation would cool off the rooms that are remember also. And then from there.",00:10:01
Laura Schrager,00:10:01,"Did she ever talk about her first impressions of, you know, the change?",00:10:05
Madeleine Groh Gorman,00:10:05,"Yes. The change was so drastic to the mother. She often said it was like being reborn, starting all anew because everything that she needed or that she wanted and that she'd go to look for, they didn't have here in this country, like the one thing that they have over there in France now, we have now, was the, snaps, you know, the the snap.",00:10:36
Madeleine Groh Gorman,00:10:36,"Well, they they'd be on a whole string. I have some from France that we mother Sanford came back and they done on this. And then you just, so to the material and or wherever you needed the sets, and this was one thing. And then another thing was, certain type of safety pin that she had over there, that over here, they knew nothing about TOS.",00:11:04
Madeleine Groh Gorman,00:11:04,"Powders and soaps, were so entirely different that it was quite, quite a change. And of course, mother never knew how to cook that. That's absolutely, that was, that would prepare everything and then tell her what to do, in Bovill now, in during the time at Endicott and, Kendrick, she didn't have to because the restaurant was there.",00:11:33
Madeleine Groh Gorman,00:11:33,"You see the hotel and they had their the dining hall right there in the hotel. So, that way mom didn't have to worry about. But then when she got to Bovill, that was a different story. Again. And I do remember mother telling a little story of herself that, to show how not ignorant, but how, that she didn't know a thing about cooking a dad had.",00:12:02
Madeleine Groh Gorman,00:12:02,"We had prepared a great big pot of soup, ink soup, bowling, and they had the he she helped him prepare the vegetables there, and they were in a bowl. And then at a certain time, she was supposed to put these the vegetables in with the soup, you see, so the vegetable wouldn't be mushy. And so she did what she was told.",00:12:24
Madeleine Groh Gorman,00:12:24,"And, my heavens, the soup was disappearing. And so she was. Oh, she was just beside yourself. And there was no way that she could, talk to anybody because no one, understood her, and she couldn't leave the house because, to go to talk to Mary. Because we were still little, but we lived in back of the schoolhouse.",00:12:50
Madeleine Groh Gorman,00:12:50,"And Uncle Herman, that's, Herman Ziegler and Mary's husband used to be the caretaker for the school, and he had, a little bottle hid in our woodpile, and every. So they had a break, so they had to, what we'd call a coffee break. He'd come over to the, to our woodshed, and he'd have himself a drink of snaps.",00:13:20
Madeleine Groh Gorman,00:13:20,"And so mother was, just beside herself. And finally she saw Herman coming up the path, and she ran up, and she's. Oh, Herman. My goodness, I don't know what to do. I don't know what to do. My soup is disappearing. What do I do? And Herman just looked at me. Well, you. Yeah, it's very easy. Just add more water.",00:13:42
Madeleine Groh Gorman,00:13:42,"And so she didn't even have the the knowhow of even doing that, you know, not even thinking of adding water to the soup. But this is one of the things that she had told us. So. But, then from of course, as I say, from Kendrick, then she became up to Bovill.",00:14:01
Laura Schrager,00:14:01,Were they in Kendrick long?,00:14:05
Madeleine Groh Gorman,00:14:05,"Well, Tommy was born in Kendrick, so, apparently they must have been there. Oh. And I was born in Bovill, so they could have been there at least two years. Anyhow. They, really another thing that mother didn't care for. Kendrick was that they had the saloon, like Tommy called him. And, mother, and dad both did not like the idea of, of, selling liquor to people of whom they knew the children were at home and in need of stockings and shoes and clothing and food, and that the husband would come in there and spend his money for a drink.",00:14:57
Madeleine Groh Gorman,00:14:58,"And this often, mother said that both she and dad just did not care for that and were very happy to have, an excuse to get out of that business. So, this was another thing, but but I know that mother had often said that the reason why dad was in partnership with Uncle John was that John was slowly going under.",00:15:27
Madeleine Groh Gorman,00:15:27,"John was not, a, John was not a businessman in the way of saying, to, figures and, the way of handling people. He was, he was too fiery, quick tempered. And if a person would come in the store and just as, say, squeeze a tomato, he'd fire right back. You know, you're not supposed to do that.",00:16:01
Madeleine Groh Gorman,00:16:01,"Keep your a cotton picking hands, or we wouldn't say cotton picking hands in those days. It was something else. Hands off of my tomatoes. Well, you can't do that to customers because they will take offense and the heck with you. So. And this is the way John was, where dad could handle people and figures were, came very easy to dance and I've seen it were a dad would give me.",00:16:29
Madeleine Groh Gorman,00:16:29,"I always want to go down and help dad and dad would say, all right, you run these through the the adding machine. And this was later years, run these through the adding machine for me, and. Okay, well, then I'd take the bill and I'd run it on the adding machine. And by the time that I was through that, he had the answer already.",00:16:51
Madeleine Groh Gorman,00:16:51,"That's how fast he was in figures and how good he was with figures. He could take the three digits and he could go down with his finger like that, and then he'd put the answer down. He'd have a. And then, of course, with me, with the adding machine, it was verified that it was correct. That was that good with figures.",00:17:14
Madeleine Groh Gorman,00:17:15,"And then he knew how to handle people, especially the women he was. He knew that, politeness and, kindness was more than, you know, yelling at them because they squeeze me too. There's something such there. And then, dad had a way with the Indians, too. That's something else. The, I don't know what tribe it is.",00:17:44
Madeleine Groh Gorman,00:17:44,"Came up to Bovill every year to pick the camas. The, there was at the Potlatch, field there. They had quite a camas field, and the Indians would come up there and they did all the trading at the store. E.K. Parker would not permit the Indians to come there because of the smell. And believe me, some of those Indians really smelled coarse, wet clothes, and they get up to a hot stove.",00:18:14
Madeleine Groh Gorman,00:18:14,"Well, you know, but, in fact, we have, I still have them, little, booties that the Indians had made in, thanking my dad for being so kind and considerate that they made for both Tommy and I and one, I remember this, it made an impression. We were invited to the, Indian camp to have dinner with the chief, and we all went to dinner, you know, and, there's a horse drawn cart, and we had dinner.",00:19:03
Madeleine Groh Gorman,00:19:03,"It was lovely dinner. And, there was two different types of meat there, and we ate, tasted both meats and on the way home, there is s mother here. Juliet, do you know what kind of meat you have? And mother says no, but the I guess the light colored meat, it was just the like hard meat was really delicious.",00:19:27
Madeleine Groh Gorman,00:19:27,"And daddy says, well, do you think your meal is digested? Well, yes. Why? What's wrong? He says, that happened to be the chief's favorite dog. And mother says, oh, Tom. And he says, that is paying you the biggest homage you can ever have. He killed his favorite dog and had it served us, that was an honor. And the other meat was bear meat.",00:19:54
Madeleine Groh Gorman,00:19:54,"And this, kind of hit me because I had played with that little dog warden once when he came to the store. I had played with that dog. And then to think that we had him to eat and oh, he was a good But then those are, you know. So I know dad was quite highly esteemed by the Indians.",00:20:17
Laura Schrager,00:20:17,Was there anything that he did to.,00:20:20
Madeleine Groh Gorman,00:20:21,"You know. Well, dad always gave, correct weight or even more weight. And this the Indians, appreciated. And there was two Indian ladies that, left that, they had gotten away, I think were 3 or 4 loaves of bread apiece that they didn't pay for. And this cheese made them, marched them back like little children with their bread in hand.",00:20:53
Madeleine Groh Gorman,00:20:53,"Them apologized to them, and that was supposed to give them a punishment. And dad looked at the chief and he says, I think having to come back here the way you have made them do is punishment enough. And I think this is where these little booties came in. I'm not sure on that, but I think this is where they in turn hurried up and made little booties for the two.",00:21:23
Madeleine Groh Gorman,00:21:23,"The two women. I think this is it. I'm not sure, but. Oh, we received, several things from the Indians. Toys made toys from the Indians, throughout the years. And coming up there, being treated there.",00:21:40
Madeleine Groh Gorman,00:21:40,"So I don't know, it's. I wish I knew the the tribe that came.",00:21:43
Laura Schrager,00:21:47,Well is must be the Neze Perce.,00:21:48
Madeleine Groh Gorman,00:21:49,"Well, that's what I think too.",00:21:51
Laura Schrager,00:21:51,"In the summertime, up into the.",00:21:54
Madeleine Groh Gorman,00:21:54,Into the country.,00:21:55
Laura Schrager,00:21:56,"Yeah. I don't think it would have been the only other tribe would have been a cruise line, but I know them coming.",00:22:01
Madeleine Groh Gorman,00:22:01,"No. If it had been the Coeur d'Alene, Nez Perce, is the the name that stays in my mind, you know, you say Nez Perce, it rings a bell. But to relate it to exactly if this was the real tribe or not, I don't know.",00:22:17
Laura Schrager,00:22:17,"Well, there were several bands. No, I have no idea.",00:22:21
Madeleine Groh Gorman,00:22:21,"Well that's it, you see this is it in. Of course I'm, I'm partial to Indians. I always have them. I've always loved them for maybe it's their way of life that, The honesty you know of them and the, well you know, the way they, they're making of their things and their habits, their cooking. Dearly love to cook deep pits, you know, and things like that.",00:22:57
