speaker,timestamp,words

Elmer Flodin,00:00:04,"A lot of that he knows. Christ, they haven't put any content, his dad knew about that.",
Sam Schrager,00:00:10,"Well what was the story, the way you heard it?",
Elmer Flodin,00:00:15,"Well he heard it, he wrote back to Minnesota and told them about when he drove into Troy with the hack, when he crossed the Spring Valley Creek there, the fish were addicted to get his hack called Fish. That's all I heard, I heard that when I was a kid.",
Sam Schrager,00:00:34,"I heard one other one, he used to say, they asked him about the hills, and they said well it's hilly out there isn't it, because it's flat in Minnesota, and he said well, but all the hills run down, so there's no trouble with that.",
Elmer Flodin,00:00:51,"Yeah, they heard that when you go coasting, but they didn't see him coming back up.",
Sam Schrager,00:00:58,"What about Magnus and Johan Johansen, those two brothers, what do you remember about them? I heard they did a lot of things alike.",
Elmer Flodin,00:01:11,"They lived up here north, you know what Clark Gipper was, they lived north. Well Hunt, Hunt owned the land.",
Sam Schrager,00:01:22,Do you remember them doing a lot of things together in the old days?,
Elmer Flodin,00:01:26,"All I know is, you see them in town together, and when they had a corn crop pipe in one light, the pipe the other one filled up in the other light the same way. Then they'd see me in church, we went to church there, we'd see them in church every Sunday.",
Sam Schrager,00:01:44,I heard that they...,
Elmer Flodin,00:01:45,"That's all I know, they really got along well. They were just a pair, when the first one died, he passed away in the street, he was in the sermon in the church over there. See that hall down there by the park? Well that's the Old Norse church. That used to be where Addie Swanson, you leave Addie and go up a little hill and around the curve. Well right in on Toon's Field there, that's where the church sat and they moved from there to Troy.",
Sam Schrager,00:02:21,That was the church everybody went to?,
Elmer Flodin,00:02:22,"Yeah, that's where everybody went to.",
Sam Schrager,00:02:25,"So he died in the middle of the sermon, eh?",
Elmer Flodin,00:02:27,"And his brother, he got to his plum loss from there. That was Magnus that died in church.",
Sam Schrager,00:02:37,"I've seen their graves right next to each other in the cemetery. I'd heard from Carl, he said that they sold their place, you know, and then they were really sorry and they went back to it almost every day to look at it. Well, they had to go back and see it and finally they got it back again.",
Elmer Flodin,00:02:57,"Oh, that's what he said. Oh, I didn't know anything about that. I know that after Magnus died, then the church master, the young he lived in, probably lived up west down here in Mandel's Rest Home, right next to the National Church there where they tore that old building down. That's where he was the last.",
Sam Schrager,00:03:29,"This guy that I said before was, and you didn't know him, I think I said his name was Wild Bill, but what I've heard is that his name is Wild Davey and that he wore a buckskin jacket around the country a lot. Do you remember anything about it?",
Elmer Flodin,00:03:44,"Wild Davey. I'll tell you that once before more time. Or if I was, I guess I was born, but I was just a little kid. I don't even remember seeing him. I just rather heard about him.",
Sam Schrager,00:03:58,What did you hear about him? That there was a guy that had...,
Elmer Flodin,00:04:04,"Yes, see he lived, he had to dug out something like that, all of it down here on this side of Kendrick. And he had to dug out in the rocky side hill over there in the Boulder Creek Canyon.",
Sam Schrager,00:04:22,Did you hear he had a lot of dogs?,
Elmer Flodin,00:04:23,"A lot of dogs, yeah. He had a lot of dogs all the time.",
Sam Schrager,00:04:28,Did you hear anything else about him? Like what he used to do?,
Elmer Flodin,00:04:31,"The whole thing you sort of heard, you know, they said he'd always had a pine squirrel tail and a hawk feather in his hat. Always had a white-brimmed hat. My half-brother, he knew him. He didn't know him, but he seen him. It's too bad like some of them old, like old Alfred Mattson, if he be living now. He always come over there when he come over to the creek. He'd stop there, go on and stop there. After he come back from Troy, he would Moscow day to go there. No Troy, he said they were Moscow day trading. And then he always stay overnight over there. He stay overnight on Boulder Creek? No, over here on the Mattson. Oh, I see. Archibald's place, no. Oh, you mean Davy Wood? No. You know? Is he out of... Carl, I bet you Carl, he's always... Carl should remember.",
Sam Schrager,00:05:29,"He remembered a little bit about him. He told me, he was the first guy that told me about him. He said he used to, he said he was a great hunter. While Davy did, he liked to shoot the bull.",
Elmer Flodin,00:05:44,"Not like Joe Bjergland, he should know about him because he had come by there when he went from Boulder Creek to Moscow.",
Sam Schrager,00:05:53,"Did you ever hear about this, there was a miner who lived on Boulder Creek or down around Park? I heard from a couple people, there was a sort of a foolish miner out there. He was a guy who dug around, he dug a lot of holes and didn't ever get anything. But you never heard of him, anything?",
Elmer Flodin,00:06:15,No. I didn't know of anybody prospecting down in there.,
Sam Schrager,00:06:21,What about Marshall Hayes? What have you heard about him?,
Elmer Flodin,00:06:28,"Well, I'll tell you, there's another one that happened. I wasn't... I guess I could have been over six years old when he got killed.",
Sam Schrager,00:06:39,"Did you hear... well I know, I mean a lot of these things like this, I mean they're beyond what most people are old enough to remember. I mean everybody that was old enough to 15 or better or 20 at that time, they're mostly all dead. But I was wondering what you heard about what happened in the business.",
Elmer Flodin,00:06:59,"I knew that he was copying Troy and then at the slide he shot him. I don't know what came up between them, I don't know what that shooting was about.",
Sam Schrager,00:07:15,Did you hear...,
Elmer Flodin,00:07:17,"The one that Billy McGinn, now Todd McGinn might know something from his dad there.",
Sam Schrager,00:07:22,You think so?,
Elmer Flodin,00:07:23,"Yeah, because Billy McGinn, he was in the livery barn during the shooting. He dug back in the livery barn. He used to drive the livery team for Jones down there. So Billy McGinn, he told me that he was there at the time. See one was up the street and one was in the livery barn. And they had a big sign there in the corner, Inland Hotel. And that was taken down here, it can't be over seven years ago. And I never looked until a while before Billy McGinn died, he told me, well you seen the bullet hole? No, I said it. And they had taken that sign, there were seven bullet holes shot up in that sign. Really? Shot that high.",
Sam Schrager,00:08:09,Who was that? Was that Sly?,
Elmer Flodin,00:08:12,That must have been Sly.,
Sam Schrager,00:08:14,"Well see I'd heard that Sly wanted to get Hayes' sons after he got Hayes. That Hayes' sons were going after Sly. And that's why the shooting, he was shooting down on the street.",
Elmer Flodin,00:08:28,I don't know what the trouble was about that. You smoke?,
Sam Schrager,00:08:34,"No, no, Harvey didn't.",
Elmer Flodin,00:08:39,"Before that, I know old Chuck Wells up here, the Negro, he tried to arrest him there in Troy. Chuck was drunk and he'd be on the side of the road, right out of town. And he chased them clean to the top of the hill that were way down in there, to where the trailer house on the back road out of Troy. And kept shooting at old Chuck Wells. Oh not Chuck, Joe, Joe Wells. Kept shooting at him there too. Then he hollered back, he says, sir, it'll be my time next. Next time it comes Troy, then Sly will try to say, oh, it's too bad. He says, I don't want that chance. Because he figured out shooting him.",
Sam Schrager,00:09:28,"So Joe stood up to him, eh? Joe stood up to him.",
Elmer Flodin,00:09:31,"He stood up to him in town, but then after he got on his horse and started out, then he started shooting at him. What they said then, there was the storekeeper, I don't know, Larsen or Olaf Olsen had the store there with the bus depot. And told him if he'd shot Joe Wells there, he'd have had it because he didn't have the right to shoot at him. I mean, it's good enough to get out of the horse and leave town. I'll tell you, I think it really was kind of, might have been. You know over there right across from the depot is them old houses back in there. That's nothing but cat houses. And old Yoyos would go down there. Or he's too. So I just wanted to start over with some drinks and a brawl there. I don't know, I never heard.",
Sam Schrager,00:10:29,Have you ever heard of Joe fighting anybody?,
Elmer Flodin,00:10:36,"It was liked around here. I'll tell you if you'd have picked on Joe, you'd have had a bunch on you. Same with Chuck Wells. I'll tell you Chuck was a well-liked New Winston. There was no use starting an argument with Chuck or you'd have everybody else on you. He was just considered the best white man in the world.",
Sam Schrager,00:10:57,That's really good.,
Elmer Flodin,00:10:59,"I worked around him, for Christ's sake. He was always laughing. He was just like your dad, always laughing, happy. He was full of fun.",
Sam Schrager,00:11:07,"Did you ever meet Lou Wells, Joe's wife?",
Elmer Flodin,00:11:14,"No. I seen her. I've been there, he's got a tobacco shop there in Deary. I seen an old lady, but that's all. Don't even remember her, but she's kind of a skinny woman.",
Sam Schrager,00:11:29,"Arthur Burke, you know him? He told me once, he said, Joe used to like to say, I like my whiskey, but Lou, she likes her tobacco. And he said she used to like to chew tobacco.",
Elmer Flodin,00:11:44,She liked her tobacco.,
Sam Schrager,00:11:47,"In fact, he said she used to spit it through the knot holes of the old log cabin. She was that good.",
Elmer Flodin,00:11:56,"You know? No, I don't remember. I can't remember. Chuck, he started getting... He was a very dark. And his inside of his head was plumb white.",
Sam Schrager,00:12:17,"Joe, he used to freight too, didn't he? I heard he used to haul stuff.",
Elmer Flodin,00:12:24,"Well, he could have. He done logging, I think, up around there, around Deary.",
