speaker,timestamp,End Time,words
Sam Schrager,,,Yeah. When you first started in...
Roy Martin,,,"There was no was no such thing as caterpillar tractors. It was all horses. And being this was a short log country in Idaho, I only had lumber companies had their railroads. A lot of them that went up into the mountains, which most of them did, why it waswhat they called sidewinders you know. Kind of a side, pistons were on the side. You'd go up quite a steep grade. They paid good. They paid four dollars and fifty cents a day. And they'd charge you a dollar and twenty cents for board and room. And two bits a month for hospital and two bits a month for your laundry for your blankets a month. And they fed real good. Real good."
Sam Schrager,,,Did you get much help from the old lumberjacks to break you into the woods?
Roy Martin,,,"Yeah. You bet. Yeah. I wouldn't've knowed anything... Well the thing was I was a little bit light to be a hook man or anything like that. But I was pretty good with horses. And I drove team. Skidding, c ometimes on a crosshaul. And mostly skidding loading logs sometimes was an old fashioned flosshaul which is loading sleighs in the wintertime. You haul them logs out with sleighs in the winter, wherever they could. A lot of places where it was steep, they had what they called a chute. And they would chute these logs.it was a log chute. And them logs chute runs for miles. Some places they were quite long. Some places they didn't have to be. But I worked on chutes that were seven miles long. Not in Idaho, this is in Montana. I had a chute in Montana, Ross and Riley's camp in Montana. That was seven miles long. Somewhere along in there. Yeah, right around seven miles."
Sam Schrager,,,"On a chute like that, what did you do?"
Roy Martin,,,"We tailed them down into the chute and then you had a team of horses and you'd give 'em a start. And they once got started why, they kept going til they got to the bottom of the mountain. Or, jump off the chute once in 2 a while, they'd jump off. Not very often. Once in a while a log or two would jump off the chute. Where it was too steep, they used goosenecks to stop the logs and sanded the chute and goosenecks and stuff like that."
Sam Schrager,,,Did you think it was very dangerous work?
Roy Martin,,,"You had to know what you were doing. You had to, people told you what to do if you didn't know, you know. And sometimes it was dangerous. But ordinarily it wasn't any dangerous than any other line of work, I don't think. Kind of a rough deal but, it was healthy."
Sam Schrager,,,What about the lumberjacks? What kind of guys were they?
Roy Martin,,,"Pretty good sort of people. They were different sort of people then you have today. I mean, in respect that they, they would more or less help one another out sometimes you know, if you were broke, as a rule they wouldn't say,""Well, how you doing, are you broke?"" They'd say, Are you eating?"" ""Are you eating?"" ""No."" ""Well, I got a couple of bucks here, couple of dollars here."" Well, sometimes you return the favor, you know what I mean? Help a fellow out. They'd help you out. At that time the only union they had was when I started working in the woods, why, superintendent said,""Do you belong to the union?"" I says,""Nope."" ""Well,"" he said,""you have to belong to the union."" he said,""to work here."" And I said okay. Charge you five dollars to belong to the union. Charge you fifty cents a mpnth dues. alright, you know. And so I became an I.W.W. Which is Industrial Workers of the World. And course every craft had a different number and all the lumberjacks were what they called 120, local 120. That took care of the woods workers. And mining and different crafts had different numbers. Although, they were in the same union."
Sam Schrager,,,Did the union do anything? Did you have any contact with the head of the local?
Roy Martin,,,"Well, they had what they called delegates. And if you a camp say of a hundred and fifty, two hundred men, there's always one or two delegates there, you didn't know who they were but, they would come around and they would, they'd find out did you belong to the union. And how you stood with your dues and so forth. And those men collected dues and then they would take the money to whatever union hall they had. They had one in Spokane and oh every here and there theyflf have a union hall somewhere and they would turn their money into the union hall and then they would get new stamps, a batch of new stamps so if they lined someone, they called it line 'em up, you know into the union why, or payed their dues, why they would do that, you know, Like you'd meet a man said,""Yeah, I'm a month behind or two months behind."" Well, he'd pay two or three months dues. And then the delegate would sign the stamp with his initials. And put the stamps in: there and then you'd pay it. That's all there was to it."
Sam Schrager,,,Did you ever strike or try direct action while you were in the union?
Roy Martin,,,"No, they didn't have any strikes while I was in the union. They course, I didn't belong to the union too long anyway. I think I joined about 1924 and so about 1929 I joined the army and so I didn't take rny card with me because the army wouldn't take you if they thought you belonged to the I.W.W. because they were supposed to have been a Communist organization. So they said. But it was the only union that we had in Idaho. If it hadn't been for the I.W.W. they probably wouldn't havean eight hour day yet. And probably be packing blankets like they do in California yet. You don't pack no blankets in the lumber camps of Idaho. Or Montana."
Sam Schrager,,,Do they still pack blankets down in California?
Roy Martin,,,"Why, sure. You go to work for a farmer down there, say,""Well, where's your blankets?"" Yeah. People up in this country here and oh Montana and North Dakota and all them countries, them people up in there, they furnished you a place to sleep and they furnished you blankets. They won't do it in California. You furnish your own blankets. And they wouldn't allow. lt was the I.W.W.'s that got the blanket roll off a man's back in this country. And got an eight hour day and got some decent food and good conditions, which they didn't have. Course that strike came about long 'fore I was in the union. But..."
Sam Schrager,,,Why do you think they were always getting pinned for being Communists?
