speaker,timestamp,words,End Time

Sam Schrager,00:00:02,"This fifth conversation with Arthur Sundberg takes place at his home in Potlatch on August 7th, 1975. I've heard that that was that Corliss engine was really a monster.",00;00;35;16
Arthur Sundberg,00:00:35,"Yeah, they had two Of them. They had one that drove the sawmill, and then they had one that drove the cleaning mill and. Of course, the the one that drove the sawmill was. Half again larger than the one that drove the planer, but the one that drove the sawmill. It. They kept it in place down there after it was taken out of service for a few years. And, oh, there was a lot of. Different discussions as to what to do with it. The. The old Ju scrap iron dealer. He, he wanted it for scrap because it was it was the highest quality scrap that you could possibly find. But he wanted to buy it for so much a ton on board a car. Well, management approached me on it and and I disturbed discouraged them on that because they wouldn't only give the engine away, but they lose money too, because it would take it cost more money to take it out of there than it would to.",00;02;11;26
Arthur Sundberg,00:02:11,"What they did for it, for scrap. So they'd just sit there, but then finally. Name Williams up here in Spokane. And he's a he's a brother to this Williams that makes this. Port diamond temperature signs. You know you've seen these electric signs that change every minute and gives you the temperatures. He talked him into giving it to him. But he would take it out. That is he would pay for taking it out. And he was going to put it up, up and Spokane. And he's out there by Medical Lake, along with a lot of other old sawmill, mining and farm equipment and make a museum, you know, for the public. So they give it to him and… so he, he… approached me, wanted me to take it out. That was after I had retired. And I told him, no way would I take it out because I said, I, I don't do any lifting or slugging or any of that heavy work. Well, he said he didn't want me to do any work. He said he'd get ironworkers from Spokane do the work, but he wanted me to supervise it, telling him how to take it apart and and then mark all the pieces so they could be reassembled.",00;04;15;19
Arthur Sundberg,00:04:15,"So I said I agreed to that. So I supervised the taking the engine down and and shipping that the Spokane. But… oh that thing… he had run… from the time the mill started and. I'm not entirely certain whether that was a brand new engine when it was installed here. You see, that was built by this Minneapolis. Company. And there was only. Seems to me like there was only three engine that was ever built in that size, and the other two, I believe, was installed in some big breweries back in. In Wisconsin. I think that one in Minneapolis and I think the one in Wisconsin… but… the time that that was dismantled, they had it. Oh, they they disconnected the big steam pipe. There was a 12 inch steam line that supplied the engine, but they disconnected that and just hooked up a two inch airline to it, and there wasn't any load on it, you know. So.",00;06;12;06
Arthur Sundberg,00:06:12,"Periodically when they had visitors coming through a bunch of visitors, then they'd start up the engine and let them see the run. It just run on on air pressure, you see, but no load. But that being run by a dual watch and said. Well, a person really should have a picture of it to see the. Get some idea of the size of it. You know, the, the flywheel on it was. 60in across and 24ft in diameter. And this folks on that wheel, you know, the spokes were about like so, you know, of course they weren't round. They were, you know, flattened with all cast iron. The frame was all cast iron. And. The only thing that was, was steel was the connecting rod. And of course, the bearings were, were bronze bearings with Babbitt inserts. But it had a 48 inch cylinder 48in in diameter. The cylinder, just one cylinder. And.",00;08;03;01
Arthur Sundberg,00:08:03,"Get the stroke on it. But anyway, that was. 1200 horsepower in one engine, so it was quite a piece of machinery.",00;08;20;27
Sam Schrager,00:08:20,Would you explain briefly how.,00;08;23;10
Arthur Sundberg,00:08:23,It worked.,00;08;24;04
Sam Schrager,00:08:24,The Corliss engine?,00;08;27;12
Arthur Sundberg,00:08:27,"Well, it's a little bit difficult to explain… if… unless a person is is acquainted with, you know, with engines, stationary engines… this… i could, I could make you just a small sketch of the operating mechanism. Anyway, there was eccentrics on the main crankshaft. Between the the main bearing and the flywheel. There was two big eccentrics on the on the shaft there. Now, if you know what an eccentric is, that's it's something that runs off center. You seem like so. But then connected to these eccentrics was push rods, steel push rods. And these rods are about 20ft long. And they run back to the steam chest. And of course they worked on the outside of the steam chest a little. On the stage at the end of these push rods… they worked… an eccentric there, of course, it on the steam chest. But this, this rock back and forth like so. You see one at each end of this cylinder. And then there was a rod that come down from that down, and they opened and closed valves. Now they had rotary valves that went through. There was.",00;10;43;05
