speaker,timestamp,End Time,words
Roy Martin,,,"I take a drink now and then. I get to feeling too bad, take a drink and you take, you got bottles and bottles of pills here. Some for arthritis, some for heart trouble, some for, I don't know if you know what charley horses are but when you get older, when you do alot of work, if you do alot of work, you get cramps in your legs, they call em charley horses, that's the old nickname for em. I don't know what the new nickname is. Mrs. Swetzer gave me some pills. They were five grain quinine. That will stop charley horses, If you ever get 'em, you remember that."
Sam Schrager,,,Five grains.
Roy Martin,,,"Mrs. Fletcher, she used to be a registered nurse. I think she was. Don't quote me on it. I think she was, but she's pretty good on that.talks to cat. Deleted from manuscript, conversation about cat. N0w I tell you, I'm living better snow than I ever have in my life. I never had it so good. I got all I want to eat, I got no money. Because I spend everything I get on what I eat. And when I die, I don't know what's gonna happen. But they'll either have to bury me for love, and I don't know who loves me. Or they'll have to bury me for stink. I don5t care which. One of those two."
Sam Schrager,,,You're not going to have to worry about it.
Roy Martin,,,"I paid taxes all my life. I don't have any insurance. I don't have any hospital insurance. No burial insurance. No nothing. I live just the way I live since the dayI was born. Live rough and tough and hell, used to be you could bury aguy for 20 bucks. Now they made big business out of it. Like they did everything else. When I went to work in the woods, you could mark your name, initial on alog, it cost you about eight cents for apiece of keel, would last you amonth or more. N0w they want adoolar and twenty nine centsW the same piece of keel."
Sam Schrager,,,Keel?
Roy Martin,,,"Keel. You know what keel is? Maybe I got apiece in my pocket. You see how sharp my fingers are? I just about wore it down. Anyway, you mark your log with akeel. That piece is pretty short, I got a longer chunk. But I ain't had enough money A to buy another one. Or never thought to buy.pause in tapeThat's as far as I went. I didn't graduate! I actually didn't graduate out of the third grade grammar school. But I learned a lot on the way. I not too good on figgers. I can add quite well. I can write quite well. I can spell about 60-40. That's about all I can spell, 60-40. But 40 per cent will be wrong, sixty per cent will be right! That's as far as I can go. 0n our language, that's if you don't get too high. If you don't start getting sophisticated words. I cai do pretty good."
Sam Schrager,,,Why did you only go to the third grade?
RW,,,"Tell you what, boy says to me, friend of nine, lives in Sandpoint, I Daho, the said, ""Roy, there's some big fish, Sand Creek. Let's go fishing tonight."" No, the said tomorrow night. I said alright, that's a date. Maybe it was the middle of the week, we don't know what day it was. I said, that's a good deal. I'll have my lin and hooks and a couple of cans of grasshoppers. We didn't use reels and poles in that time, because we didn't have the money. times is tough. Areel is something for sportmen. But we didn't have reels and we used alongpolT. Well, lonq as we wanted, maybe eight foot long. Seven foot, eight foot long. We'd catch Dolly lardon, eastern brook, lot of eastern brook. Sand Creek was full of eastern rook. Beautiful trout, it wasn't over fished. People from Spokane never came up there. I t's too far, the roads were too bad. we fished Sand Creek and then we'd go over to Pack RV8r and we'd fish ' . And sometimes we'd take ahorse and buggy. And we'd go to the upper end of Pack River, we'd catch white fish and cutthroat trout. Rainbow trout, eastern brook, all good fishing. No competition a tall. There., was plenty of fish. We could go down to lake and catch all the bullheads we wanted at Sandpoint, they had agreat big dock, run out of Sandpoint, where alogging company , sed to drop their logs in. They dropped the logs in and we'd watch, and when there was nobody dropping logs, which was probably hours and hours, and we'd go over t: ere and fish off the dock. We'd catch trout, lake trout, mostly different kinds of trout in the lake. Never catch any white fish then, at that time of the year of course, they were all up the rivers. But we'd catch bullheads, we'd catch trout. All the trout we wanted."
Sam Schrager,,,What about the eveningthe told you to come fishing with him? Was there something special about that night?
Roy Martin,,,"Yes. We was to go and fish for some Dolly lardon. And I had a woman school teacher, she was a very nice woman. I t was a one room schoolhouse at Selly. Andthe said, bring your fishing gear, youffishing line, just had 'em in my pocket, just line wrapped on a stick. And we'd have a bunch of hooks in our pocket We'd have two or three cans with us. Probably Prince Albert cans or Velvet cans and we'd fill them with grasshoppers and then we'd all run down to Sand Creek which is about three and ahalf miles awayWe run down there after school and we go fishing. After school. And we caught a lot of trout and we'd bring the trout home to our folk.. And probably be the only fresh fish that they'd eaten in quite sooe time. 'Cause you didn't go to the store and buy fish them days 'cause there was no store there and the thing was that we had fresh fish. And we enjoyed fishing as kids. And we got Dolly Vardon trout, sometimes we'd catch trout, weih five or six pounds. Not too often. Maybe about, one of us would always catch a good trout. But most of our trout was 12,14, 15,16 inch trout. Nice looking trout. We'd never keep anything less than about 10 inches."
Sam Schrager,,,What has that got to do with you leaving school?
Roy Martin,,,"Well, what happened was the next day the teacher got onto me and she told one of the boys to go out and cut a big willow. And I knew what that meant."
Sam Schrager,,,What did you do?
