speaker,timestamp,words,End Time

Sam Schrager,00:00:00,"This conversation with Ione Adair and Bernadine Adair Cornelison took place at their home in Moscow on January 27th, 1976. The interviewer was Sam Schrager. I think it said lavish garden parties and social gatherings. What are they talking about?",00;00;25;06
Ione Adair or Bernadine Cornelison,00:00:25,"Over at the mansion, the museum you'll find two photographs. And those photographs are pictures of a garden party that we had down in underneath here. At that time, this was a low plot year. And the high sidewalk went along that side, and the garden party was put in here, and we put a long table. I'll just outside the basement door. And from that we served the people there were. Oh, must have been somewhere near 100 of the people that were there. And the the picture shows the the picture of the people sitting around in the in the garden and the Christmas tree. We wanted decorations for flowers for it, and we had no idea where to get them. And my sister and I got in a in the carriage and drove down towards Wheeling and along the banks of this little stream, along by between here and Wieland, we saw Vokes flowers in bloom, and we got out and got them.",00;01;43;12
Ione Adair or Bernadine Cornelison,00:01:43,"Nowadays you wouldn't think of getting it, but they were great big heads of yellow flowers of some kind. Do you remember what Tansy looked like when they said? Well, the flower was somewhat like Tansy, but we gather these great big arms full of these flowers and brought them back and put them in umbrella stands and jarred mirrors around at different places in the yard. So we had decorations and he didn't.",00;02;11;16
Ione Adair or Bernadine Cornelison,00:02:11,"Any flowers then it would be was our gardens. Weren't our beds in bloom? Oh yes. Mother had a big a big bad around bed down here that she had Kaunas in Kaunas and geraniums. And I was teaching at the Whitworth Road was a Whitworth school at that time, but it was the old school that was down where the where that new. Building has been put on down there. And I took the geraniums done and kept them in the school windows during the winter. And mother put them out in the spring at around her khanna's in the flowerbed. My father was very interested in snapdragons and he had a long bed, oldest, probably 10 or 15ft long, along the edge of the sidewalk that came from the upper yard, down across. And that was his snapdragon bed. And anything happened to those snag dragons you were in for an awful mess. Well, I just passed the day with the gravel path. That was the old garden. We we did have we had a couple of those big parties in there, and many of the people that attended were the wives of professors and teachers themselves at the university that mother knew, as I told you at one time, that the people on one side of town had a certain day for calling, and the people on this side of town had another day for calling.",00;03;54;06
Ione Adair or Bernadine Cornelison,00:03:54,"And you called on those days, and you always left the calling card to show that you'd been there. And that little brass table up here is the calling card table that belonged to the wife of the head of the engineering department of Mr. Little at that time.",00;04;13;13
Sam Schrager,00:04:13,"Well, does that mean that the people from this side of town went over to the other side of town on that day, and from the other side of.",00;04;20;03
Ione Adair or Bernadine Cornelison,00:04:20,Town did their calling.,00;04;21;19
Sam Schrager,00:04:21,So it would be one side of town calling on the other side of town. Just about.,00;04;26;12
Ione Adair or Bernadine Cornelison,00:04:26,"One had Wednesday and the other had either Tuesday or Friday, or some one day. They each side of town chose the day that they would be at home.",00;04;38;11
Sam Schrager,00:04:38,So that side of town was the university professors and wives. And this side were the town businessmen and their wives.,00;04;46;17
