speaker,timestamp,End Time,words
Unknown Interviewer or Fannie Cuthbert Byers,00:00:00:00,00:00:10:29,Testing 1234.
Unknown Interviewer or Fannie Cuthbert Byers,00:00:11:01,00:00:14:20,Cookie.
Unknown Interviewer or Fannie Cuthbert Byers,00:00:14:23,00:00:32:00,Metal. Coffee. Were you born in Biloela? Right on this way. Do your folks home stand or no preemption? Got it from somebody who's mom from Spain. You could find.
Unknown Interviewer or Fannie Cuthbert Byers,00:00:32:02,00:00:39:14,"On this place here, right? Yeah. I have no other name, people. Yeah. It was."
Unknown Interviewer or Fannie Cuthbert Byers,00:00:39:15,00:00:45:13,"Damn. Sanders, old Bill Sanders. They are born."
Unknown Interviewer or Fannie Cuthbert Byers,00:00:45:20,00:00:53:25,Here. what year did you folks come here? We know.
Unknown Interviewer or Fannie Cuthbert Byers,00:00:53:27,00:01:03:28,Right before that.
Unknown Interviewer or Fannie Cuthbert Byers,00:01:04:00,00:01:07:24,"About 88, we'll say. And what you're."
Unknown Interviewer or Fannie Cuthbert Byers,00:01:08:00,00:01:12:24,Saying you were born 93.
Unknown Interviewer or Fannie Cuthbert Byers,00:01:12:26,00:01:21:16,log house right down here in town. Was it the house on the right? I think it was.
Unknown Interviewer or Fannie Cuthbert Byers,00:01:21:18,00:01:29:17,How many children your family? Eight. went to school.
Unknown Interviewer or Fannie Cuthbert Byers,00:01:29:19,00:01:33:09,Right in Lyle and my school.
Unknown Interviewer or Fannie Cuthbert Byers,00:01:33:09,00:01:40:06,Level. what kind of school did they have on file when you went down there? Good luck.
Unknown Interviewer or Fannie Cuthbert Byers,00:01:40:08,00:01:50:05,"All under one roof at all. Eight grade. do they have one Peter Green screen? Well, I think my first teacher was Peter Walker, but."
Unknown Interviewer or Fannie Cuthbert Byers,00:01:50:12,00:01:58:05,"Then right after that, they had to read the older grades in order. And,"
Unknown Interviewer or Fannie Cuthbert Byers,00:01:58:08,00:01:59:12,One of my sisters.
Unknown Interviewer or Fannie Cuthbert Byers,00:01:59:12,00:02:10:07,"Was one of the first of his eighth grade. Graduated from the eighth grade, you know. All right, they just got it sort of system. Right. So."
Unknown Interviewer or Fannie Cuthbert Byers,00:02:10:09,00:02:13:25,"they had all the grade, and that was Mr. Tom, Charlie Thomas."
Unknown Interviewer or Fannie Cuthbert Byers,00:02:13:25,00:02:25:23,"And his wife, Todd, and, And it went just to the eighth grade. Bam, bam bam. How did you go to school?"
Unknown Interviewer or Fannie Cuthbert Byers,00:02:26:00,00:02:49:17,"Well, mostly on foot as long as the other kids went. But after they got big enough after high school, I was a little younger then. I had a hard drive because it was so much timber between here and my whole life, ready to go along. Well, this was the road in here. The iron ore. Yeah, road was here."
Unknown Interviewer or Fannie Cuthbert Byers,00:02:49:20,00:02:52:25,but this timber almost.
Unknown Interviewer or Fannie Cuthbert Byers,00:02:52:25,00:03:07:29,To the road. And what did you folks do? What do you do for a living? Well made work and law. And then Harvard. I think you kind of separated from Mr. Whitmore for 20.
Unknown Interviewer or Fannie Cuthbert Byers,00:03:07:29,00:03:17:20,"Four years, I think. And think of it. Well, he's the old fella in town. Has to be 102 years old. His friend. Right machine. Oh, and he."
Unknown Interviewer or Fannie Cuthbert Byers,00:03:17:20,00:03:34:11,Ran machinery and my old appliances. And hauled bundles with them with the horses and wagon and broom. Our farm system.
Unknown Interviewer or Fannie Cuthbert Byers,00:03:34:13,00:03:38:09,Well what farm. was done. He cleared all this.
Unknown Interviewer or Fannie Cuthbert Byers,00:03:38:09,00:03:44:24,Land that's cleared. I don't suppose there was any cleared except just a little orchard when you come.
Unknown Interviewer or Fannie Cuthbert Byers,00:03:44:26,00:03:53:25,"But there was some, you know, if anybody wanted to work, there was always selling the old every place and where they doing a lot of lumbering."
Unknown Interviewer or Fannie Cuthbert Byers,00:03:53:26,00:04:06:09,"Yeah. In this area here. And, there's been a sawmill on every hollow up, you know, up in the road here. And,"
Unknown Interviewer or Fannie Cuthbert Byers,00:04:06:12,00:04:09:29,"Oh, well."
Unknown Interviewer or Fannie Cuthbert Byers,00:04:10:02,00:04:39:08,"In 93, that was all the old people. I think there passed away now. But that was the wet year when they couldn't harvest their grain. It rained and they didn't get any harvesting done. That was the year I was born. But my dad said that was the best year for him here, because everybody had all kinds, and he could raise his cattle and get cheap seed because they couldn't, because they wanted to go trade it for work or trade for anything."
Unknown Interviewer or Fannie Cuthbert Byers,00:04:39:08,00:04:43:07,"He had a post, drill, whatever he had. So he always."
Unknown Interviewer or Fannie Cuthbert Byers,00:04:43:07,00:04:47:25,"Said that was a good year for him. In fact, I think,"
Unknown Interviewer or Fannie Cuthbert Byers,00:04:47:27,00:04:49:12,Lumber was cheap and.
Unknown Interviewer or Fannie Cuthbert Byers,00:04:49:15,00:05:08:22,"We had a big house here, that Bert farm where all of us grew up, you know, and the log house and then the big house and then this little house, which was named Fannie Davis Cuthbert. And he had three senior managers, Mary Commissions, and they come."
Unknown Interviewer or Fannie Cuthbert Byers,00:05:08:28,00:05:11:20,Across the ocean three times.
Unknown Interviewer or Fannie Cuthbert Byers,00:05:11:22,00:05:15:26,Come out and then back to come back. Where did they come from? From Scotland.
Unknown Interviewer or Fannie Cuthbert Byers,00:05:15:28,00:05:24:03,"Or we got them. Did they come directly out? I don't know, they came a my father's folk."
Unknown Interviewer or Fannie Cuthbert Byers,00:05:24:05,00:05:32:16,Had come before and there was a sent from my mother and she come they were all raised in Scotland.
Unknown Interviewer or Fannie Cuthbert Byers,00:05:32:19,00:05:38:16,"And come to Iowa and then they got so ahead, so many thunderstorms."
Unknown Interviewer or Fannie Cuthbert Byers,00:05:38:16,00:05:49:21,"And, tornadoes and what have you, hailstorms that they come to Kansas. And then from Kansas, they came here. And my mother always."
Unknown Interviewer or Fannie Cuthbert Byers,00:05:49:21,00:06:08:25,"Said she thought it was heaven when she got here. They didn't have so many different kinds of bugs and a few things, but I don't know. I've heard her say lots of times, if they'd had money enough to get away, they wouldn't say they didn't know where they go, but they, they, they went somewhere. So they had to stay because they didn't have any money."
Unknown Interviewer or Fannie Cuthbert Byers,00:06:08:28,00:06:10:20,"Of course, that was the way everybody."
Unknown Interviewer or Fannie Cuthbert Byers,00:06:10:20,00:06:15:18,"Was then they, you know, you didn't have so much money. nobody did that."
Unknown Interviewer or Fannie Cuthbert Byers,00:06:15:25,00:06:16:13,Like it is.
Unknown Interviewer or Fannie Cuthbert Byers,00:06:16:13,00:06:26:00,"Now. So, do you remember when the church was up to file? And,"
Unknown Interviewer or Fannie Cuthbert Byers,00:06:26:02,00:06:27:02,You don't have to remember.
Unknown Interviewer or Fannie Cuthbert Byers,00:06:27:02,00:06:40:16,"What year in fire was being burned down? The original church. Yeah, I graduated from the eighth grade, and I was visiting my sister over at Sweetwater. Went and."
Unknown Interviewer or Fannie Cuthbert Byers,00:06:40:16,00:06:41:17,Getting ready to come back.
Unknown Interviewer or Fannie Cuthbert Byers,00:06:41:17,00:06:48:27,To go to school when I was going to school in Moscow. So that would have been when I graduated grade. So you can.
Unknown Interviewer or Fannie Cuthbert Byers,00:06:48:27,00:07:02:01,"Figure real nicely about 14 years from 76. And what that means, let me get a part of that. And."
Unknown Interviewer or Fannie Cuthbert Byers,00:07:02:03,00:07:20:05,"In fact, it burnt down. That was the FIR and the church. And I still have some. And then. Who have burnt twice that year. Then they picked up the church. Oh, they."
Unknown Interviewer or Fannie Cuthbert Byers,00:07:20:08,00:07:25:24,"Oh, we were back in business."
Unknown Interviewer or Fannie Cuthbert Byers,00:07:25:26,00:07:41:25,"Well, that for the in 62 years after that. And you know who burger. 0I0I mean that was a stinker boy side after 60 there were Germans s pto secretly I believe."
Unknown Interviewer or Fannie Cuthbert Byers,00:07:41:27,00:07:55:08,"And they lived over across the road from Warren Hill over here. well, that's on the first cut off. you hear them? So why they burned?"
Unknown Interviewer or Fannie Cuthbert Byers,00:07:55:11,00:08:19:28,"Well, seemed as though he didn't want to go to school, but, and he had a stepsister and adopted sister. She work, and she was like, she saw the human hand, and I don't know, between the two of them, they got it in their handyman things. And, really, I don't think anybody ever quite knew just one. And then they didn't do anything with him."
Unknown Interviewer or Fannie Cuthbert Byers,00:08:19:28,00:08:50:12,"But his father promised to take him out of the state. So he never lived here in after all the fires. Oh, he burned other thing he burnt some haystacks or somebody. And I've just forgotten who would seem to be a firebug, I guess. And so they moved away, and they moved up by farming and and the in later years, you know, he got married and my sister, who lives in Spokane now, met up with him one time up the lake."
Unknown Interviewer or Fannie Cuthbert Byers,00:08:50:12,00:09:14:08,"Him and his wife was fishing. And of course she wasn't here when the fires were. He was grown up and moved away, but she remembered the name that that was the same and a very nice man he grew into. But I don't know, he just got an idea of burning and that's what he did. So he said, tell me about when your father was clearing land where they grew berries."
Unknown Interviewer or Fannie Cuthbert Byers,00:09:14:10,00:09:40:14,"Yes. Put everything in strawberries. And that was the big crap of the year. I can remember. We always, Well, there wasn't too much cash those days. We could always trade the berries at the store or procure, anything in my hand I can remember. We can always, We'll everybody pick married. All the kids, those. They pick berries and always figured what we do."
Unknown Interviewer or Fannie Cuthbert Byers,00:09:40:14,00:10:00:28,"And of course, when we hit the cabbage patch, why, we got a little extra. You know, from, besides what we pay, you know, when you needed clothes and things like that with the time of year, you got it. And very seasonal. Did you did you market you berries other than just trade them at the store or."
Unknown Interviewer or Fannie Cuthbert Byers,00:10:00:29,00:10:28:02,"Oh, I think there was lots of cows. Yeah. They didn't can. And those days that seemed like, well I guess everybody is more, you know, selling just to local people are to know. Yeah. The stores in town close to Moscow. And then later when the vessels had very little, these smaller patches were gone and they didn't do that, but, that was had the big berry patches."
Unknown Interviewer or Fannie Cuthbert Byers,00:10:28:03,00:10:33:19,So whatever place even the folk came and lost in them.
Unknown Interviewer or Fannie Cuthbert Byers,00:10:33:21,00:10:58:29,"Because the Lewiston Derek would be coming to see them. Pretty good market. And, this year, most of the shopping in Vail now or not. And then here it is. Yeah, I think so. Although I can remember when, when I was about in the third grade, this one, she was going to high school here and we all lived in town."
Unknown Interviewer or Fannie Cuthbert Byers,00:10:59:02,00:11:16:29,"My, you know, from here to town was a long ways. Anyway, she didn't just happen to come get there in time. I can remember on Monday morning I."
Unknown Interviewer or Fannie Cuthbert Byers,00:11:17:01,00:11:21:12,To have that long. And I can remember.
Unknown Interviewer or Fannie Cuthbert Byers,00:11:21:12,00:11:48:00,"Getting up early and my dad would take us all Monday morning in time to school in town, and then Friday night. Why, he'd come. Not every town then, but a lot of times we'd come home over the weekend. But that's how it's been those days, you know, to to drive. Well, it's churchyard road and mud maybe in the morning and the horses and sometimes you."
Unknown Interviewer or Fannie Cuthbert Byers,00:11:48:00,00:11:49:05,Couldn't hardly get along.
Unknown Interviewer or Fannie Cuthbert Byers,00:11:49:05,00:12:16:11,"The road was kind of arranged into, old home, you know, had two seated. We have one, hip hop the to not. I don't think I had any problem later we had a buddy right across from not. And then, when I got older. By then, the boys had buggy. It worked out. Some of the things it could."
Unknown Interviewer or Fannie Cuthbert Byers,00:12:16:14,00:12:18:16,"But Tim, then when."
