speaker,timestamp,spanish,words,tags
,,,,
Librado Salinas,[00:00:00:00],Si.,Yeah.,
Maria Talamantes,[00:00:06:11],"Oral History with Libras Salinas, January 13, 1991.","Oral History with Libras Salinas, January 13, 1991.",
Maria Talamantes,[00:00:18:06],"¿Señor Salinas, Se recuerda de usted cuando su familia se vino a este país?","Mr. Salinas, do you remember when your family came to this country?",family
Librado Salinas,[00:00:24:15],"Sí. Vine en 1949. Fue la primera vez que vine al estado de Idaho. Y después de ese año, estuvimos nada más la temporada de season worker. Y después fuimos por cinco años back and for. Algo así. No, en la temporada.","Yes. I came in 1949. It was the first time I came to the state of Idaho. And after that year, we were there just for the seasonal worker season. And then we went back and forth for five years. Something like that. No, during the season.",idaho;labor
Librado Salinas,[00:00:49:18],"De la era de Almería. Hasta que me casé. Y ya cuando ya me casé. Ya. Entonces sí. Nos quedamos aquí y vivimos en el campo por muchos años. Hasta que un día decidimos quedarnos aquí e ir allá en total. Pero de la manera como vine de México fue cuando emigré el 49. Entonces trabajábamos nada más. Veníamos a San Antonio con un señor llamado Francisco Sánchez, que era el que contrataba a la gente para venir a trabajar con la Compañía del Azúcar.","From the Almería era. Until I got married. And when I got married. Yeah. Then yes. We stayed here and lived in the countryside for many years. Until one day we decided to stay here and go there altogether. But the way I came from Mexico was when I emigrated in '49. Back then, we just worked. We came to San Antonio with a man named Francisco Sánchez, who was the one who hired people to come work for the Sugar Company.",mexico
Librado Salinas,[00:01:30:11],"Y trabajábamos en la en las. files. Y de aquí el Señor se movía pa Niza, Oregón, a buscarle trabajo a la gente. Y trabajábamos, pues, como unos ocho meses el el año. Y luego nos regresamos a Texas y ahí también trabajamos en construcción en algo. Hasta que llegaba el tiempo de volver para atrás. Entonces, después de eso, yo, empezando a trabajar con el señor Sánchez, aprendí cómo se hacía eso de la gente.","And we worked in the files. And from there, the Lord would move to Nice, Oregon, to find work for people. And we worked, well, for about eight months a year. And then we returned to Texas, and there we also worked in construction. Until it was time to go back. So, after that, I started working with Mr. Sánchez, and I learned how to do that with people.",labor
Librado Salinas,[00:02:02:27],"Entonces yo empecé a venir con gente también. Y los traían los files trabajando y la fábrica me daba a mí una comisión por cuidarlos y me pagaba los pasajes y todo hasta que los pusiera aquí en el albergue y los También hacía lo mismo que el señor Sánchez. Los llevaba a diferentes partes para que trabajaran. Después de eso, entonces ya decidí yo ya no trabajar en los files, sino que con la troca empecé a trabajar para acarrear betabel, papa y todo lo que se podía hacer.","So I started coming with people too. And they brought them to the fields working, and the factory gave me a commission for taking care of them and paid for my travel and everything until I placed them here in the shelter. I also did the same thing as Mr. Sánchez. I took them to different places to work. After that, I decided not to work in the fields anymore, but instead, I started working with the truck to haul beets, potatoes, and everything else that could be done.",labor;health
Librado Salinas,[00:02:43:11],"Agarré un permiso de Boise. Sí, para poder transportar mercancías así. Este. ¿Y después? Ya después de eso de que estuvimos trabajando. Así pues, empezaron a crecer la familia y todo. Y entonces todos mis hijos han ido a la escuela aquí en Twin Falls, desde el curso hasta hasta que salieron de High School. Luego fueron a College. Mi hijo, el mayor, fue el primero que se graduó de College.","I got a permit from Boise. Yeah, so I could haul goods like that. Right. And then? After that, we were working. So, the family started growing and everything. And then all my kids went to school here in Twin Falls, from grade school until they graduated from high school. Then they went to college. My son, the oldest, was the first to graduate from college.",boise;family;education
Librado Salinas,[00:03:18:01],"Y eso sirvió bastante porque después los demás nadie se quiso quedar atrás. ¿Así es de que como quiera, eh? Tuve cuatro hijos que están graduados de College y son maestros en Boise y la están haciendo muy bien, porque educación es lo mejor que puede haber aquí. Y aquí ha habido varios, eh, varios programas educativos que verdaderamente ayudan bastante a la comunidad.","And that helped a lot because afterward, no one wanted to be left behind. So it's like, whatever, huh? I had four children who graduated from college and are teachers in Boise, and they're doing very well, because education is the best thing there can be here. And there have been several, uh, several educational programs here that truly help the community a lot.",boise;education
