speaker,timestamp,End Time,words
Mabelle Nickell Morris,,,"... department for the Weyerhaeuser people in Cloquet. And they had a daughter the same age as I was. And she died. There were six girls in our family. So my uncle, he wanted me to stay with them a while after Winnie died. So I came to Cloqued and I was there for a year with my uncle. And in the meantime, this Uncle Tommy from ' was sent out here as woods superintendent. And so when they come out here, this job in the post office was open and they wrote for me to come and I could have it. Work in the post office. So that's how I got out here."
Sam Schrager,,,Was this T. P. Jones that you went to Cloquet to stay with?
Mabelle Nickell Morris,,,"No, my mother's oldest brother, who was J. C. Campbell. And I stayed with them ayear and then I come out west. I worked in the post office in Potlatch. And my uncle in Potlatch, another uncle had the post office. And in those days, the post office changed as the Republicans and Democrats did. You remember that don't you? Whoever got ln; they had their own post office man. So my uncle lost the post office, he was aRepublican, a Democrat got it. So after I left the post office I went in as cashier of the Mercantile store in Potlatch. I worked there until I was married."
Sam Schrager,,,How old were you when you came out to Potlatch?
Mabelle Nickell Morris,,,I think I was around 17 or 18. Maybe 19.
Sam Schrager,,,Did you have any concerns about coming out to the wild west?
Mabelle Nickell Morris,,,"I liked to travel, I always have liked to travel. See the country, I've been ' all over the world. Traveled a lot."
Sam Schrager,,,What was Potlatch like when you first got there? That would have been what year?
Mabelle Nickell Morris,,,Well the mill was running. I t was 1907. Just started.
Sam Schrager,,,Was the town busy?
Mabelle Nickell Morris,,,"Yes, really. And they, in those days, every body, they bought cupons. they used those in the store instead of money. Everybody that worked in the mill. There was a big hotel there. jjThe hotel's gone, isn't it? I t burned down quite a while ago. I t was a busy place. I stayed there until I was married."
Sam Schrager,,,Which was?
Mabelle Nickell Morris,,,1910
Sam Schrager,,,"When you were in the post office, were you getting foreign mail for the men?"
Mabelle Nickell Morris,,,"Yes. They sent thousands of dollars out of there every year. Every month. As soon as the men got paid, there were so many foreigners. And they'd come in there and they'd write out the things they'd have to write out for the money order. And they'd write it in their own languages, close as they could get it into American. I used to just have to copy it. I couldn't tell where it was going or anything. I often wondered if they ever got them. chuckles I t was a busy place, there wasn't any doubt about that. I often wondered why they let them send so much money out of the country."
Sam Schrager,,,They were sending it back to their families?
Mabelle Nickell Morris,,,I n the old country. Thousands of dollars every month. You'd be surprised how much.
Sam Schrager,,,What countries were they going to mostly?
