speaker,timestamp,words,translation,tags
,,,,
Patricia McDaniel,[00;00;00;00],Si tú crees. Individuo Antonio Hernández uno dríguez Samper Aerosol y ser un chino for the streets. Today Denver decir Nineteen my name Año.,If you believe. Individual Antonio Hernández uses Samper Aerosol and is a Chinese for the streets. Today Denver say Nineteen my name Year.,
Patricia McDaniel,[00;00;29;16],Muy bien. Al principio vamos a hablar un poco de inmigración de su familia y a ver si usted puede recordar que la. Cuando cuando vino su familia a este país y desde donde vinieron.,Very good. At first we're going to talk a little about your family's immigration and see if you can remember that. When when your family came to this country and where they came from.,migration;family
Antonio (Tony) Hernandez Rodriguez,[00;00;45;20],"Bueno, el único que que viene de afuera son dos. Todos en mi familia que yo se que es mi. Mi bisabuelo por parte de mi mamá Delfina, él vino de España. Pero ahorita no puedo recordar que año ella vino a España, el otro por parte de mi papá. Él es de México, vino de México. A trabajar aquí a Estados Unidos.","Well, the only one that comes from outside is two. Everyone in my family that I know is my. My great-grandfather on my mother Delfina's side, he came from Spain. But right now I can't remember what year she came to Spain, the other on my dad's side. He is from Mexico, he came from Mexico. To work here in the United States.",family
Antonio (Tony) Hernandez Rodriguez,[00;01;24;06],"Por allá como el 1876, creo, si no estoy equivoco, el papá de mi papá.","Around 1876, I think, if I'm not mistaken, my dad's father.",family
Patricia McDaniel,[00;01;35;14],El bisabuelo.,The great-grandfather.,
Antonio (Tony) Hernandez Rodriguez,[00;01;36;15],El bisabuelo como que viene siendo mi abuelo y mi abuelo.,Great-grandfather has been my grandfather and my grandfather.,family
Antonio (Tony) Hernandez Rodriguez,[00;01;48;24],"Desde que yo tuve luz de conocimiento, pues de la edad como ya de cuatro o cinco años que nosotros vivíamos en Texas, un pueblito chico y allí fue donde mi mamá murió en 1925 y yo tenía cinco años de edad y ahí mi papá ya después de ahí mi papá hizo lo posible de de ponernos en alguna casa de seguridad que nos tuvieran cuidado con eso.","Since I had the light of knowledge, since I was about four or five years old, we lived in Texas, a small town, and that was where my mother died in 1925 and I was five years old and my father was there later. From there my dad did everything possible to put us in a safe house so that they would take care of us with that.",happiness;education;family
Antonio (Tony) Hernandez Rodriguez,[00;02;36;11],"Nos puso con con su mamá de él, ahora mi abuelita, mi abuela Luisa Guerra Gómez, Luisa Guerra Gómez y ahí estuvimos. Crecimos hasta la edad, como. La edad de. En 1929 mi papá se volvió a casar con la señora María Rodríguez María Salinas Rodríguez, su segunda esposa, luego de ahí nos fuimos al rancho, a un rancho que el patrón se llamaba Henry Skinner.","He put us with his mother, now my grandmother, my grandmother Luisa Guerra Gómez, Luisa Guerra Gómez and there we were. We grew up to age, like. The age of. In 1929 my father remarried Mrs. María Rodríguez María Salinas Rodríguez, his second wife. From there we went to the ranch, to a ranch whose owner was called Henry Skinner.",family
Antonio (Tony) Hernandez Rodriguez,[00;03;22;14],"Y Y ahí comenzamos ya a crecer. Estuvimos allí hasta la edad de 17 años, que fue en 1937 y en 1937 se puso un poco triste en los trabajos de los ranchos y mi papá decidió de que nos fuéramos para para el pueblo a buscar trabajitos aquí allá, porque no había, no había otro modo de hacerle. La familia creció.","And there we began to grow. We were there until the age of 17, which was in 1937, and in 1937 the jobs on the ranches got a little sad and my dad decided that we should go to the town to look for jobs here and there, because there weren't any, no. There was another way to do it. The family grew.",economy;family
