speaker,timestamp,words,End Time

Sam Schrager,00:00:03:17,"This second interview with Arthur Sundberg is recorded at his home in Potlatch on July 18th, 1975.",00;00;46;09
Arthur Sundberg,00:00:46:11,"Of course, it's a pretty well known story, I think. You see, when they come out here, they bought it was already a lumber mill down here in plus a pretty good sized mill. But there timber holdings, I guess, were very limited. They would, you know, buy from individual homesteaders and so on. But they had log drives on this river at that time. I guess they had a lot of water. And in the spring they would drive the logs down to Palouse and some of them to Colfax. They had a mill in Colfax. It was a Tod Lumber Company at that time. But anyway, Potlatch, when they moved out here, of course, they owned this timberland for quite a few years before that. But anyway, they they did figure on building a big sawmill, this big sawmill in Palouse, and turned down that little one they had done there. But the story goes that.",00;02;09;01
Arthur Sundberg,00:02:09:03,"That the merchants and the Chamber of Commerce, if they had such a thing at that time, they I guess they got together and said, well, there's a good chance there's a big outfit come in and we're going to make some money off of them. See? Well, old Bill dearie. He was the general manager at that time. He seen just what was up, you know. So he told them. He told his bankers and big shots down there. He said. He said we'll make the grass grow. Clear up to your shoulders right in your main street here in place. And he did too. So they just moved ten miles up the creek and found this little spot down here. And they had to buy out a homesteader down there. And there was a little cabin. I think you probably saw the picture of it in this other book, this little log cabin. Well, that's an actual picture of the cabin that was sitting down there. But anyway, at that time, they.",00;03;19;22
Arthur Sundberg,00:03:19:25,"The river used to follow along the edge of this hill around this way. You know, you know just about where the highway runs now. Well, that was the riverbed at that time. And so they there was a little piece of high ground, you might call it, an island out there. And so that's where they started excavating and started building their sawmill. Then they changed the river channel around to the mill, and then from the mill and on out. Then they had a a lot of low ground then. So they after they started running the running the middle, then they started filling, filling in a lot of this little ground, the old river channel and so on with sawdust and slabs and anything, you know, to fill it up because they wanted to keep that river channel over into the Long Pond area… and… you know, they had a lot of timber and.",00;04;37;18
Arthur Sundberg,00:04:37:21,"Those days, you know, it just seemed like everybody thought that they could travel for so many miles, and there was nothing but timber, that there was no end to it. You see, it would last forever. So when they were logged, they would all take it great big high trees and own they'd they'd take 2 or 3 logs off from the bud, end up. And when it got up to where it was, a lot of branches, they'd leave all that. They'd just go off and leave it. They just took the good stuff… well… as I say, they had a lot of this low ground. So from the entrance of the planing mill down there and past the sawmill and, and rounding up through past the depot, and from there up the hill, past the store and bank. And then another branch turned and went up the hill up to this Nob Hill area where all the brass lived. Another one went up the first street in town as Pine Street up to it run about three blocks up to as far as a boarding house. That was all planked. It was a plank road. All of that area was a plank road, four inch by 12 inch plank, 20ft long. So it was about a 20ft wide roadway. So you can imagine how many plank it would take to build all that roadway.",00;06;27;02
Arthur Sundberg,00:06:27:03,"Now that's how cheap lumber was at that time. You see? I can I can still hear them horses of going over them plank roads. And after a while, you know, they the spikes would get loosened up. Some of them plank with the rattle. You know, they went by, you know, you take a team trotting in the wagon, you know, and then planted. Right. Or you could hear them all over.",00;07;11;14
Sam Schrager,00:07:11:16,The dairy plan the building of the mill.,00;07;15;23
Arthur Sundberg,00:07:15:26,"Well, of course, he was the general manager at that time. And of course he… the engineer… that drew the plans was a fellow of the name of Wilkinson. And of course, he was from Minneapolis. And. I don't know whether. Lee Gale that lives he lives out here, just out of town. You probably know him well. He was. The last one to hold a job as an engineer down here at the plant that is the steam engineer. He was a. Head of the power plant and so on. And. So I think, I don't know, I think maybe that he salvaged some of the blueprints, but the blueprints. Oh, they were so badly abused. It was just a crime. But if you could just see the the penmanship on those blueprints, you know, any of the writing and the descriptions and stuff, it was just beautiful. You know, it was a thing that really seemed to see.",00;08;45;12
Arthur Sundberg,00:08:45:14,"But… oh, I'd handle those blueprints a good many times myself, you know, looking up details on certain things because. I'd done the engineering and. Do the plans for a lot of the additions and alterations and so on down there for several years. And. I was in charge of the maintenance and construction there for a good many years down at the plant. And. So sometimes we'd have to look up some of these old prints, you know, to get some details off from it. But it is really something to see.",00;09;47;20
Sam Schrager,00:09:47:23,They were complete and and well drawn drawings.,00;09;51;20
Arthur Sundberg,00:09:51:21,"Oh, yeah. Well, yeah, there was hundreds of them, you know. You know, they'd be. Schematic drawing of the entire floor plan. And then of course, you had all these detailed drawings, you know, and. Of course, the whole plant wasn't engineered and and built at the, at the beginning. You see, when this plant first started operating, they had four head rigs. Head rigs. That's the carriages. You know, that in the big band saws. You know, that saw the lumber. And they were single cut. In other words, these bandsaw just had teeth on one edge. Nowadays, band saw has teeth on both edges. They cut both directions, you see. But those days it didn't. And then, of course, each Hedwig had a sawyer. He was a man that operated this rig back and forth, and he was the one that that had to make a decision as to what dimension they would cut, you know.",00;11;28;24
Arthur Sundberg,00:11:28:26,"Well, then there was two men that was riding on this carriage. One was a setter and the other was a dogger. And they would set these dogs, they had these levers, you know, and these dogs had come down into the log and hold the log in place while they were selling it to see. Well, they would cut off a slab, and then the sawyer would, would read. Of course, this had to be done instantaneously. You see, he would read the face of that log after the slab was taken off, see, and determine whether that was a select board or if it was a number one, 2 or 3 four common lumber. See? And he would give the signal by, by finger because it was a noisy you couldn't talk. And they had a lot of finger language in the sawmill. Well, he would signal this to the setter on the carriage what the next cut was to be, whether it was a four quarter board or eight quarter eight board. Of course, that would be two inches he. And those days, and for good many years, they cut an awful lot of pattern material and match stock.",00;12;54;05
Arthur Sundberg,00:12:54:08,"Now, of course, this was all Matt stock and pattern lumber was all cut out of white pine because it was easy work. You see? Well, the. Pattern lumber it matched was generally 3 or 4in in thickness. But anyway, this carriage, it traveled pretty fast up and down the track. You see, it would it wasn't so fast going through the saw, but then going back, he'd just really shoot back there, you see. And then of course this probably he had the index that log ahead. Then you see with had what they call a set works on there, you know. And he had a lever that he could set for whatever dimension he wanted.",00;13;47;02
Sam Schrager,00:13:47:05,This was the setter.,00;13;48;02
Arthur Sundberg,00:13:48:02,Or the setter on the carriage. And this is all steam operated.,00;13;51;15
Sam Schrager,00:13:51:17,"But he took it from the sawyer. What, what?",00;13;53;20
Arthur Sundberg,00:13:53:21,"He got the signal from the sawyer as to what set up. Well, he would set up index at the head then for for 1in or 2 inch or 3 or 4 inch, six inch, whatever the the sawyer called for.",00;14;08;17
Sam Schrager,00:14:08:18,And then what would the dogger do?,00;14;10;24
Arthur Sundberg,00:14:10:26,"He would just write his dog lever after he dogged it. He just sit down on the lever and he'd just ride back and forth until they went to turn the log. Then, of course, just instantaneously just it had to be synchronized, you know, so there was no lost motion at all. That carries would come back like this, and this wouldn't hardly get stopped until that nigger, the sawyer, operated the nigger with one hand and and the carriage with the other hand. He. And then, of course, he would give these signals with his fingers like this, as opposed to get what he wanted. But he would he would signal for to turn that log, and as he did, why they would release these dogs. This dogger had two levers, one here and one over here. See? And he released those. And of course, he had to ride brace like that, you know, because the thrust of this carriage, you know.",00;15;13;10
Sam Schrager,00:15:13:12,What did he brace against.,00;15;14;26
Arthur Sundberg,00:15:14:28,"Just on the floor. But boy, he really dug his heels in and and embraced himself. They generally have a bevel cleat there for a little bevel on it to brace against, and they would release these dogs and of course the center. He had one dog he had to release, and then the dogger had two. Well, that nigger would come up by the hole just like that and hit that log and flip it over, and they'd dog it that quick and it was gone again. You know that the whole operation was just just like the battle of an eye. You just had. If you blink twice, you'd miss it. See, it was that fast. Well, anyway, this mill, they had four head rigs. Single cut, and of course, starting in, the logs were down in the water, in the pond, and down there they had a steam drag saw that would these pond men would hold this log up against the boom. They had a platform about four feet wide boom that they walked on, and they would hold that up there and gauge it the right length.",00;16;44;26
Arthur Sundberg,00:16:44:28,"Then they had this steam driven drag saw, you know, it was like this, you know, and they would let it down with a winch, you know, slow. And they'd cut that log off whatever length they wanted before they sent it up into the mill. Well, that's the way they operated then until. In 1910, they put in a 54 saw gang, gang saw. You know, the gang saw is. Tell me. Well, it's just a huge steel and cast iron frame. And in that frame, there's 54 saws that feed in there. And he saw, saw blades were about 4.5ft long. With a tab on each end, you see, and they would fit into a slot and down there and then up here, and then they would they get them all in. Well, then they'd take this hammer and drive these key wedges in to tighten them. Saw as you see these wedges went in. It had raised it up until it tightened them up until they were just like fiddle strings.",00;18;10;03
Arthur Sundberg,00:18:10:03,"Well, you couldn't change the the spacing on those saws. You see whatever they were put in there. Well, that's the way they would be. Well then the head rig, they would saw cants, they would saw these, these Fletchers four inches thick, six inches thick, eight inches, ten inches, 12in thick. The whatever the log would make. And they would flip them over into this area that had chains that carried them over there. Then they had men that stacked these up and made up these loads ahead of time. Well, you can imagine. Then they had these stacked up where they could stack them up 14in high. You know, you could have say a an eight inch camp with a six inch count on top of it. Or you could have a ten inch with a four inch count on top of it. But anyway, they'd make up a load of about 14in high and 54in wide. You know these well, then, of course, they had these power rolls that carried them up, and they come up to this gang saw just before they they come up to the saws that was east always were just really going fast up and down. Well then they had these power rolls, that is rolls that was with a steam cylinder up above that would come down on top of this load and hold them, see otherwise that the load it would jump up and down.",00;19;51;26
Arthur Sundberg,00:19:51:29,"Then these power rolls would carry this load forward through these saws. And of course they had power rules on the other side to hold them as they was coming out of the soil. And as that load cleared, they'd raise these roads and bring the next load in. So they saw a tremendous amount of wood on this gang saw. Well, that wasn't put in until 1910. So, you see, the mill had been operating then for approximately four years before they put in that gang.",00;20;28;29
Sam Schrager,00:20:28:29,So what did they do before they had the gang saw?,00;20;31;24
Arthur Sundberg,00:20:31:26,They had to saw it all up on the head rigs. He but they all they would. More than double their production over the four head rigs with the installation of that gang. So is he.,00;20;51;24
Sam Schrager,00:20:51:27,"When the wood came out of the gang, saw, what, what kind of shape was in? And then it was cut and it was really.",00;20;59;17
Arthur Sundberg,00:20:59:18,"It was all. It was all four squared lumber because the head, the carriage, you know, had taken the slab off and the log on this side turned it over, taking it off on the other side and maybe a couple of cuts. Then they throw the rest of this over. And of course, that would be two sides of it would have probably bark on it, you see. But there's two sides that was flat top and the bottom was flat. Well then as it come out out of the gang there, they had two edges, one on each side. One edger would take this whole load and the next load went up to the next, the other edger. Well, the way they they transported this load over there was that they had some, some arms that come up between these rules and they would come up like this. Well then that loaded would lay on a, on a slant and they just keep breaking it down onto the edger, you know, and, and the boards that didn't need edging, they just sent them through, you know, lap them over and send them through. And then those that needed edging, well, of course he'd have to adjust their saws and edge them to whatever dimension they would make.",00;22;14;12
Arthur Sundberg,00:22:14:13,"Is he. But on the the other edges for the head rigs, it was one man deal. You see, that one man would receive these boards that come in from the head rig and run them through the edger, but on the gang it was two men on each one, because the amount of the volume of lumber coming, you know that this edge, he had to have a helper to break this stuff down and get it through.",00;22;44;09
Sam Schrager,00:22:44:12,How many men ran the gang saw?,00;22;47;05
Arthur Sundberg,00:22:47:07,"Well, it actually there was a the sawyer and then a tail Sawyer, and then one man out in the middle helping stack these camps. So it was only about a three man deal, and they would produce about just about double of what these Hendricks could produce in, in lumber. So, you see, it was really a profitable proposition.",00;23;22;18
Sam Schrager,00:23:22:20,Well.,00;23;23;13
