speaker,timestamp,words
Laura Schrager,0:00:01,"Mabel Oliver Hazeltine grew up near Viola. On this tape she speaks of her childhood, dances, revivals, toboggan parties, and chores. She recalls the 7th to Advent as a prediction, the 1910 fire was the end of the world, the tent meetings, and going to church in Viola as a child. She also remembers her life in Canada and childbirth."
Mabel Hazeltine,0:00:33,"They're going over parks that come out any of these. And if he caught them in between, the only place they were safe was right in the end, in those places there. And if he caught them, come out here and caught them in between those places, then whoever caught them, they had to be the fox."
Laura Schrager,0:00:54,Were those pathways in the snow?
Mabel Hazeltine,0:00:56,"Uh -huh. Yeah, we'd go out in the snow and try and find a big circle."
Mabel Hazeltine,0:01:00,And then the lanes and...
Laura Schrager,0:01:04,what was that called again?
Mabel Hazeltine,0:01:06,Box and Goose.
Mabel Hazeltine,0:01:09,"You were the geese out on the circle. That was our main, that and ice skating. It was our main winter games outside."
Laura Schrager,0:01:21,Where could you ice skate?
Mabel Hazeltine,0:01:22,"Oh, I went to school out at Four Mile, down below Viola. They used to have a big school down there. At noon, instead of having recess lots of times, in the wintertime when the crickets froze over, the teacher let us kids skip our recesses, and we'd have an hour, hour and a quarter, noon. And we'd take half our lunches, roll them up in wax paper or something in our pockets, and skate from the Schoolhouse corrupt of Viola, or up to where that trussler used to be, you know, the highway there. And back at noon. Well, yeah, there were some pretty good skaters. One of them, there's couple boys out there, could write their names on the ice. Just, you know, without stopping, just skating along, write their names. One of them was Lester Gutchess. He's dead now. And Lloyd Parker, I think, is still alive."
Mabel Hazeltine,0:02:19,But...
Mabel Hazeltine,0:02:20,"And then we'd play these in -guide games inside the Schoolhouse, as well as when we went to parties. Of course, we always, we usually had it with an organ in the room. Somebody would play the organ, or they'd sing."
Mabel Hazeltine,0:02:39,"And instead of walking around or running around in these games, we'd dance, see, instead of... In that way, the teacher or any of the parents that didn't leave and dance, and if they heard us singing and all, they figured we'd just play in this game. It was very easy to stop and, you know, if we heard the door open, somebody usually watched the door pretty close. Then we got one teacher that she believed in dancing, so she'd let us dance. She'd watch the door for us, or watch the windows if any of the parents were the captain. But they'd find me some of the kids that was, you know, closer to their parents and whatnot. They squawked on us and they kept us snoopin'. She lost her job."
Mabel Hazeltine,0:03:27,"Did you ice skate must be signs at school, or were there... Oh, yeah."
Laura Schrager,0:03:31,Did you go on an evening in ice skating?
Mabel Hazeltine,0:03:33,"Oh, yeah. We went in evenings and then we had toboggan parties. We usually gang up up at our place because we had a great big hill. It'd come straight down, and then... Oh, it'd come down for, I guess, pretty near a mile, three -quarters of a mile, anyway, down the hill. And then there was a cut in the road that went... It's wider now, but at that time it was just one way, what you would call one -way traffic. And we'd get going the past. A lot of times we'd jump there over that road and on to the other guy's feet or cross the road. One time a whole bunch of us went up there skating and... Oh, he was one smart, elite kid that always thought he was smart and he stuck his foot in the snow. The snow had melted and then froze over. It was all icy on top. And, boy, we all went scootin' off. When he'd done that, it turned the toboggan. And, boy, we went to school the next day with burned faces where we... Oh, gosh, I tell you, it was awful. It was sore. And they never let him die at the toboggan after that. Then we'd always usually go back to my house or my folks' place and have a big chili feed. Either that or else pop -pop or corn or pulled happy. Usually I all ended up at my folks '..."
Laura Schrager,0:04:57,"Did you sled much, too?"
Mabel Hazeltine,0:04:59,"Oh, yeah. We'd go coasting, too. But usually on these parties, there was always some of them that... Oh, they'd be real parties. I mean, you'd invite people to come over. Well, just usually most of the school kids would get together. And the older ones would go on the toboggan. And some of the smaller ones, maybe, would have their sleds. Because we had an old horse and a big old bobsled that... Well, I had teen horses. And they'd pull the kids and their sleds and toboggan and stuff back up the top of the hill. Otherwise, why, it took us so long, we'd only got about one trip down."
Mabel Hazeltine,0:05:38,We had a road that broke around that didn't take only maybe 10 minutes or maybe 15 to go up there. And somebody would always take care of the team and drive it back down. We'd be there to take them back up.
Mabel Hazeltine,0:05:57,Those were the good old days. The kids don't do those things anymore. All they think about doing is getting out in a darn car and seeing how many people run in the ditch.
Mabel Hazeltine,0:06:14,Did you...
Laura Schrager,0:06:14,Would you go to dances as a kid? Or was it only when we got older?
Mabel Hazeltine,0:06:19,"Well, we went to a few dances when I was a kid if we could get away with it. Some of the parents believed in dancing. And they'd kind of keep it quiet if they were going to have a dance. So they'd reach out and they'd just tell the kids that they knew they wanted to come to the dances. And of course, the folks got wise to that, too."
Laura Schrager,0:06:42,They wouldn't let you go over to certain people's heads if they were crying?
Mabel Hazeltine,0:06:45,"Well, no. When they gave a party, why, they... Well, they just kind of put the kinks in it and stopped at that fall because... The kids wanted to dance, and if they couldn't dance, why, they wouldn't go that fall. And the people that were having them, why, they didn't want to get the end of the other neighbors, so they just quit having them. And after, of course, after we got older, well... We went regardless. To town or people's houses, they had dances, a lot of dances, just around the neighborhood."
Laura Schrager,0:07:18,Was the dance hall at Viola when you were young?
Mabel Hazeltine,0:07:21,Yeah.
Laura Schrager,0:07:21,Did you go there much when you got there?
Mabel Hazeltine,0:07:24,I think I only went there a couple of times.
Laura Schrager,0:07:32,"When you say you went into town, does that mean Moscow?"
Mabel Hazeltine,0:07:35,"Moscow or... please, there's somewhere. Mostly Moscow."
Laura Schrager,0:07:39,Where did you go there?
Mabel Hazeltine,0:07:42,"Well, they... I can't remember who it was. I believe it was the moose. I had a hall up over what is now. I can't remember what the name of that drugstore is there. It's up in the block where David's is. There's a jewelry store down underneath, a drugstore. Well, upstairs used to be a great big hall. I don't know what's up there now. And the moose had that. Well, before I was married, and asked for quite a while after I was married, and then they, I think, finally built their own building, and the Eagles and Lodge had that for a while. And we had dances up there. Of course, that was after I was married."
Mabel Hazeltine,0:08:23,"We went up there for moose dances, but mostly it was out around country houses and farms. They'd take up their rugs in their front room. Most of their homes had archways between the front room and dining room. We moved everything out, so we had two big rooms to dance in. Then in Canada, we had dances at the schoolhouses. We would stay all night if I'm not there. If you lived very far away, you'd leave maybe 5 -36 o 'clock. Because you had to drive with the team in the wintertime up there, and the snow was deep and cold. Stayed up 6 -8 o 'clock in the morning."
Laura Schrager,0:09:17,Was it a matter of religion that some of the people didn't?
Mabel Hazeltine,0:09:22,Uh -huh. Uh -huh.
Mabel Hazeltine,0:09:22,"Yeah, there's still some of the religions that doesn't believe in dancing. The religion that my folks belonged to, I don't know exactly what they called it. They just didn't have any name for it."
Laura Schrager,0:09:34,"I don't know if you know Dorothy Holland or not, do you?"
Mabel Hazeltine,0:09:37,"I haven't met her. You have to be Dorothy Cheney. No. I guess she's moved back up above Viola somewhere now. I see her address in the phone book. The difference used to live down here. Her folks, when she still belongs to the same religion, and they just absolutely don't breathe in shows or dancing or anything like that."
Mabel Hazeltine,0:10:01,"That was a good story you told me last time about that book you were going to buy for your mother. It was Mary's murder case, I believe it was. Some murder case anyway by Richard Van Dyne. I'll read that by the guy that wrote it."
Mabel Hazeltine,0:10:16,No.
Mabel Hazeltine,0:10:19,She wouldn't think of going into a show. Buy the book and read it.
Mabel Hazeltine,0:10:28,"Yeah, we think it works."
Laura Schrager,0:10:32,"Were they connected with the evangelists, Tamp and Viola?"
Mabel Hazeltine,0:10:38,Mm -hmm.
Mabel Hazeltine,0:10:40,"Now, those were the ones at the best, but they, when the folks got joined in with them when they came there. Had their meetings in a big tent."
Laura Schrager,0:10:53,Did you ever go to their meetings?
Mabel Hazeltine,0:10:54,"Oh, yeah."
Laura Schrager,0:10:55,Do you remember much about it?
Mabel Hazeltine,0:10:57,"Not too much. I remember more about one that had a big, I guess they'd call it, probably call it a district meeting or whatever, what they called it now. But it was all different members from way around here, and it was up at Hayden Lake. And I remember when I was just a kid, we went to Coeur d'Alene on the train, and we took a boat from there to Harrison."
Mabel Hazeltine,0:11:30,"And then we, it wasn't right in Harrison, it was at some farm that just built a new barn. And, gosh, I tell you, I don't know, there must have been thousands of people there."
Mabel Hazeltine,0:11:46,"Some of them brought a half a beef, and everybody brought food. And you had to bring your own bedding, too. Some of them brought potatoes, some of them brought this, and some of them brought that. My gosh, we ate like kings. But I was only a kid then, about, oh, 12, 14, I guess. And I didn't go to many of their meetings. I and a bunch of the other kids was usually out rambling around through the trees and woods and down the lake swimming. And they were trying to swim. I couldn't swim, but I'd get in there and wait around."
Laura Schrager,0:12:21,How long did that last?
Mabel Hazeltine,0:12:23,"It lasted for, I don't know, 10 days, 2 weeks. Well, we were up there at least a week."
Mabel Hazeltine,0:12:35,"Well, I remember, within the summertime, there was just a while before harvest, because the folks I know had to get home for harvest, or you got to go for harvest."
Mabel Hazeltine,0:12:51,But that's about all I remember too much about the meetings.
Laura Schrager,0:12:57,"There was a thing where they wouldn't accept money, right?"
Mabel Hazeltine,0:13:00,"Mm -hmm. From people. Unless you were a member. They wouldn't. And outside, they wouldn't take a penny from them. They never passed the hat around or anything like that, or passed the plate."
Laura Schrager,0:13:21,"When the Seventh -day Adventist came in, did they hold meetings in town?"
Mabel Hazeltine,0:13:27,"Oh, yeah. I don't know if they had them in tents. I don't remember. All I remember about the Seventh -day Adventist was, I was only about, I don't know, 8, 9 or something. Like, that wasn't very big. And folks had always insisted on us going to Sunday school. They'd always, according to the Bible, the world wouldn't be destroyed by rain or no floods no more. The only other way I could think of was fire. Then when these mountains got on fire up there, they started spreading it around. The world was coming to an end. I'd go to bed at night and you'd think I could sleep, trying to think of some way I could get away from where that fire was going to come. They just scared the stuffing out of me because I just knew that that was the only way that the world could be destroyed with a fire or a flood. And the rainbow was supposed to be a sign that would never flood again."
Laura Schrager,0:14:39,Were all the kids scared of that?
Mabel Hazeltine,0:14:41,"Well, quite a few of them were."
Laura Schrager,0:14:44,"Were your parents, did they believe in that?"
Mabel Hazeltine,0:14:47,No.
Mabel Hazeltine,0:14:48,They didn't believe in it.
Mabel Hazeltine,0:14:54,"But you know, you take a kid and they try to figure things out, and the only way they can figure them out was..."
Mabel Hazeltine,0:15:09,"And that is a lot of the way that they got a lot of their members because they just scared them into, you know, so they'd be saved. The only ones that were going to be saved was the Adventists."
Laura Schrager,0:15:25,They didn't lose a lot of their converts once the fires didn't come?
Mabel Hazeltine,0:15:32,I don't think so. They used to have quite a big settlement out there by old line. And I guess there's still some quite a few of them out there.
Mabel Hazeltine,0:15:44,"And a lot... Were most of those people, were they converts from the area to the church, or were they from..."
Mabel Hazeltine,0:15:53,"had they moved in to the... I don't know. I don't know what they did about that. I know they built a school up there, and they built a church up above Iowa up in there. And it was just practically all quite a settlement of Adventists up there. And a lot of their beliefs is true. I agree with them on a lot of things. A lot of wonderful people that are Adventists. There's Eddie Gray out there at Violets, and gee, I don't think there's any nicer person anywhere than his family are."
Mabel Hazeltine,0:16:34,"But there's some of the things that I don't agree on. I think the devil's going to get you to eat pork. And I have read the Bible enough that I know it. It says in there, it's not what goes into the mouth, it's what comes out."
Laura Schrager,0:16:55,Did you go into Violets?
Mabel Hazeltine,0:16:57,"Oh yeah, quite a bit. We used to go up there to literary, and... That's where the folks went to church, always, up there, at Violets, and before these guys came in in the tents, they went to the church up there. And we went to Sunday school."
Mabel Hazeltine,0:17:19,"And on Sunday, after church, I... Practically the whole congregation, or two -thirds of them, or a third of them at least, anyway, gathered up at somebody's house for a big dinner. First one, then the other one you know around."
Laura Schrager,0:17:37,Would you dress up for church?
Mabel Hazeltine,0:17:40,Oh yeah. We wore our Sunday best when we went to church.
Mabel Hazeltine,0:17:48,I remember one time my mother getting off from at me because we always had our school dresses and our Sunday dress.
Mabel Hazeltine,0:18:01,"And I wanted... I got a new school dress, and I wanted to wear that to church. No, my father told me, put on my Sunday dress."
Mabel Hazeltine,0:18:10,"I said, you mean my damn church dress?"
Mabel Hazeltine,0:18:13,"Ah! I wasn't going to call it a Sunday dress, I wasn't going to call it a church dress."
Laura Schrager,0:18:26,"Would people bring food, or would one family just feed everyone that came?"
Mabel Hazeltine,0:18:31,"No, just one family, because you never knew where you were going. You'd get there, and they'd walk them on up to our house for dinner."
Laura Schrager,0:18:41,Would your kids be able to play?
Mabel Hazeltine,0:18:43,"Oh yeah, we'd go outside and play inside. Practically all the houses had big... farms had big houses."
Mabel Hazeltine,0:18:55,There was very few houses in Viola at that time. Most of them were just farms around Viola.
Laura Schrager,0:19:08,Would you ever go to town after school to fool around or anything?
Mabel Hazeltine,0:19:12,I don't know.
Mabel Hazeltine,0:19:14,"When I was a kid at home, until I started dating and running around, if I got to town twice a year, I'd done well. Folks, they didn't go to town. They didn't used to go to town like they do now. Dad'd go to town in the spring and..."
Laura Schrager,0:19:32,You mean Moscow or Palouse?
Mabel Hazeltine,0:19:35,"He'd go to town and bring home all the staple stuff that we didn't raise on the farm. There was nothing bought in town besides coffee and sugar and stuff like that. Raisins and walnuts to have to cook with. He always mixed our own baking powder. He'd get the soda and the prima tartar and mix it himself. Our flour, we made that ourself, our whole wheat flour."
Laura Schrager,0:20:13,You'd grind it yourself?
Mabel Hazeltine,0:20:14,"The whole wheat flour he'd come down maybe and get, I don't know, 15, 20, 50 pound sacks of flour in the spring, white flour. Of course, in our own meat, we always raised that. Vegetables, all that stuff was canned on fruit. Rice and coffee and sugar and white flour and raisins and nuts and stuff to bake with and cook with. Come down with the wagon and team and the spring and in the fall. I can remember getting maybe 300 pound sacks of sugar at a time. Maybe more in the spring than I have for sugar for canning and whatnot."
Mabel Hazeltine,0:21:08,We always raised all of our own meat.
Laura Schrager,0:21:12,Did you can many vegetables or was it managed as fruit?
