speaker,timestamp,words,End Time

Edward Halseth:,00:00:04,"Well, that I wouldn't know that I wouldn't have the slightest idea how they. What they become. My father came first from Norway. My father came from ... Norway and my mother came from Oppdal, Norway. No, as near as I know, they met in Moscow. As far as I know. And what year that would be? I wouldn't have the slightest idea.",00:00:32
Edward Halseth:,00:00:32,"What do they. My father. Well, my father, he was put in much more of a. He was a blacksmith by trade from Norway. And when it comes to this country, he was a two sharpener. Sharpened tools of these mining. he used to work for, oh, for gay people and relations. They had mines up here. Bull and bullwhip as well as bow now.",00:01:03
Edward Halseth:,00:01:03,"But whereas ... and then they just side of Oakwood and he used to work for them. Work out there. And of course, that is after we got married and that is after my folks were married and I was just a little guy at that time. But that's how he made his living. Besides, he had his own didn't cattle and stuff like that.",00:01:28
Sam Schrager:,00:01:30,"He, you know he come right out here to, to the West when he came over from Mallow there in the Midwest or.",00:01:37
Edward Halseth:,00:01:37,"I don't know, wherever he landed when he came to this country. But he is I remember he used to work in the mines in Colorado. Now what he done there, I don't know, but I suppose to to sharpening. I suppose it's the same as what you're doing down to these fellows are to loosen up here.",00:01:57
Sam Schrager:,00:01:58,"Your son was telling me, something about homesteading in Montana.",00:02:03
Edward Halseth:,00:02:03,"Well, I homestead ....",00:02:05
Sam Schrager:,00:02:05,"Right over. Okay, we'll hold that for a little later. You're still a young kid. Now, what I'm asking you about now. You were born, at. At, Janesville.",00:02:17
Edward Halseth:,00:02:17,"Well, now I can't be. I can't be specific on that for the simple reason that here that I'll try to get in adversity for good and not been able to get a but just taken it down everything. And, When they, As near as I ever got is from the. the sensitive and that's come out of all.",00:02:52
Edward Halseth:,00:02:53,"And I was supposed to been born in 1894, in Rimrock Prison. There's First County. Well, that's down here. The lowest. it's near as I remember. I was supposed to been born up into it, but they have no record. Amanda was up, and so I couldn't tell you were up.",00:03:14
Sam Schrager:,00:03:14,"Was's your father homesteading in Janesville at the same time he was working out, and.",00:03:18
Edward Halseth:,00:03:18,He homesteaded today. That's where he's where his homestead is. Right there on the corner where you were going towards both were Elm. And make that turn right on the corners where he is home. That's what you tell him about the spirit of Mother Earth being baptized. And there's all of us. It's go to road. There was no school that.,00:03:41
Edward Halseth:,00:03:41,"No, no, with the word of, So that's as near as I can tell you anything about that. But,",00:03:52
Sam Schrager:,00:03:52,"What was the. Place like? You, grow up in a cabin or house or log cabin? What do you remember? Do you remember about how big it was and then what it was like was a one room.",00:04:06
Edward Halseth:,00:04:06,"Oh, No, no. Said to be two rooms listed away to two room, but it was a log log cabin, you know, log cabin. The was. And,",00:04:24
Edward Halseth:,00:04:25,"There is the Arthur book. He he got all of that because he's he was there when I was born. As far as Arthur is concerned. I just imagine, that's where they told me I had to have some of the ten years old, and I was to verify my birth. Well, there you are. I never even knew about this lady.",00:04:51
Edward Halseth:,00:04:51,Never even heard of it.,00:04:54
Sam Schrager:,00:04:54,"Were you the first kid? That. Were you the, oldest in the family?",00:04:58
Edward Halseth:,00:04:58,"I'm the oldest of the boy. Oh, boy. I have a sister. Did it. I never had a sister, but she was gone. Both my. There's one brother left his uncle or at Auburn. That's one just as to left.",00:05:13
Sam Schrager:,00:05:13,"How which way did your father have cleared? at the time, was there much cleared, and the place.",00:05:19
