speaker,timestamp,words

Selina Smith Pierce,00:00:02,"We planned on staying there, but he got kind of homesick and wanted to come home, so we came here. And, too, he had a farm here out at what they call Texas Reach. He had a farm there, and he wanted to come back and start farming again, but he didn't last."
Selina Smith Pierce,00:00:30,"I didn't like farming. My son was born in New York, though. We were there for, well, we were there a year. He was married in August. We were married in August. My son was born in August. They all say I met Albert on the 2nd of August. I married him on the 7th, and my son was born on the 13th. Pretty quick! Quick, quick! That was each year, you see. That's just the way it happened."
Selina Smith Pierce,00:01:24,"That's how, and then he wanted to come back home. He hadn't seen his folks for three years, so we came back out here. He didn't want to go back there to live, but I did. Back to New York. I still wish I was there."
Laura Schrager,00:01:49,Were you able to take much stuff with you to Deary when you left New York? When I left New York to bring to Deary?
Selina Smith Pierce,00:02:00,"Oh yes, I brought, oh no, no, no furniture of any kind or anything. On the train then, you were allowed a trunk, you know. You could take a trunk. So we brought a lot of things in the trunk, all our wedding gifts and things like that. We brought a mess."
Laura Schrager,00:02:27,Did you move out on the homestead right away?
Selina Smith Pierce,00:02:32,"We went on a farm. There was no house on his farm. See, he owned a farm out here. But he rented it. But when we came out, we rented a place and stayed in a rented place, which I would call a shack."
Selina Smith Pierce,00:02:57,"But then we only stayed there. He farmed one year, and then I think the next year he bought the store in Deary. Then we moved into Deary."
Laura Schrager,00:03:13,Was that a lot nicer to live in Deary?
Selina Smith Pierce,00:03:15,"Oh yes, it was a town. There was lots of nice people lived there. Very nice. And we lived in the back of the store. I think I told you that before. You can tell the fire."
Laura Schrager,00:03:35,Was that a pretty big switch to be living out on that farm?
Selina Smith Pierce,00:03:42,"Oh, oh. You know, that was terrible. I didn't know anything about farm work. My father was a carpenter in Avilda. But I didn't know anything about a farm. I was just as new on a farm as a little kid."
Selina Smith Pierce,00:04:09,"But I didn't like it. He knew I didn't. Well, I went back to New York and stayed nine months one time. I guess he figured if he didn't get out of that farm business that I wouldn't come back. So, of course, there was nothing to that effect. But, I mean, he just bought the store while I was back in New York. So then we came back and we went in the store business. Which I liked much better because I felt useful in the store. I was a farmer out on a farm. I didn't know much about farming. And when they had threshers, I didn't realize what they did there. When you have threshers, all the neighbors came besides all you men that you had to feed and all that. That got my goat. So, I wanted to get out of there. I didn't like farming. And it was hard work. It was hard work and making nothing. That's the whole size of it."
Selina Smith Pierce,00:05:29,"Maybe some people could have made a go of it, but I couldn't. Well, some people sure stuck with it. Yeah, that's right."
Selina Smith Pierce,00:05:41,"Oh, yes. Was the store that you ended up moving into in Deary, was that..."
Laura Schrager,00:05:50,It was someone else that you bought out of business?
