speaker,timestamp,words,End Time

Sam Schrager,0:00:00,"Well, let's start there. What was it like when you first came out to the Minidoka Project?",0:00:09
Anna Vivan Hise Craig,0:00:09,"It was a barren desert. That's all. And that the people who came could take up claims and they would call tree claims because we were to plant trees to raise to the desert looking condition. And they had to build a little shack, a house in which there really was nothing more than a little shacks on them, bored. They could get them and plant trees around. They could not do like they did back in Nebraska and Kansas. Make them out of them. The Saudis, they went outside the houses because it wasn't any sod on a project to use. They had to be and the logs had to be hauled in from other places, and they were required to plant trees on the property that picked it up.",0:01:12
Sam Schrager,0:01:12,"And so this all is what your brother did. When he came out, he went and he took up a homestead and made and built a house and planted trees.",0:01:22
Anna Vivan Hise Craig,0:01:23,"Yes, that's what he did. And then also for him. I you said that at that time they were just beginning to put in the irrigation. Then the local project was the big thing in irrigation, and they were just putting up the dam to hold the water and to dig the ditches for a gauge because it would ditch irrigation, not overhead. Now they I'm sure that they do a lot of overhead irrigation. They did the last time I was there. He had a team of extremely nice horses and he helped to dig the irrigation ditches on the main, the project that was in 19 and four, five and six.",0:02:15
Sam Schrager,0:02:15,Did he know what he was getting into when he decided to come out? And then did he know it was going to be a desert where he was? Oh man.,0:02:25
Anna Vivan Hise Craig,0:02:25,"I don't know about that. I it I believe that he had been in Alaska before that and had, looked around for gold before that and didn't find that desert kingdom. And that was a big thing. They were encouraging people to come and settle there so they'd be profitable and something worthwhile to put the water on the project.",0:02:57
Sam Schrager,0:02:57,So what made you decide to go out there yourself.,0:03:01
Anna Vivan Hise Craig,0:03:01,"To from, Nebraska for, for teaching? Because they were there, because my brother, both my brothers were there at that time, and, one of my brother died and was buried there near near Pearl. And, I came up to, well, to keep house for them. That was the spot to do that. Then instead, one teacher needed. So I went over to Albion and took two that they teach and examination passed and, began teaching school. And the people I lived with, names were Brown Iverson. He was from Denmark. He had come from Denmark, but apparently that was about a mile. And, about a mile and a half from, where the schoolhouse was. So, I rode horseback most, but father, always in the winter place, rode horseback to school… one day… oh, I might say something about the school. I guess. it was a rural school. All eight grades. And all together there. I had enrolled 50 pupils, all together with an attendance of 30, 35.",0:04:50
Sam Schrager,0:04:50,What happened to the other 15?,0:04:53
Anna Vivan Hise Craig,0:04:53,"It dropped off. They were too large to go to school. Work took them away and, things like that. And, the my thing was absolutely impossible to teach anyone under those conditions. Well, this is the way I arranged, the way I did the older, students, as soon as they had finished their classwork so that they had their, their, class for tomorrow, for the next day, I should say… then they could.",0:05:38
Sam Schrager,0:05:39,Hi.,0:05:40
Anna Vivan Hise Craig,0:05:40,"They could take the little ones, take these. They could take in the little ones and hear them reading or help them with their math work or something like that. And so they were very anxious to do that. Every, eighth grader wanted to be able to help someone else. And the Lord hearing and the lower grades, in the school, that was an honor. That was, a privilege. And they were doing something. So they were all eager and and so to do that and that way we did school begun at 9:00, school closed at 4:00. But 9:00 in the morning. School closed at 4:00 in the afternoon if all the work was done and if it ran over for 15 minutes, there wasn't too much, too much arguing about it. But never more than that. Never more than that. But you. They had failed in their schoolwork. So fail so that they weren't, didn't have that word. or maybe missed too many words in spelling or something like that. Then they stayed after school until they finished their work, or had their work done, or their spelling, completed, or something of that sort.",0:07:20
Anna Vivan Hise Craig,0:07:20,"They, they could be kept after school for 30 minutes without any question being asked. But that was kept longer than, 30 minutes. And, they complain parents would complain about that. So they really. Yeah, they really took their books home and study at home to have their classwork ready for the next day.",0:07:46
Sam Schrager,0:07:46,So you think it worked? And then I think the kids learned pretty well that way.,0:07:50
Anna Vivan Hise Craig,0:07:50,"That they I think that in I think the mere fact that, if they had their work all done, that they could help the, the, little ones in the first, second or third grade, they could hear, they could hear their spelling, they could take more than say on the farther corner of the room, all of this, you understand this in one large room. I understand that with a big pot bellied stove in the center of a room for heat in the wintertime. Well, if, Mary had her work finished so that she knew she was ready for tomorrow, she could take some of these little ones over there. And that fire the corner. So that wouldn't be bothering the class recitation over here. And help them with their spelling or with their arithmetic.",0:08:39
Sam Schrager,0:08:39,"Or did you have to work with each kid individually, or did you try to work with groups of kids?",0:08:46
Anna Vivan Hise Craig,0:08:47,"Groups. Yeah, but sometimes it was necessary to work individually, of course. And the arithmetic. And, on Friday afternoons, I hadn't done it for some time. after recess, there was special in we had spelling every Friday afternoon. There was spelling down and and rhythmic ciphering down. It was called Ciphering down, which they went to the board and it someone was a book was taken and, the teacher said this, the book contains 340 pages. Now it where or if I think of a paper, it's the same. I think about the person who thought that he had nearest to where her finger was. Got to be the one to go to the board first, and then he could choose, select someone in the room to figure down with him, and the one who was chosen could decide what they were going to figure out whether it was going to be addition, multiplication, subtraction, division, fractions, or just a common practice in the decimal fraction.",0:10:02
Anna Vivan Hise Craig,0:10:02,"And of course, then I got my eighth grade and it was square root. I don't have, I don't do I know, but they could they haven't been problems in square root or something of that sort. Now that was on a Friday afternoon. Ciphering down or spelling down or something. What happened?",0:10:22
Sam Schrager,0:10:22,Spelling down is a spelling bee where the kids take turns trying to spell words.,0:10:27
Anna Vivan Hise Craig,0:10:27,"So yes, yes, it's spelled out and it's called, well done many different ways. You used a two lines to learn, Johnny? Yeah, he guessed the newest page in the book so he could go over there and marry, with the next. So she had over there. Well, Mary could choose some, for her side. Jonathan. Choose some through side until everyone was chosen and stood in two lines on the floor to begin the spelling.",0:11:03
Sam Schrager,0:11:03,Did the leader pick everyone on his side?,0:11:05
