speaker,timestamp,spanish,words,tags
,,,,
Ángela Luckey,[00:00:00:00],"The following is an interview with Antonio Aguilar by Ángela Luckey. The interview place in Mister Aguilar's home in Inkom, Idaho
 in 1991.  ","The following is an interview with Antonio Aguilar by Ángela Luckey. The interview place in Mister Aguilar's home in Inkom, Idaho
 in 1991.  ",idaho
Ángela Luckey,[00:00:23:09],This interview is part of the Idaho Hispanic Oral History Project.,This interview is part of the Idaho Hispanic Oral History Project.,idaho
Antonio A. Aguilar,[00:00:32:07],Mis tíos.,My uncles.,
Antonio A. Aguilar,[00:00:36:15],Tenían cuidado de mí. Sí que me llevaban ahí a la sierra porque ellos iban como en el terrenal. Le dicen a a esa gente.,They took care of me. They took me to the mountains because they were like on earth. They call those people.,health;environment
Antonio A. Aguilar,[00:00:54:05],Como le podía yo decir.,How could I tell him?,
Antonio A. Aguilar,[00:00:58:19],"Le dicen corredores, pero tiene dos.","They call him runners, but he has two.",
Antonio A. Aguilar,[00:01:06:02],"Dos maneras de interpretar el corredor. El corredor es el que corre el caballo en las carreras de caballos y el corredor que va de las tiendas y procura saber qué es lo que necesita la persona que está en el establecimiento. Porque salían ellos a comprar ganado, por lo que ellos necesitaran las cosechas y les prestaban dinero.","Two ways of interpreting the broker. The broker is the one who runs the horse in the horse races, and the broker who goes to the stores and tries to find out what the person in the establishment needs. Because they went out to buy livestock, so they needed crops, and they lent them money.",wildlife;agriculture
Antonio A. Aguilar,[00:01:35:23],"Y cuando era el tiempo de cosechar, en lugar de llevarlo a la casa de una bodega, lo que nosotros le nombramos bodega, ya que usted sabe que es muy diferente, pero es el lugar donde guardan las cosas y en la bodega en lugar de llevarlo y lo llevaban en la casa donde lo habían encargado, porque como digo, iban a la a la tienda y les pregunta Qué quieres?","And when it was time to harvest, instead of taking it to the house, to a winery, which we call a winery, since you know it's very different, but it's the place where they keep things and in the winery instead of taking it and they took it to the house where they had ordered it, because as I say, they went to the store and asked them, ""What do you want?""",agriculture
Antonio A. Aguilar,[00:02:08:13],"Quiero esto, quiero puercos o ganado, caballos, mulas o lo que fuera, o grano, o cualquier otra cosa que quiera y ellos iban a la sierra o a los ranchos, a las haciendas, o donde iban a comprar, y en lugar de llevar lo que compraban. Y llegaban a la casa, en lugar de llegar a la casa, llegaban y lo entregaban a donde lo necesitaban.","I want this, I want pigs or cattle, horses, mules or whatever, or grain, or whatever else I want, and they would go to the mountains or the ranches, the haciendas, or wherever they were going to buy, and instead of taking what they bought, they would come home, instead of coming home, they would come and deliver it to where it was needed.",agriculture;environment
Antonio A. Aguilar,[00:02:38:09],Me llevaban a mí y ellos iban con al trabajo que yo iba a seguirlos. Y por eso digo yo quedé acostumbrado y cuando vine aquí. En tiempos de la guerra.,"They took me with them, and they went to work with me, and I followed them. And that's why I said, ""I got used to it when I came here."" During the war.",conflict
Ángela Luckey,[00:03:00:05],Cual Guerra?,Which War?,conflict
