speaker,timestamp,spanish,words,tags
,,,,
Martha Torrez,[00:00:00:00],"Me gustaría principiar con este, nada más que me platique como es que decidieron venir al estado de Idaho y las experiencias que tuvieron llegando aquí.","I'd like to start with this, just tell me how you decided to come to the state of Idaho and the experiences you had arriving here.",idaho
Pablo Barbosa,[00:00:13:12],"¿Pues es que yo trabajaba en un rancho en San Juan y trabajé muchos años allí y estaban todos los muchachos, los niños todavía, verdad? El mayor era Ramiro, tenía 15 años y pues cada año gente que que voy para el norte, para acá, para Ohia, Michigan, y fijate que me anime yo y me vine con un troquero de ahí de San Juan, que que ahora aquí vive en Nampa, pero nomás duró un rato como unos dos años después de que vivir con él ya no, ya no quiso hacer verdad y él se puso a trabajar en otras cosas aquí, pero yo nomás trabajé con con bueno, yo y la familia como unos","Well, I worked on a ranch in San Juan and I worked there for many years and all the boys were there, the children still, right? The oldest was Ramiro, he was 15 years old and every year people who go up north, here, to Ohio, Michigan, and you see, I got the courage and I came with a truck driver from San Juan, who now lives here in Nampa, but it only lasted a while, like two years after living with him, I no longer wanted to live with him, it's true, and he started working on other things here, but I only worked with him, well, me and the family, like",agriculture;nampa;family
Pablo Barbosa,[00:01:04:24],"tres meses con él. Y luego unas cosas que no me gustó, que quería que hiciera. Yo quería que yo le pagara el número social y y que le ayudara a pagar no nomás yo, sino que los que él había traído en la troca de él. Para el seguro del troque, para traer gente para aca, y yo le dije que yo no te. Yo no te voy a ayudar con nada, porque si tú quieres el negocio de de traer gente y ganar dinero con la gente y no te va a ayudar a pagar el seguro porque ese es tu business, tú quieres hacer ese trabajo, tú pagas tú.","Three months with him. And then there were some things I didn't like, which he wanted me to do. I wanted me to pay for his social security number and help him pay not only for myself, but also for those he had brought in his truck. For the truck insurance, to bring people here, and I told him I wouldn't. I'm not going to help you with anything, because if you want the business of bringing people in and making money off of them, and he's not going to help you pay for the insurance because that's your business, you want to do that work, you pay for it.",health
Pablo Barbosa,[00:01:39:20],"Pues seguro y. Y en esos días conocí a un señor que se llama Pedro Guajaluda ahí en el campo del Franklin y él traía gente por acá pa Jape y pal Houston y fui con él a ver si tenía trabajo para nosotros. ¡Y dijo sí, como no! Y de ahí nos movimos pa Wuardoli y trabajé ese año en la.","Well, sure. And in those days, I met a man named Pedro Guajaluda there at the Franklin farm, and he was bringing people here to Jape and Houston, and I went with him to see if he had work for us. And he said yes, of course! And from there we moved to Wuardoli, and I worked there that year.",
Pablo Barbosa,[00:02:04:12],"En la noche, en la corrida del café, me puso el mayordomo. Yo sin saber, no con edad ni el capi con qué trabajamos Yo, la señora ahí. Y me parece que Ramiro también porque ya estaba suficiente grande para trabajar también los.","At night, during the coffee run, the butler put me in charge. I didn't know, nor did I know the age or the boss, what we worked with. I, the lady there. And I think Ramiro did too, because he was already old enough to work there too.",food and drink
Unknown Speaker,[00:02:19:18],Muchachos también lo hizo así.,Boys did it like that too.,
Pablo Barbosa,[00:02:22:22],"Sí, este. Y lo comenzamos para para ver para el Valle y luego sí, de vuelta de año a pedir dinero al patrón o a él mismo a a Pedro. Así lo hicimos hasta el 75, que ya nos animamos yo y mi esposa a quedarnos aquí, como luego diciendo primero verdad, ver cómo está el el tiempo aquí y aquí estamos viviendo, pero todo, todos los chavos que estaban chicos este pues batallamos en esta forma de que este la verdad es que no, no hacía uno suficiente dinero y lo tiene a uno que trabajara en el valle cuando yo paya en el invierno pa este tener","Yes, this one. And we started it to see the Valley and then yes, at the end of the year to ask the boss for money or from him or from Pedro. We did this until 75, when my wife and I finally decided to stay here, like then telling the truth first, see how the weather is here and here we are living, but everything, all the kids who were young, well, we struggled in this way. The truth is, no, one did not make enough money and one has to work in the valley when I come in the winter to have this.",family
Pablo Barbosa,[00:03:18:16],suficiente con los gastos.,enough with the expenses.,
Martha Torrez,[00:03:21:06],¿Me puede describir cuál es? ¿Qué es lo que recuerda más de lo del principio que llegaron aquí a este estado? ¿Qué memorias tiene o que recuerdos de este estado desde un principio que llegaron aquí?,Can you describe what it is? What do you remember most about the beginning of your arrival here? What memories or recollections do you have of this state from the beginning of your arrival here?,
Pablo Barbosa,[00:03:35:15],¿Pues cuando llegamos se decía muy feo verdad? Es una de las cosas que eh mmm este.,"Well, when we arrived, it was said to be very ugly, right? It's one of the things that, uh, mmm, this.",
Martha Torrez,[00:03:42:18],Pero por como dice el tiempo o o nada más el la comunidad.,"But as time goes by, or just the community.",
