speaker,timestamp,words,End Time
Sam Schrager,00:00:00,"This conversation with Lora Brackett Albright took place at her home on Potlatch Creek, below Juliaetta on May 25th, 1976. Interviewer Sam Schrager.",00;00;18;09
Lora Albright,00:00:18,"Spiritual kids with, grandfather. That was a, a preacher. And that was that hard shoulder. Oh, dear. I was going to say Baptist, but, they were the Nazarene. And, so the school was divided here with the people that would could maybe go out and play with Dallas. And then here was the other as well.",00;00;42;01
Lora Albright,00:00:42,"Sometimes the kids with Dallas was over here. Doing things with the with our kids. And the teacher, of course, was in between, you see.",00;00;50;18
Sam Schrager,00:00:50,So there was a division between those in between those two groups of kids and.,00;00;55;10
Lora Albright,00:00:55,"There was, I kept them on an even keel. But, I worked at it. And if I hadn't been the oldest of ten children and had had the training in my own home with an ill mother, I don't think I could have really done a good job with it. But I kept them on an even keel.",00;01;13;14
Lora Albright,00:01:13,"Nobody. When out of school. I was only one kid I never taught anything to, and that was Indian. I had my first Indians in that school too, I know, and Clarence Marks. Marks was a retarded kid. And in those days, especially, the Indians didn't, Well, they didn't know what that was. The kid was there, and he had two eyes and feet and what have you, you know, and he was just all lazy.",00;01;35;11
Lora Albright,00:01:35,"No good. Well, then he had to cover up because it was hard for him, you see. Well, these are some of the problems that I worked with.",00;01;42;06
Sam Schrager,00:01:42,"How do you deal with a kid like that who's you know, nowadays they talk a lot about special education and they.",00;01;48;10
Lora Albright,00:01:48,"Yeah, I had special education and Clarence didn't have to always go home. And so I made it my I mean, right away. So I went over to his folks and I said, not Clarence needs. And his mother couldn't talk English and his father just a little bit. See, these are this is a long time ago. You know, the Indians lived up here on there.",00;02;09;02
Lora Albright,00:02:09,"And I said, if you do, would you like me to give him a special reading lessons? They were concerned with the English language. I said, if he can stay 15 minutes after school, I will. I will do some special work with Clarence. And so the mother muttered something and turned around and went in the house. But the father looked at me and he said, just what would you do?",00;02;31;08
Lora Albright,00:02:31,"And I said, I think that Clarence is trouble is in, identifying the words. And he looks at those words and I said, not, I suppose that his eyes are right, but I said, it's a slow comprehension. It's a slow understanding. Do you know I do you know what I'm talking about? And he thought a little bit and he said, if I teach you Indian language, you'll be slow.",00;02;54;14
Lora Albright,00:02:54,"And I said, yes, I would be slow because I would have to learn what the words meant. And I said, this is what Clarence says. He says, okay, you do him. And so then I said, now it's liable to get dark. And in the winter time it's getting darker. Now, this was just before Thanksgiving. And I said, could I bring him home from school?",00;03;16;29
Lora Albright,00:03:16,"And he said, how you bring him? And I said, well, I'd have to walk like Clarence does. No, he says, I come get him horseback. I said, okay, then you'll be down here by 430 and then we'll be ready. And, Clarence, I don't think I ever really taught him anything, but we just love that special attention, because, you see, he had been missing it.",00;03;38;09
