speaker,timestamp,words
Rob Moore,0:00:13,"The following tape was recorded on the 3rd of July, 1973, on the porch at the home of Mr. and Mrs. Marvin Long. The voices on the tape are those of Marvin Long, his wife Martha, and Rob Moore, the interviewer. The Longs live in the residential section of Kendrick, Idaho, in a house built by the original draftsman of the town plat for Kendrick, a man named Kirby. Background noise is the traffic on the street outside the Long home."
Marvin Long or Marsha Long,0:00:57,"And he had a number of business, what we call his useful business ventures that are really interesting considering he's a, well now you're junk business, you know that is."
Marsha Long,0:01:07,Is that on though?
Rob Moore,0:01:09,"I think so. Let me see, yeah it's going. Well tell me about your junk business."
Rob Moore,0:01:15,Me?
Marvin Long or Marsha Long,0:01:15,Yeah.
Marvin Long or Marsha Long,0:01:17,Oh. Right.
Marvin Long,0:01:19,"Let's see, when was that back in?"
Marvin Long or Marsha Long,0:01:25,Let me get this picture.
Marvin Long,0:01:29,What year was I sick?
Marvin Long or Marsha Long,0:01:33,Well anyway I was sick a year I'd been working store all morning. You were about 21. 21. And I was sick a whole year of nervous breakdown. And the first time I got up with my clothes on I weighed 101 pounds so you might know it. Right. And all I had was debts but when I was a kid I bought junk and sold it.
Marvin Long,0:02:05,"And I started out and I had a, see did I have a horse?"
Marvin Long or Marsha Long,0:02:13,"I had a horse, one horse, my neighbor over here."
Marvin Long,0:02:17,"He had one of these democrat wagons, you know what a democrat wagon is?"
Marvin Long or Marsha Long,0:02:21,"It's one of those small, just a small wagon."
Rob Moore,0:02:28,Why was it called a democrat wagon?
Marvin Long or Marsha Long,0:02:30,Yeah the little one.
Rob Moore,0:02:31,Why was it called a democrat wagon?
Marvin Long or Marsha Long,0:02:32,"I don't know. I don't know but that's the nickname for it. It's a small wagon. You know there was two types, there was the big ones they hauled rain in, you know, the forest team should go and then they had this little one for delight work, you know, run around. These little wagons. Anyway I went over there and least rented this wagon and I had a horse and I think I paid him a dollar and a quarter a day to rental instead of renting a car. Right. And I went out buying junk and I made this whole territory home country and I must have worth about $300 anyway when I got through."
Rob Moore,0:03:20,What kind of junk were you getting?
Marvin Long or Marsha Long,0:03:22,"At that time it was hides and horse hair from the farmers they saved. Well it occurred you didn't know how the tails were made. That was a good price but you didn't get them with the weight of it. Hides and brass, copper and rubber, the whole rubber chunk. I was a regular. Wool too. Yeah, wool, anything, you could get a market for it. And I cleaned up and paid all my expenses that summer. I owed $300."
Rob Moore,0:03:55,Where did you peddle the stuff?
Marvin Long or Marsha Long,0:03:58,"I had a stated trip in a fur company, they're own business in Spokane. I had a method, the buyer come down every Saturday and bought it and shipped it to Spokane. I had a good market for all that stuff."
Marsha Long,0:04:14,How long did you stay out on these trips to the ridges?
Marvin Long or Marsha Long,0:04:17,I stayed out a week.
Marvin Long or Marsha Long,0:04:21,Friday.
Rob Moore,0:04:24,Did you usually travel along one ridge on a trip?
Marvin Long or Marsha Long,0:04:26,"Yeah, I worked them all. I worked everything along here. I didn't miss any places. I got a lot of free to meal, a lot of sleep, I didn't sleep in Wagon Island every night. They just brought me in. I stayed one place, stayed a whole week, one place, they wouldn't let me go anywhere else."
Rob Moore,0:04:50,How long did you stay in that business?
Marvin Long or Marsha Long,0:04:52,"Well, that summer, until I got out of debt."
Rob Moore,0:04:56,Then you went back to work in the store again?
Marvin Long or Marsha Long,0:04:57,"Yeah, I went back to the store."
Marvin Long or Marsha Long,0:04:59,"Yeah, just to get out of debt, I couldn't know a dollar. Yeah, people were good to me though. And then he's outdoor, was recommended, you know, when he was well. Well, you know, most of you know I weighed 101 pounds."
Rob Moore,0:05:16,"Well, was the store a better business than the junk business? Well, that's when you went to school, isn't it?"
Marvin Long or Marsha Long,0:05:21,"Yeah, I was just a kid. I was working for wages and stores. I never got into this. I went back into this. I came back here in 1920."
Marvin Long or Marsha Long,0:05:38,"I was 26 years old when I went into the books and business. Of course, I stayed with them until I was the last one left. There were three of us brothers, my dad and I, when we originally started. Of course, we had, we did farm, had cattle, slaughterhouse, grocery store, and we had some rice goods and meats."
Rob Moore,0:06:09,"How did the store business change over the years, you know, like as things changed, you know, as cars came in?"
Marvin Long or Marsha Long,0:06:20,"Well, as the cars came in, people come to town off there and bought smaller orders and competition becomes more and more competitive. They didn't drive to Lewiston or Moscow or wherever it is at, in horse and buggy days, but that's when the cars come in, you had to get more competitive."
Marvin Long or Marsha Long,0:06:46,"They didn't go like they do now, but they still went. Of course, it probably don't make any difference where you're at nowadays with the cars."
Marvin Long,0:06:55,"The distance from Moscow to Lewiston to Kendrick is the same distance as from Kendrick to Lewiston, did you know that?"
