speaker,timestamp,End Time,words
Frank Milbert,,,"He said the first went in there, the come in there, come down the Mullan Road and the cut off and come through, I guess it'd be St. Maries now, there was nothing in there then, instead of taking the ordinary road and to Walla Walla. See the Mullan Road would a led to Walla Walla, and coming back. And the said they were a long time getting down this way. But the and his partner too much noise they worked their way up to Elk River and they said that there was an old fellow living there that had a kind of a roadhouse, or just a camp, you know. And after they got settled in there, why they mined on that, then they went and bought equipment and had it packed in there. And the said among other things the packed in there was a mower to mow hay for the horses; see they had horses with them. And they had dug a flume or rather a ditch and got the water up on the ridge and then built a flume and got some four inch canvas hose and a nozzle and they had this all working that wasn't just in the first season, you know, but as they went along. And I have one pic ture of the outfit when they were working. He said that one of the fellows that packed some of the stuff in brought a camera along, the was kind of a camera bug, I guess of that day. He brought this camera along andthe took pictures of the outfit. And, of course, the finally got a picture later of it. And the said that they were doing pretty fair on there, butthe'd come out to get supplies or something to Elk River andthe heard that they were mining in Alaska, you know. He knew they were mining in Alaska, butthe heard of the rush and a bunch had come back with a lot of gold. He said these Grove brothers had talked about buying this claim of 'em, and they had just left it, you know, hanging in the air, the deal, andthe told I'd have to hunt the name of the old feller up that had that roadhouse"
Sam Schrager,,,"Oh, that was Trumble."
Frank Milbert,,,"Trumble. He told Old Man Trumble that, to tell Haskins when the come in, the was coming in to pick up the stuff for the rest of the with the horses to pack it out, andthe told him to tell him thatthe was to meet him at Pier Nine in Seattle, the wasgomg to Alaska. Of course they had talked about Swamp this probably before. And the said they left Creek and went to Alaska and they was up there two years and when the come back, Shattuck came back with about thirty thousand dollars apiece, they did. Course, the said, his part ner didn't come back with him the found out that these fellows down there Swamp on Creek had taken out about thirty thousand dollars out of this claim. And the said, ""I went through all that fuss,"" the said, ""all that misery to get that,"" andthe said, l could have stayed right here and dug it out our selves."" Nowthe was quite an adventurer, all his lifethe'd been that way, an adventurer."
Sam Schrager,,,"Whenthe came in on the Swamp Creek, were there other people in there?"
Frank Milbert,,,"There were others in there, already. But there would have been very few of them yet, you understand. Very few people living in there. This here Trumble's place, as I understood it from 'em, was a they would oh, the just went up in there to get away from everything, I guess, more than anything else, andthe kinda catered to, oh, people'd come up there, you know, later, I guess it was fishing, but most at first it was just adventurers, wanted to see - hunt gold and whatnot. He was up here on gold Creek from 1925 til about '56, wasn't it? We figured out We figured out. It was about '56 that we took Park out of here. 3 f : I t was about '54, Frank, because"
Frank Milbert,,,"Yeah, that's right. He died in '56."
Sam Schrager,,,Shattuck was in here that long?
Frank Milbert,,,"Oh, yeah. But the'd come into the country here somewhere around 1892 to '95, I don't know exactly, I never did pin him down exact on it."
Sam Schrager,,,"Seems as thoughthe'd put in a life time in this country, off and on."
Frank Milbert,,,"Pretty much. However, the was born and raised in Boston, Massachusetts. And the saidthe was a kid fourteen, and his brother, his older brother, George, and George raised a family up here on Deep Creek, that is, the lived on Deep Creek. They came together. George was with him whenever Shattuck came West. Why, they came from Boston. they came from Boston. He said his grandmother raised him and she wouldn't let him go if it hadn't been that George was going, the was about seventeen, Park was fourteen. They were going to drive cattle from Texas to the railheads, you know. See them cattle buyers in them days take their own, hire their own, drovers or cowboys to drive them cattle up. Abilene, Kansas is wherethe mainly talked about driving the cattle. I have a picture of 'em, Shattuck and his brother in cowboy outfits when they were doing that trail drive."
Sam Schrager,,,"How did Shattuck ever wind up mining in Idaho, I wonder?"
Frank Milbert,,,"Well, see, from the cowpunching, why, Shattuck just drifted West, the said, and went to Montana. And it was in the day when there were so many of them English ranchers. And Shattuck worked for some of them for a while. And Shattuck got interested in mining, up in Montana. And that's how Shattuck drifted from well, Shattuck did quite a little mining in Montana. He apparently was like most you of these fellows I guess called 'em. He always thought that there was something better on the other side of the hill. Near as I can make out. As long as Shattuck could, you know, Shattuck had to see if there was something somewhere else that was a little better. That's what Shattuck did in Swamp Creek, Shattuck did the same in Alaska. He was down two years from Alaska and Shattuck went back for six more. He was down in 1900, Shattuck came back, and then Shattuck wasn't here two years, got married in that time, of course Shattuck was wealthy with thirty thousand dollars then. But Shattuck didn't have as much history of the old as the fellows that were on there before. and Hogan gave me more history of Gold Creek there, the was I don't know where Hogan was. He was Swedish, I believe."
Sam Schrager,,,Who? Hogan?
Frank Milbert,,,"Oh, German or Swede, something like that."
Sam Schrager,,,"Oh, wait, I want to ask you a little more about this Shattuck. I'm wondering about this business in Alaska. He must have told you quite a bit about Alaska, too."
