speaker,timestamp,"End Time",words

"Emma Christenson Shirrod","00:00:00:00","00:00:04:03","And in Christian debt."

"Sam Schrager","00:00:04:05","00:00:09:13","And what what that was it was your your father raised the sheep."

"Emma Christenson Shirrod","00:00:09:15","00:00:33:26","My no, my husband. My husband had sheep and he had a car. He had had them shared. That is before he and I were married. But the world was there. And so my mother and I, we took the wool and we watched it through many wars we had. We didn't have detergents or days. So we it was the good, strong soap."

"Emma Christenson Shirrod","00:00:33:28","00:01:19:28","And we watched it through many orders of soap, water, and then we rent it through many waters to get all the sheep grease out of it, you know, the oil. And then we after we got it all taken care of, we picked it apart. My mother said several days and picked and picked apart and I would help her whenever I had time and when I got it all picked apart, good it because we didn't have any carting or whatever you call them, kind of combs, I guess, but we didn't have any, so we just sent the wool down to straighten Oregon and they had it, they called it and put it into wool bat sport"

"Emma Christenson Shirrod","00:01:20:00","00:01:43:15","and these wool bats were put in a line. They were lining kind of like the house lining or something that they covered these bats with. And I have three of those comforters. Yeah, but that's what we were working on when the house caught on fire. But we had just finished them and I had just brought them out. They got them out through the window."

"Emma Christenson Shirrod","00:01:43:17","00:02:14:05","They were tied with wool back with wool yard. We went up there and they invited us to come up and they had church in the schoolhouse right next to where they lived. It was just a very short distance from their house to the church. If I remember correctly, it was in a log cabin church and so, this minister would come there and every Sunday."

"Emma Christenson Shirrod","00:02:14:07","00:02:38:07","So they invited the folks to come up and stay overnight and come up on the Saturday and be there for Sunday. And then they have the baby christened. So we went up to their place and that was after they had been down here. So here they must have been about three years old before they got christened. And so Mrs. Hall said, Hell in our arms."

"Emma Christenson Shirrod","00:02:38:10","00:03:06:00","And when the Minister was christening and he said he called him a and took a little water on his hand and kind of sprinkled his head, you know, put his hand on it. And I was watching this and, and then he said, I called him Herald George Christensen, and Mrs. Halsted was holding him and he he was asleep."

"Emma Christenson Shirrod","00:03:06:03","00:03:32:13","He fell asleep. Well, the minister was preaching, of course. And so after he woke up, he said, well I thought they were going to christen me. And mother said, well you was asleep. And he said, Well, why didn't you wake me up? He I wanted to see how the Gryphon So that was the story about the my little brother being christened."

"Sam Schrager","00:03:32:16","00:03:38:06","You remember that very well. I do remember the trip over there, what it was like to get in the."

"Emma Christenson Shirrod","00:03:38:06","00:03:38:20","Church."

"Sam Schrager","00:03:38:25","00:03:41:02","The trip to get it over."

