speaker,timestamp,words

Sam Schrager,00:00:02,"This conversation with John Sanderson took place at his home near Bovill on July 25, 1975. The interviewer is Sam Schrager.",
John Sanderson,00:00:23,After that I went to Grangeville and I had a picture gallery over there.,
Sam Schrager,00:00:34,"That's right… you used to be a photographer, didn't you?",
John Sanderson,00:00:38,I got lots of plates in there now. The old pictures.,
Sam Schrager,00:00:45,Were you born in Palouse?,
John Sanderson,00:00:47,"No… i was born in Iowa in P Harry III, just the beginning of the year. Then at four years old, Dad and Mother came west.",
Sam Schrager,00:01:20,Why did they decide to come out here?,
John Sanderson,00:01:22,"Father was always a man that was wanting to get someplace else. He wanted to come west. He had been running a cordless engine for the warehouses in Cloquet, Minnesota. He had a friend out here, Henry Hoskins, and he had a little sawmill. That was putting yards in the sawmill. They operated that mill for several years. It went down to Kendrick. Finally it moved from down near Potlatch to Kendrick.",
Sam Schrager,00:02:22,Was the mill at Palouse to start with?,
John Sanderson,00:02:24,"No, it wasn't.",
Sam Schrager,00:02:27,You know where Potlatch is?,
John Sanderson,00:02:28,"Well, it was about three or four miles from Potlatch. That creek that goes in on the south side of the river, Rock Creek. They had a mill back in there.",
Sam Schrager,00:02:53,Do you remember Cloquet at all?,
John Sanderson,00:02:58,"Oh, a little bit, not much.",
Sam Schrager,00:03:03,Do you remember the trip out here? What was that like for a little kid?,
John Sanderson,00:03:09,"Well, it was interesting on the train. It was about three or four days on the train. The folks didn't have a sleeper. They slept in the seats. They would transfer the seats to kind of a bed and lay down. There was three or four days coming to Spokane… they crossed Montana… to me it seemed like a long time at that age. But I guess it was only three or four days.",
Sam Schrager,00:04:11,What was the Potlatch area like then when you first got there?,
John Sanderson,00:04:18,"Well, Potlatch didn't start until about twelve, I think. The old building area had discovered this body of white wine. He couldn't read and write. He was just a lumberjack. He went to Weyerhaeuser… he said, Weyerhaeuser… i know Weyerhaeuser had finished up at Teakean and was wanting to get movies, mills, and stock business again. He really had taken the timber off of the... Iron Range. He lost more money by losing the Iron Range than they'd taken off on timber. So Bill went to him and he told him, he says, Weyerhaeuser, I know where there is a bunch of white wine timber, a big bunch. Something that you can buy reasonably. But he says, I'm going to tell you something. I'm not telling you where it is until I am sure that I'm put in on it. Well, Weyerhaeuser says, if you can put me into a good bunch of white wine timber, I'll see that you'll get your part. Well, Bill says, All right. He brought him up here and showed him this white wine timber. It was a big bunch, a good many million feet.",
Sam Schrager,00:06:15,Weyerhaeuser was impressed. He liked it. He felt pretty good.,
