speaker,timestamp,words,End Time

Grace Jain Wicks,00:00:01,"And my mother forgot that this afterthought child of hers was born in Nez Perce County because her other four were born in Latah County. So she registered our births in Boise, the state capital, as having all been born in Later County. And when I discovered this, I pointed out the error. We wrote the state capital and found out it would take an act of God, even though mother and the nurse that attended her were still living to get that date or that location of my birth changed. So that's the way it is in Boise. Since I was born in 1906. I have many early day memories, and since I was a later child in the family, I spent much time alone with my parents, which meant that I adopted or by osmosis or capillary attraction or what have you. Acquired a great deal of their thinking so that I feel very at home in this period.",00;01;07;27
Grace Jain Wicks,00:01:07,"I loved my home and I loved my family, and we all loved our friends, so that there was great empathy that went on around our table, on the front steps that led to the kitchen or in the back steps that led to the kitchen over any task that was shared. And since the help that was employed in the home was always a neighbor or a neighbor's child, or somebody who homesteaded next door, or somebody who was connected in some way by place with where we lived. We were very polite to them, and they were very polite to us, and we were on an equal or nearly so social basis. I'd like to talk a little bit about the Indians. I have known. One of them in particular was my father's landlord. His name was Stephen Rubin, and he was a full blood who had inherited or been given by the government allotted, I suppose I should say, a large tract of land which was across the canyon from our house, but adjacent to my father's land, which was also across the canyon from where we lived.",00;02;36;08
Grace Jain Wicks,00:02:36,"The Rubin Ranch was a choice place, and father ran it for many years. It was distinguished by having a large orchard that I don't have any idea who planted, but it certainly wasn't an Indian because they weren't along in our culture enough to provide in that way for fruit. But someone had planted a large orchard there, and the Indians would come and pick fruit from time to time. Particularly this was and they were unobtrusive and didn't bother anybody. But I remember one day a lone rider came up the road from the Clearwater River and down through our gate and down our driveway, and passed the house and passed the barn, and out through the corral and down across the canyon, over to the Reuben Ranch. Now, I watched him the whole way with my father's good field glasses, because I was a board little girl and had lots of time on my hands.",00;03;44;11
Grace Jain Wicks,00:03:44,"So anything that was moving that was a little out of the ordinary got full attention. And he went over to the Reuben ranch and no one was there. So he took the wood box, emptied all of the contents on the kitchen floor, tamped down a little, and went out and filled the wood box with apples. Then it was a little large to put on the back of his saddle, and a little large to balance on the front, so he had great difficulty in getting it back and on horseback to where he wanted to go. But I watched this procedure and was a little amused because, of course, mother interpreted what had happened, and I don't know how many apples he got home with, but that made a very entertained interlude for me. The Reubens were a fine family, and Stephen Rubin was an ordained Presbyterian minister. So when he came to dinner, on went the white tablecloth and a good meal was provided.",00;04;57;01
Grace Jain Wicks,00:04:57,"I mean, accompany Sunday dinner. And the Reverend Stephen Reuben always said, Grace. We were accustomed to grace when our grandfather came, but not when our dad presided. Now, another Indian whose land border just on the north was Eddie Conner. Eddie, I think, also was a full blooded Indian and a handsome, large man who had a very round head. And at one time I embarrassed my mother greatly by saying to Mr. Conner, Mr. Conner, what makes your head so round? And of course he laughed and mother laughed. But she could have killed me. Eddie Conner performed a nice service for us later in life, because there was a suit brought regarding the boundary lines of the home place, and it was said that we had 40ft of someone else's land. The full west border of the place, which was on a straight line and which had a few locust trees on it, and several walnut trees that dad had planted along our driveway. Those trees and Mr. Conners testimony saved that 40ft strip of land over this long space for our home place. It seems that the law recognizes a border if it has living growth on it, that shows length of time.",00;06;40;23
Grace Jain Wicks,00:06:40,"And since both the walnut and locust trees were of large size, they knew that that land had been paid taxes upon and farmed by the owner of our place, who was my father, Walter F chain, for all those many years. Also, Mr. Conner testified at the trial that he had known my father for some years, and that indeed, in all that time Walter had farmed this land. I have another tiny story about the locust trees. One time, at an early period when dad and mother were out working in the garden, they finished what they were doing, and dad put a case knife up in the crotch of one of the trees. Now, a case knife is a full sized dinner knife with a wooden handle. It was used by early day bachelors and that sort of thing, but it never was used in serving food at my mother's table. However, I suppose that's the kind of cutlery that my father had when he was a bachelor before he was married. At any rate, it was in the family possession and was the handy tool that day. Well, no one came along to finish whatever the job had been going on. And so the knife stayed in the tree, and in due time the tree grew around it and further completely covered it.",00;08;09;20
Grace Jain Wicks,00:08:09,"And I have tried to find it since. There is not one blemish on the trunk of that tree, which still 60 years later is right there and the knife is completely gone, incorporated in the middle of that tree. Dad took great pride in his orchard, and all of us savored the delicious fruit that came to our table from time to time. Dad felt that fruit or vegetables were to be had in their season, and he gave very little time to winter strawberries or winter tomatoes. What he thought was good was what was picked and brought immediately into the table. And indeed, there never was a better taste when it was accompanied by a homemade, well done butter and good thick separated cream. That was ambrosia. In his archery he had early peaches and fall peaches, silver prunes and plums and purple prunes. He had peach plums, which I had seen out an exorbitant price in the market and which we didn't care for. And there were two trees of. So the children were put to taking these to the pigs. I never see them on the market at $0.50 for about six, that I don't have a little of my hair curled.",00;09;42;10
Grace Jain Wicks,00:09:42,"Dad also had summer apples, fall apples and winter apples. And how we did enjoy those. Mother made wonderful sauce. And we also had three kinds of black cherries Lamberts, Bings and Black Republicans. And since we ourselves were black Republicans, those who had special. In that garden was an enormous patch of red raspberries. These were the bane of the women's existence, because they never could keep all of the drafted things picked in season. And when my brother finally brought his bride there, she thought she never had such a burden placed upon her. But it had, in the middle of this patch, a bare place which was wrought by a large young man in probably about 15 named William Nixon, whose father was and mother were very old friends of the family, and who came to pick raspberries with the family and.",00;10;51;04
Grace Jain Wicks,00:10:51,"Who sat down in a convenient area and pulled the raspberry vines to convenient distance and filled his pail. Of course, the patch never recovered from his picking, but we always called it the William Nixon Bare spot, and it remained there as long as the patch did. My dad was a great homemaker. He not only planted those black walnuts which still lined the driveway long since unused, but he had lovely roses along there too. And also from time to time, beautiful patches of strawberries. I remember one time when he had a dear friend whose husband was a pioneer, John Hall. He had John and Lila Hall in that garden, and bet Mrs. Hall that no matter what, he could find a strawberry too big for her to consume in one bite and not have juice run from the corner of her mouth. Well, now, Mrs. Hall was a very beautiful woman who took great pride in her appearance and whom we all dearly loved. But she took his bet, and he found a in an enormous berry, which she promptly popped in her mouth, and down the corner of each side came the red marker of her defeat.",00;12;28;05
Grace Jain Wicks,00:12:28,"We also had blackberries from time to time, but they were such space pigs and took such a lot of room and were so difficult to pick that dad eliminated them. The garden was a great source of pleasure to father, who, as a pioneer boy, deeply cherished good food. And when guests came to see us, which was nearly every Sunday in good weather, he loved to load their rigs. Now it wasn't a buggy and it wasn't a wagon, and it wasn't a model T, whatever. And but he came to our house in was rig and he loved to load up their rigs with delicious things from the garden. It swelled his heart to be able to do it. He felt just warm and loving and provident and so rich when he could do this. And as long as I can remember my father as a host, he continued to do this even when he retired to town and kept Jersey cows because they were fun. He told me one time I liked to go up to the pool hall and play a little solo with my best friends, and maybe win a hickey and bring you home a chocolate bar, and then go out to the barn and feed something.",00;13;56;15
