speaker,timestamp,End Time,words
Laura Schrager,00;00;00;00,00;00;26;21,"Edmund Johnson Butterfield was born in 1890 at Woodville Community, north of Harvard. She lived there until age 20, when she married Orval Butterfield and moved to two miles west of Harvard. On this tape, Edna Butterfield describes her parents arrival in the United States and their move to Woodville. She talks of her father packing groceries up to the hoodoo miners and in her house, which was a halfway house for travelers from Harvard to a miner."
Laura Schrager,00;00;26;23,00;00;37;02,"She also mentions school entertainment. The 1893 depression, and Doctor."
Edna Johnson Butterfield,00;00;37;04,00;00;43;08,Whom she writes about a mile from here. My oldest daughter.
Laura Schrager,00;00;43;10,00;00;50;00,You're. You're her oldest daughter.
Edna Johnson Butterfield,00;00;50;03,00;00;54;26,My. I'm sure you don't know her.
Unknown Speaker,00;00;54;28,00;00;57;23,"Oh, yeah, he knows me."
Unknown Speaker,00;00;57;26,00;01;00;22,But I knew all of you over.
Laura Schrager,00;01;00;25,00;01;04;07,So I thought if I moved.
Unknown Speaker,00;01;04;08,00;01;05;24,Around here.
Laura Schrager,00;01;05;26,00;01;06;01,Know.
Unknown Speaker,00;01;06;09,00;01;07;28,Up above Harvard.
Laura Schrager,00;01;08;01,00;01;13;17,How far did they live? Near where you used to live with them.
Edna Johnson Butterfield,00;01;13;20,00;01;16;16,They lived away from where I used you.
Unknown Speaker,00;01;16;19,00;01;29;13,"Have you been up to our program? Where you are, ma'am? Mrs. Masters? No, ma'am. No. Well, that's where they used to write."
Unknown Speaker,00;01;29;15,00;01;31;09,You know where I up?
Laura Schrager,00;01;31;11,00;01;38;01,"No, I don't know many people around here, so."
Edna Johnson Butterfield,00;01;38;04,00;01;44;06,They need to be there for you.
Laura Schrager,00;01;44;17,00;01;59;09,"so I can. I don't remember much of what we talked about. About your parents lives, But, your father was from Sweden, and he came over here."
Edna Johnson Butterfield,00;01;59;13,00;02;00;13,Yeah.
Laura Schrager,00;02;00;15,00;02;05;00,Do you know why he came back? Do you know why he came?
Edna Johnson Butterfield,00;02;05;02,00;02;20;02,"Oh, just to change it. Just to see if he could do better again. Usually only 17 when he came over. Then you never show any of these old folks after they."
Laura Schrager,00;02;20;04,00;02;21;23,No one came over with him.
Edna Johnson Butterfield,00;02;21;25,00;02;38;20,He just know that it seems. And I never as near as I know he was just acquainted. He had a way to show for. And he came over the Grand village. Okay.
Edna Johnson Butterfield,00;02;38;22,00;02;45;26,And he just stayed at home.
Laura Schrager,00;02;45;28,00;02;50;07,"He he he first came to the Midwest, right?"
Edna Johnson Butterfield,00;02;50;09,00;02;54;05,"Well, the first oh seven to little noise when he came across."
Unknown Speaker,00;02;56;07,00;03;06;07,And.
Edna Johnson Butterfield,00;03;06;10,00;03;15;21,And he worked for the railroad and railroad company back there for him.
Laura Schrager,00;03;15;23,00;03;24;14,How long was he live. in the Midwest before he met your mother.
Edna Johnson Butterfield,00;03;24;16,00;03;30;08,"Well, now that, I don't know him."
Edna Johnson Butterfield,00;03;30;10,00;03;39;20,"She was, he was 32, and they were married, and,"
Edna Johnson Butterfield,00;03;39;22,00;03;50;00,I don't know how long that they were here before he married. But they were married in Michigan.
Laura Schrager,00;03;50;03,00;03;53;10,Do you know anything about your mother's family?
Edna Johnson Butterfield,00;03;53;12,00;04;22;07,"Oh, yes. Yes. My, my mother was born in Canada, and, Her her parents came to the United States. Oh. I suppose in about, 18."
Edna Johnson Butterfield,00;04;22;09,00;04;42;06,"I would say about 1870. They first came to they they came to Michigan, and that's where they were, where I do everything. And their father and mother, right. In Michigan."
Laura Schrager,00;04;42;08,00;04;42;28,Do you know where her.
Unknown Speaker,00;04;42;28,00;04;46;21,"Father and mother got you in that what, you thought that?"
Edna Johnson Butterfield,00;04;46;23,00;04;47;27,Yes. My.
Unknown Speaker,00;04;48;00,00;04;55;18,You know. But didn't you mean your grandparents? No. Did you meet her father and mother?
Laura Schrager,00;04;55;20,00;04;57;17,"Yes. Yeah, that's what I was asking."
Edna Johnson Butterfield,00;04;59;13,00;05;16;13,"because my father and mother and. They were married in Ludington, Michigan, and they were married in 1883."
Edna Johnson Butterfield,00;05;16;15,00;05;21;22,"And,"
Edna Johnson Butterfield,00;05;21;24,00;05;36;27,"And then he came to Idaho in 1888. He when he came here and and where she came the same year, they became really good. And then she came later."
Laura Schrager,00;05;36;29,00;05;39;22,How come they move to Idaho?
Edna Johnson Butterfield,00;05;39;25,00;06;05;18,"Oh, they were just friends. He is from Michigan. That was out here and had a share. He had taken up a claim there, what they call preemption, and they taken up a plane. And this federal and covered and found a wonderful country. This was and if he could do that they could get him some land and that he had not."
Laura Schrager,00;06;05;21,00;06;10;29,"Did he get the land, your father on a preemption claim or was it a homestead?"
Edna Johnson Butterfield,00;06;11;02,00;06;15;07,"Well, I it wasn't the one. They were something the same saying."
Laura Schrager,00;06;15;09,00;06;16;12,Oh they're the same.
Unknown Speaker,00;06;16;14,00;06;19;29,Okay.
