speaker,timestamp,words
Sam Schrager,0:00:03,"John B. Miller has not lived in Bovill since he was a young man. Most of his working career has been with Standard Oil of California as a field specialist in exploration geology. Yet his interest in the early life of Bovill has endured, and after a great deal of research in his spare time, he published The Trees Grew Tall in December of 1972. The book is beautifully written and photographed, and is highly regarded by old timers who remember those days well. In this conversation, John Miller touches on the writing of The Trees Grew Tall, early life in Bovill, and problems that society has today."
John B. Miller,0:01:16,"John Miller was very aware of it. Back in 1928 we were back in Wisconsin. In 1928 and 1929 we spent a winter back there. We used to get this Bovill high school paper here, and they published a two -page resume of the history of Bovill that they'd gotten from T .P. Jones. My dad was going through that and picking out things that he thought were wrong in it. As all old timers do, every time anybody mentions a history, or published a history, the old timers always start to pick it to pieces."
John B. Miller,0:02:06,"He started to do that, plus embellish it with a lot of other things that he said ought to be mentioned. I'd always heard him talking about the pioneer days and the early things and so forth. I had quite a background in it. I think at that time I began to get aware of it, plus the fact that I was always very much interested in old photographs. They always intrigued me."
John B. Miller,0:02:41,I guess it grew out of that.
Rob Moore or Sam Schrager,0:02:45,When were you born and how old were you then?
John B. Miller,0:02:49,I was born in 1912. I was about 16 at that time.
Rob Moore or Sam Schrager,0:02:56,Any folks that moved from here?
John B. Miller,0:02:58,"They'd moved from Bovill. We'd just gone east to visit some of his folks. When we got back there, his brothers talked us into staying over winter. He wanted to spend the winter back there. My folks decided to stay. We rented a house. Among us, we picked up work to support ourselves over winter. We spent the winter there. We moved back the next year. That's when we moved from the place just south of town here. We already owned the little meadow out here southeast of town. We also owned this 47 acres south of the treating plant. We had a house on that, but we rented that out. When we came back, we moved on to little meadow out southeast of town here and built a house there."
Rob Moore or Sam Schrager,0:03:51,Do you feel that it just continued to grow? Your interest in history as you grew up?
John B. Miller,0:03:59,"Oh yes, I think it did. I suppose I was always interested in history. History was interesting to me as a small child. But a small child doesn't quite realize he's living among history and that his own small community has a history too. This doesn't quite come to you until you suddenly discover that things are getting a long ways behind. You know things or heard about things that other people or younger people haven't experienced and known. It suddenly comes through."
John B. Miller,0:04:42,I don't really believe that pioneers in general are very much aware of history. They're so tied up in the present.
John B. Miller,0:04:53,"When a community begins to develop a little past, people are going to start to get fascinated with it. That's the trend I see in the present day people. That's why I think people are so interested when somebody does sit down and write up something that is readable."
Rob Moore or Sam Schrager,0:05:14,Could you tell how you went about collecting the material that made up The Trees Grew Tall?
John B. Miller,0:05:20,Just briefly.
John B. Miller,0:05:24,"Haphazardly. I had no experience in it at all. I suppose if I didn't have a framework, a thread of a story, of the sequence of things in mind, it would have been a terrific task."
Unknown Speaker,0:05:42,Would you like a cup of coffee?
John B. Miller,0:05:47,"I did have a framework and that gives you something to hang something on. It also serves as a filter for when you hear something. If it fits in, well of course if it's true it always fits in. But when you start talking to people you hear of so many things that you are just unaware of completely. It begins to fill that framework in pretty fast."
