speaker,timestamp,endtime,words
Sam Schrager,00;00;00;00,00;00;03;02,Okay.
Ernest Anderson,00;00;03;05,00;00;04;28,So now you.
Sam Schrager,00;00;04;28,00;00;06;17,From the beginning.
Ernest Anderson,00;00;06;19,00;00;51;05,"In the beginning, I am speaking about the parents. My parents from Sweden, John Henry Andersson. And oddly, Lena Jansson came to America approximately 1888. I have to say here that my father and his brother came perhaps earlier. Then my mother came and her sister and another lady came later on. And they came to America. As far as I know."
Ernest Anderson,00;00;51;07,00;01;39;08,"They were all in Ashtabula for approximately two years. There they stayed and they worked hard. And later on. And it was around 1890. Then there was an opportunity for my father's parents to come to America. Their father had gone earlier. I don't know how much earlier today I lose Minnesota and was working there on the coal docks, loading ships on Lake Superior."
Ernest Anderson,00;01;39;10,00;02;15;25,"And during that time, then they came in 1890. The family came over and landed in Duluth, Minnesota. But it does seem to me that my my father must not have been in Duluth when they came. But my mother could have been because later on my father moved, went to Duluth, and there is where he met his wife that he married my mother."
Ernest Anderson,00;02;15;27,00;03;10;08,"My father's family consisted of four girls and four boys in the year of 1892. My father and mother went back to Sweden to get married because my mother had promised her mother that if she got married she would come home and be married at home in Sweden, and which they did. But in 1895 they returned to America and went to Duluth, Minnesota, and there they lived for the kill for a long time anyway."
Ernest Anderson,00;03;10;08,00;03;45;02,"I know. But times were hard while they were there. Many times they couldn't find work. He worked a lot of times, a lot of time in the winter in the woods. And other times he got on to the dock, loading coal by hand. In the year 19 three months, backtracked a little bit. It was a terrible year over the entire United States."
Ernest Anderson,00;03;45;04,00;04;30;27,"That was when they had lost all their crops over the whole country. Such terrific rainy rain is found, rain continuously and destroyed in winter time and frozen. But you couldn't chop it up. So the entire Pacific Northwest suffered as well as the entire nation, particularly as populated that time. I don't know. So it during that time, my folks living in Duluth, there was a child that was born and she was three years old when she died."
Ernest Anderson,00;04;30;29,00;04;35;27,"And she died in Duluth, Minnesota."
Ernest Anderson,00;04;35;29,00;05;23;23,"But in the spring, in March of 1898, my sister was born in, I think the 28 day March, and she had written her sister that lived here in Moscow, and she was married to a man named Albin Johnson, and they lived in the Blaine Country, south east of Moscow, Idaho. And I think it was about nine miles to the place from Moscow."
Ernest Anderson,00;05;23;25,00;06;18;09,"And there they stayed that whole summer in 1898 and worked for a farmer. And before he I think he we worked with him there till in late fall and early winter after snow came, he got a chance to ride with somebody into Nora, Idaho. And there he found a job with a man by the name of John Lindemann to sell love for the sawmill in about 2 to 3 weeks."
Ernest Anderson,00;06;18;12,00;06;35;14,There was word that the sawmill was going to start the work and they needed a soft filer. So my father was capable of filing saws and he was good at it.
Ernest Anderson,00;06;35;16,00;07;14;06,"So he got to was had a job there, but they didn't have anyone that would cook for them for the mill grew because none of them was married, excepting my father. They were all immigrants from Sweden. And during that time it was a problem to get someone. So Dad thought maybe my his wife, my mother would come and cook."
Ernest Anderson,00;07;14;08,00;07;57;05,"So he sent word with the neighbor and he asked her and he said if he wants to come to come with him next time he comes over and which she did, They bought themself a little house and three acres of land that sat on top of the hill. And today there is nothing there excepting a few trees. But he sold the property to a fellow by the name of Otto Lindemann, a brother to John Lindemann."
Ernest Anderson,00;07;57;07,00;09;08;12,"And there were before we moved Detroit. And I'm a little bit ahead of myself right now because during between 1918 98 and 1905, I was born and my brother was born on the place there at Nora before coming to try before coming to try. There were a lot of little incidents that took place. And one I want to mention when I was about three, my sister was four years older and we went to look at the squirrel traps and there was a little chipmunk in the draft and he was already dead, so we felt sorry for it."
