speaker,timestamp,words,End Time

Sam or Laura Schrager,00:00:00,"This conversation with Jane Wilson Ringsage and Stiner Ringsage took place when they visited my wife, Laura Schrager and I at our home in Pullman on November 7th, 1976.",00:00:25
Jean Wilson or Stiner Ringsage,00:00:25,"From Portland and established a home park. I don't think the when the women weren't hadn't come down yet, but Herbert Steiner's dad was living in there with his stepmother, and Charlie was one of the strong able bodied loggers with never had anything wrong with them. But he'd suddenly got smitten with kind of a blue or something, just saddened, terribly severe, couldn't breathe. His chest was killing him. Cold fever, everything. No doctor, of course, out there. And they didn't even have a telephone. But I think the father and the father in all walked over to a neighbor and they knew that Steiner's dad was a chiropractor and they asked if he'd come over. And I was about three and a half miles in the winter time. I only Roder had a sleigh and he gave him just one treatment. This was in the morning. He just suffering all night. He just I guess he just just fine. Very gently. And he just ran past him and he felt some relief next morning.",00:01:40
Jean Wilson or Stiner Ringsage,00:01:40,"Well, he did that with his sister, too. You know, I told him one time. did you know? So that was.",00:01:50
Sam or Laura Schrager,00:01:50,That. Did Mrs. Stratton believe in? Is that he was because of the.,00:01:56
Jean Wilson or Stiner Ringsage,00:01:56,"yes. She said he definitely helped them. And they had a neighbor in there. And she's a Christian scientist. I mean she isn't professing I mean she hasn't she's professing possibly, but not practicing because of lack of contact. But her mother was a very strong Christian scientist. And yes, he's they definitely said, you know, she's I think what you think is when help. And so something must because Charlie, she said just he just was so sick he figured he was going to die. You. No. Never been having never been sick and suffering and just it was just a real bad I don't think he was going to die at all from his chest. Every breath was killing them. His head was just bursting, either on set of a very bad flu or possibly a type of pneumonia. I don't know. But he got well.",00:02:57
Sam or Laura Schrager,00:02:57,Do you do you think that there is a relationship between this business and the secret life of plants and and this sort of healing power that that that he had Because you were talking… about the relationship… between that and the and the box that that you used to diagnose.,00:03:20
Jean Wilson or Stiner Ringsage,00:03:20,"Yeah… well he is this box to diagnose or to pinpoint it helps you know if you can pinpoint a problem, whether it's your knees or your stomach and then you can. Level my credit card, I wouldn't dare. Know what it was that they in this box had several. I have positive and positive. The negative… yeah… i have grounds that they clamped on and I think he took one drop of blood from it. To me that was cast in and then they analyze it. But it helped to pinpoint where the where the greatest weakness where there was. I suppose the dial showed where the the life force was weakest and then he would supplement with Healing Britain. It could be even, of course, along with treatment, he could use the form and patients. He abused them.",00:04:30
Sam or Laura Schrager,00:04:31,Augmentation.,00:04:32
Jean Wilson or Stiner Ringsage,00:04:32,"Yeah. You know, that is an old fashioned thing where they took wool, preferably wool, while he put it in very hot water and then you'd put it on the back and then you put another blanket over it and then leave it for 10 minutes. And then we have another baby that was left. One of the ways that I remember that Australian nurse when Sister Kenny was that was treating polio that way. It forces the blood there. I mean, that was that was the standard. They used to do that and the kid had cold years ago and Grayson had pneumonia. And all it does is just bring the blood to that area so you can't form patients. Don't ask me why they stutter. I'll tell you this I thought was fascinating. It Swenson told me this. I've mentioned something about his sister. His sister in law, or his mother being so frail. And he said yes. And he said, you know, they were beating her. And he said it was called cupping. Yeah. And I've seen pictures of how they do it. Did you ever hear that expression I finally found in some old medical books of how it was done?",00:06:04
Jean Wilson or Stiner Ringsage,00:06:05,"I've seen them do it with my mother… yeah… so there's a lot of little metal. There's a little metal thing. And inside this metal thing, there's something you push down, has tiny little knives, and it's just like pinpricks. And you can gradually graduate the depth you go into the back. He did worked on her back then. You have a cap. It should be a tumbler full and you fill up full one half water and then you pour it out. And then when you get when the blood starts to flow, you put this warm thing over that to bring more blood, but rather blood. Now that's is old fashioned cupping and that went on in our place of pot. So, you know, we're pretty primitive out there.",00:06:54
Sam or Laura Schrager,00:06:54,Do you think that you think that would kill?,00:06:57
Jean Wilson or Stiner Ringsage,00:06:57,"Well, I think but. I think if you don't take too much blood and you've got great faith in us, I don't think it would hurt yet. But if he did.",00:07:07
Sam or Laura Schrager,00:07:08,That's right. And that's not the best recommended.,00:07:11
Jean Wilson or Stiner Ringsage,00:07:12,"No, No. Well, yeah. Did you believe in bleeding of any kind? I never did.",00:07:17
Sam or Laura Schrager,00:07:17,"Know. Yeah. The coffee's water. Yeah, well, it's like. It's like. Like the old Lee kids.",00:07:23
Jean Wilson or Stiner Ringsage,00:07:23,It's the same thing with the.,00:07:25
Sam or Laura Schrager,00:07:25,"Yeah, that is.",00:07:27
Jean Wilson or Stiner Ringsage,00:07:27,It's the same thing.,00:07:29
Sam or Laura Schrager,00:07:29,"I wonder, do you think that do you think that is interesting in in medicine why they had anything to do with, with his wife dying like that.",00:07:40
Jean Wilson or Stiner Ringsage,00:07:40,no. It was a terrible condition. She lived under that.,00:07:45
Sam or Laura Schrager,00:07:45,"No, I don't mean that. I don't mean that he caused it. I know that. That maybe because of her death, he became more interested in healing.",00:07:54
Jean Wilson or Stiner Ringsage,00:07:54,"I think… well, I mean, had other doctors that got him to take this shot. Yeah. They found out he had that power. It said, you've got more power in your system than I have. See some of the doctors and advised him to go, right? Yeah. In Missouri, there's a great school around there. So he did. He finally they convinced him back there and he went to the church. I know. And my my brother and I did the farm and everything. I think of course, I think losing as we our young wife and realizing to that how important life was and to see her bleeding and hemorrhaging and all those things must have impressed upon the need for medical help or some kind of help. Then. And then he got he overcome TB by being outdoors with the fresh… air while eating… this fresh meal right straight. Yeah. And he saw that you can, you know, eat what you eat has a great deal to do. And the sunlight, all those healthful things, all those things.",00:09:11
Jean Wilson or Stiner Ringsage,00:09:11,"You know, he was so busy working, trying to make your left kidneys small, no matter the gave came around. And if we get.",00:09:26
Sam or Laura Schrager,00:09:26,"Started, Well, I get some of my friends. We said, well, you said when the drafting machine stopped, we were.",00:09:36
Jean Wilson or Stiner Ringsage,00:09:36,"Always ready, always start at beginning you see. So well, you know, I this yeah. This and this and that this time. And then finally we ran north and then he pulled me off the side. You know, a lot of fact. Bales of grain in a hurry. He phoned me off and when I got down, I found that all, you know where they had have for the fact that you didn't, you know, holding the pig out. Yeah. In fact the fact that I'm not sure. Get down in there. That's great he all that we're gonna finally I got off of that and got out and I just crawled out into it with and so yeah. He never could get me down and keep me very long. So finally I got to that home. Yeah. And I have slept again. And the water and the fireplace and that. You sound like really sad, my brother. Well, we slept in the big barn. You know how a lot of stuff there, but we're like, sleep in the barn and we slept in there. And in the morning he got up early on a Sunday morning or not, right in that far.",00:10:55
Jean Wilson or Stiner Ringsage,00:10:55,"And he'd been around night and still sleep in the coming days of get up your level of run to his back. And I told you I'd get up here a lot sooner than Best man… before… i said, let's you get real good. You throw my brother, he's seven years old. I guess I throw him the last thing job. And, you.",00:11:25
Sam or Laura Schrager,00:11:25,"Know, he was so.",00:11:26
Jean Wilson or Stiner Ringsage,00:11:26,"Mad even did Yes. Enough to the highest enough that you knew he had laid down here right on the third floor and it and let you take any hope that I ever got on you. And if you could hold me down, I said you're the best man. Well, what I've made very fair. Well, you know, with all the things that man, when he put one arm around my neck and he put the other arm right there and all that weight he laid on here and the bottom was almost double arm like that, to the extent I know my neck restraint so far I couldn't talk. And of all I could think with some noise, you know, or you don't know like you want you want to know if I'm ready, get up. You said you let ever run. So I. I give my time, get my hands up there and you know, I could double rider and I put my feet right next to arm, feed my hands and I get one quarter and everything turned black.",00:12:31
Jean Wilson or Stiner Ringsage,00:12:31,"And I said, well hey, that's that. They those black. All right. So I just the theory goes another push him the next time I put that but more fire you know just tell that thing. And the next time I put all of my head on his manuscript, his arm right out like that, I called on him on top and get put on down like before he laid there. And he's talking about how he can do his thing and finally get back up. And he's said, You know, these said, you're just like a dog. You know. Even our necks, that is the best wrestlers family, you know? Well, yeah. No, man, that's it. That's yeah. How admits of his son was pretty good. And now he is fine. We have x rays, you know, chest and so on. Our physical. He's got the most beautiful spine for using… but the doctors… the doctor says you can just. Yeah. Does. He's the best doctor. Medical doctor. You've never been to crawling.",00:13:38
