speaker,timestamp,words

Verna Palmer Hardt,00:00:01,"Before I was born, there really the history of Viola and community. First it wasn't Viola, it was Palouse Bridge. And people lived here from everywhere. They came early and then stayed late. There was lots of different ones. The earliest settlers were the Palmers and the Loweries and the Scotts and the Griswolds. Griswold was a, well shall we say he was a squaw man. He married a princess of the Nez Perce tribe. And he moved farther back, all the time farther back. Finally he got up to what we call Griswold Camp now, but that was Griswold's meadow. He lived there with his wife and his children until the country commenced to get so settled up that people were coming by there and the miners were coming in. So he moved farther back, farther back, till everyone lost track of them entirely. But it was always Griswold Camp. Well that got cut down to Griswold Camp and Grizzly Camp it is now today. My earliest recollection of Grizzly Camp was dad and the family always liked to go up there to camp and fish. Whenever it was vacation time we always went to Grizzly Camp. One day we were camped there. I think it was an overnight camp, but early in the morning a man and a wagon, two men and a wagon came rumbling down across the bridge and over into the meadow. Pretty soon we heard a shot. Dad said, well I guess they must have got something. Pretty soon they came back and they butchered a beef and they brought us a water bucket full of liver and heart and a few pieces of good meat along with it. And they said, well maybe you'd like these. We can't seem to use them because we're just taking the meat on back home and we don't like the liver and the heart and the other pieces we've given you and here's some good steak to go along with it. That turned out to be Mr. Sexson and Lemon, the big cattle people of that country. They ran cattle all over the country then. It was Meadow Creek and Beeson Meadows and Grizzly Camp Meadow all the way down across and they had their big meadows over on Meadow Creek. Dad liked to go fishing. Every year he'd plan a fishing trip just as soon as he got the garden in and the apples all sprayed just before haying time. It was always rainy then but that didn't matter. It was all the more fun. He'd put a big cover on the wagon and we'd all pile in. Sometimes the hired men would go along or the hired girl too. Always the family would come and stay with Dad about the time he got ready to go for a vacation and they had learned to take care of everything. They'd milk the cows and take care of everything until we got back. Sometimes Dad would stay as long as a month fishing and camping all up and down the Palouse River over into the St. Mary's and the St. Joe. One time he traveled as far up the St. Joe River as Boney Mountain and there we camped at Reed's Place, an old man that Dad had known for years. The boys climbed the top of Boney Mountain. They had a spyglass and they could see all over the country clear way down here. But you know, they left the spyglass up there and no one ever went back after it."
Verna Palmer Hardt,00:03:51,"When we were on the trip one time we stopped at an old man's place that had bees. They called him Honey Jones. He had a beautiful place and orchard and a beautiful little cave down by a falls they called Honey Jones Falls. Mother went down and sat in the shade and talked to him and his wife and they had a great visit. Got some honey from him, enjoyed his place very much. After a while we heard years later that he had given his place to the park, to be a park and then there would never be anything that would harm his falls. He'd always wanted that falls to remain just as it was. And years later we went up in 1957 or eight I believe it was and took the children, the grandchildren with us and we explored that park and the falls and it was very much the way it was when I had seen it when I was just a little girl. Many years ago when the first miners came through the country there were lots of meadows and fishing was wonderful. But then after they muddied up the streams and taken all the game that they could get, now there weren't just a few miners. There were hordes of them. The country wasn't the same. Old Griswold, he'd shake his head and he'd say, no good, no good. And he'd go on when he got enough skins from his beaver trapping but he done pretty well anyway. Then the loggers came in and they took off the timber, the mill was at Palouse City over the hill from Palouse Bridge. And the first mill was a big dam and it was a water wheel affair. And they saw quite a few logs there at Palouse and made a lot of lumber and enough to build the town of Palouse and some of the country places were built up from Palouse lumber. There was a pottery there too, they made brick and plant pots and jars and ears and different things and jugs, lots of jugs for the wine and the moonshine. Yes, there was grapes grown in this country in the early days. Mr. Miller, a neighbor over across from Asher and Nancy Palmer, had about a half an acre of grapes and he made his wine. They were wonderful grapes. I can just remember seeing the grape vineyard there and watching. They pruned them all down until it looked like they were all cut off in the spring and then they all come out in the great big bunches of grapes. But no more. I don't believe there's any grapes in the whole Viola Valley. I know there's none up in the Palouse Valley up above Potlatch."
Verna Palmer Hardt,00:06:56,How did Potlatch get it's name?
Verna Palmer Hardt,00:07:03,"Well, there was Indians, a legend, the Palouse Indians especially, it was prevalent amongst them. Anything went wrong with them. They didn't do good on the hunt or maybe they did good on the hunt and they got a whole lot of game and a lot of pelts. They'd throw a potlatch. He'd put everything he had outside his teepee and give it away. That was a potlatch. That's how Potlatch town got its name because that was the Indian campground there."
Verna Palmer Hardt,00:07:33,A big grove of beautiful trees.
Verna Palmer Hardt,00:07:38,"Well, when the mill decided to come in, they brought the mill on up there from Risley's Mill in Palouse. They brought it on up to the Potlatch grounds. Cleared off all the timber and put in a town there and that was Weyerhaeuser's Mill then. Potlatch Timber Protective Association went to work because they didn't like so much fires in the country. But they took off the timber off of the flat, off of the flat land and off of the low hills. You wouldn't realize that that country had been a well-timbered area at one time, but there were huge big trees, pines and cedars and tamarack and fir. And it must have been a very beautiful country. Up where the scout camp is now was quite a grove, too. It was a cedar grove, but they took those all out. Wasn't anything left but thornbrush. The three C boys came in and they built some of the buildings. They had torn down, I think, the last building now at the scout camp that was built from before the three C's. And they did their bit to remedy some of the mistakes that the loggers had made. They opened up the trails and fixed the roads better and tried to straighten it out a little bit. But that was the way it was in those days. They logged and they didn't care anything about how they left the things. They'd leave the timber, some they didn't like. They'd leave the logs laying out to rot. No one wanted the old logs that weren't good for saw logs. They couldn't use all that wood, they didn't think. Nowadays, I think they use more of the wood. Looking out of my window here toward the north and east, it used to be a timbered mountain. Now they've cut nearly all of the timber off. There's just one little patch of timber. But think, years ago there was orchards on the hillside, trees on the top of the hill and in the gulches. But now it's all bare. They've taken off the trees in the Viola Valley. It's gone. The apple trees are gone, the pear trees are gone, the prune trees are gone. There just isn't any of the old-time things left anymore. It doesn't seem even the houses of the homesteaders are almost all gone. There are maybe a few left that were homestead houses, but most are in huge big fields operated by one man or firm of men. And that is what has happened to the beautiful green valley that grandfather saw way back when Mullen was building his road."
Verna Palmer Hardt,00:10:42,"There was once a trail up over the mountain and once in a while you'd look out over the hill and you'd see a string of wagons come down. Well, there would be one, two, three, maybe a dozen, maybe more than that. One time when I was a little girl, I climbed up to the top of my favorite tree and sat on the tall branches and looked out up the road. Coming over the trail and down across the hill to the road were wagons. Lots of wagons. I counted as many as I could count, but I couldn't count them all. Mother said there were 50 wagons in that train. Someone had died back up in the mountains and they were bringing him down to the church here at Viola for the ceremony and then up to the cemetery at Viola for burial. But those wagons, there were so many, they couldn't put them up at the church. The village was full and they were full and when the procession started up to the cemetery, the last one to leave the church couldn't find room to go in the road because they were all crowded one wagon right after the other all the way up to the cemetery. That was Meeks's. They had a sawmill back in the mountains where they saw the lumber for the early settlers. Their lumber helped to build this house we live in now. Meeks's Mill was where everybody went for lumber and in turn the Meeks Mill people would come down here and sample grandfathers and dads. Cherries and peaches and pears and apples. And they enjoyed the Palmer fruit. The Palmer Orchard was famous all over the country. We've contacted people lately that live way back over in Amida that said they used to come over here when they were little to pick fruit in Palmer's Orchard. They liked the fruit and they didn't have any other. So his orchards were very famous. Guesses, our neighbor had orchard, Chaney's had orchard, Williams had orchard. There was orchards all over the valley here. It was a good fruit section."
Verna Palmer Hardt,00:13:08,"Viola had grown to be quite a large city by the time I was four or five years old. I can just remember dad carrying me on his shoulder to watch the schoolhouse or church burn. They burned down the church and the mill, the grist mill, and the schoolhouse and the livery's table burned and even the hotel burned. Almost all of Viola burned out and the older buildings, well there's only one left of the original building belonging to Nichols down in the village now, but the others were gone. It was a beautiful town at one time. There was a big four or five story hotel and the big livery's table and the grist mill, the Wells Fargo Depot, the Wells Fargo barns where they kept their horses, and there was boarding houses and blacksmith shops and five saloons believe it or not. When Grandfather Maxwell moved over to Viola from Palouse, he went around and tried to solicit people to get rid of the saloons. Well, a lot of the people didn't like them because when the men would come to town and the boys would come to town, they'd get drunk and then they'd start crowdsing up and down the streets and scare people and sometimes they'd do damage. So, Grandfather was the first one to start to get rid of the saloons. It was a good thing too, I guess. Old Lady Sims, well she was foster first and then she married Sims, ran the boarding house and the wards ran the blacksmith shop and David's had a big store. Well, it was a saloon first and they turned it into a store. Afterwards, it would come to be Cassin's store and several different people owned that store. Now it's the Viola Tavern Saloon. In those early days, they called them saloons. Now they're taverns. I don't know if they ever had any dancing girls here in the saloons or not. I never heard Grandfather say or Mother never told me about it either. But their big buildings, the big grist mill they had where they ground corn that people would raise and wheat for flour. Didn't have to take it all to Palouse when they had the grist mill here. It was run by horsepower and the boys would run around and round behind the horses or mules and grind the corn and they'd wheat that they had to grind for feed and for flour. One day one of the boys was grinding and grinding and he got tired and he tried to get someone else to do it but nobody would do it. So the next day, Mr. Beasley brought his girl down to grind the corn and she drove the horsepower and drove it and drove it and drove it. Finally, she tripped and she had sacks around her legs instead of overshoes. It was cold weather in the winter and she got tangled up in the tumbling rod and she was killed. One of the boys jumped in to help and his leg was hurt too and he only had one leg. His name was John Rothwell. After that they called him Peg Leg Rothwell. But they stopped the grist mill then. They said, well that was just enough. They wasn't going to do it anymore. It was soon after that that the mill was burned down. I've often wondered if maybe some patriotic citizen didn't want anybody else getting hurt on it and they set fire to it but no one ever knew. Then the church burned and the schoolhouse burned. They accused the little boy of setting the fires but everyone knew he didn't because he was scared to get out in the dark and he was a very timid little boy too."
Verna Palmer Hardt,00:16:54,But that was Stekker.
