speaker,timestamp,words

Laura Schrager,0:00:01,"Nellie Edwin Sweeney moved into Moscow from nine miles out when she was a young child. She recalls some experiences she had when she first taught near Troy and from later on after her husband died. Her grandfather, Peter Carlson, was the first Lutheran minister in the area and several incidents pointed out the close communion he had with God. She also repeats three stories that she'd like to tell that relate to swearing and religion. Is that your grandfather you're talking about?"
Nellie Edwin Sweeney,0:00:45,"That's my father and mother. My father and mother, you know. And my father took a homestead about nine miles from Moscow, you know, and he had to build his own furniture and he had to build everything, you know, that he had there, you know. And I don't know how they got here, whether they went, they must have gone on the train, you know. And then my mother must have been very lonely because Portland was a big city, you know. And then coming out here with no neighbors or nobody, it must have been very lonely for her. And then she had, she had my older brother was born and he died of the diphtheria epidemic. No, they didn't have any doctor here and they had to go to Lewiston to a doctor and they couldn't get a doctor to come from Lewiston up here, you know, and they couldn't get a doctor in time. So when he was seven years old, he passed away. And then I was born next, you know, and well, I was about six years old. He was seven, just about a year's difference between us, you know. And then I had three brothers besides him later on, you know, as the family grew. And my father was a farmer and he farmed that land until I was eight years old. And then he sold his farm and moved to Moscow when I was eight years old."
Laura Schrager,0:02:55,And... Do you remember much about the homestead when you lived there?
Nellie Edwin Sweeney,0:03:03,"You see, I was too young. And then I took the scarlet fever the next year and my mother thought that I was so very, very sick, you know, they didn't think they could save me. And she thought that that was why I couldn't remember anything because I was so sick with the scarlet fever, you know. But when my brother had the diphtheria, I just had a light case of it, you know. So I wasn't so sick then, you know. But I can't remember my brother at all, you know. I just, I can't remember that, you know."
Laura Schrager,0:03:49,"Did you have, you had the scarlet fever pretty bad then?"
Nellie Edwin Sweeney,0:03:53,"Uh-huh, I had, well it was the worst disease, you know, going, you know. But I think what made those diseases rampant then was they had to have water driven in a barrel, home, you know, from someplace. I don't know where it was. You see, that wasn't very sanitary, you know, to have to have water driven in a barrel, home, you know. And, well, after we moved to Moscow, I started in the schools here, you know."
Laura Schrager,0:04:46,"You started in the second grade, right?"
Nellie Edwin Sweeney,0:04:49,"Yeah, I started in the second grade because, I don't know why. They had taught me to read at home, and I didn't know one thing about numbers. And in the second grade here in Moscow, the teachers had taught them numbers too, you know. And I didn't know anything about numbers. They finally decided since I could read so well, that they'd put me in the second grade. And after they kept me there, you know, and promoted the others, they promoted me to the third grade. So I went into the third grade at the end of the year, you know, with the other children, you know. And I went all through the schools here, went through high school. And then I made up my mind that I wanted to be a teacher. And I wanted to..."
Laura Schrager,0:05:53,Is that when you decided after you'd gone through high school? After you'd graduated?
