speaker,timestamp,End Time,words
Sam Schrager,00:00:00:00,00;00;18;04,"This conversation with Eva Slatter Daniels took place at her home in Juliaetta on April 29th, 1976. The interviewer is Sam Schrager."
Eva Daniels,00:00:18:06,00;00;20;04,"Well, is it ready to go now."
Sam Schrager,00:00:21:05,00;00;21;25,Yeah just forget about that.
Eva Daniels,00:00:21:29,00;00;33;14,Know right up there. Right. Let's see.
Eva Daniels,00:00:33:16,00;01;01;20,"You know, my father's name was Jacob Slatter. But anyway, he always wrote his name. Jake. He didn't care. Particularly for the Jacob, I guess. Or maybe he was too long to write. Mean. And he was born in New York City. And when he was, Well, I'd say about six years old, his,"
Eva Daniels,00:01:01:23,00;01;30;25,"Father and brother were killed in a brawl. And somewhere between 6 and 7, his mother passed away. He had a little sister born, and his mother passed away. And so, the girls were really two. The older girls were really two young to take care of two little children like that. So they decided to send those two to the orphans home."
Eva Daniels,00:01:30:28,00;01;53;12,"And they called the orphans home. And, a man came to get these two children, and he was driving a team, and here he was holding a baby, and, a little boy sitting beside him. And all at once the little boy was missing. Well, he didn't dare leave the team. And he had a baby can run very far."
Eva Daniels,00:01:53:15,00;02;17;01,"So we had to wait till I get the baby to the orphans home before he could give a notice. And. And they go look for the little boy. But that time, my father had escaped far enough that they didn't find him. And he told us afterwards that he hid under porches and behind garbage cans, and in barns and under hay and everything."
Eva Daniels,00:02:17:01,00;02;46;17,"But anyway, he escaped and got out to, Pennsylvania, and then on down through to the southern states, not really way southern, but Indiana, Illinois and on. He was in Texas a little while, and from there he went on to Missouri. And when he would while he was in Missouri, he got a job with a."
Eva Daniels,00:02:46:20,00;03;13;12,"I guess you can call her a spinster. She was, I suppose, about 30 years old. And it was tracking time, and he was to put straw into the steam engine. And so all the other young men around there had straw hats. And of course, he thought that if he was big enough to work, he was big enough to have a straw hat, too."
Eva Daniels,00:03:13:15,00;03;33;16,"Well, she found that out and bought him a straw hat, and very soon after that he lost the straw hat, got a very long scar on the back of his head. He ran. He went to duck under the belt, and it hit him and flipped him. And he hit something. You know, he did what? You big enough to know what?"
Eva Daniels,00:03:33:19,00;03;42;04,"But anyhow, it always did hurt him worse than he got the mostly straw hat. And that is scar."
Sam Schrager,00:03:42:06,00;03;48;09,"And we're talking about a kid who is who was, who was running away. Were you six years old?"
Eva Daniels,00:03:48:11,00;04;01;11,"Yeah. Well, he was about. He was about seven when or maybe a little over seven at this time. Because, you see, he'd come through that many states. It probably took him a year or so to get that far."
Sam Schrager,00:04:01:13,00;04;06;26,"I find it amazing that he could, that he could fend for himself at that age."
Eva Daniels,00:04:06:27,00;04;34;04,"That's what I've thought of since I've been grown at the time when he told us it was just a funny tale. But after I got a little older, he appears certainly been different. I mean, in my mind it wasn't any longer funny. And from he was this old mage for a long time. And by the way, she had a team of mules."
Eva Daniels,00:04:34:06,00;05;02;20,"And I suppose they found out that they could buff that little boy and bluff they did. Anyhow, for his dying day. He hated mules. Absolutely. He loved horse, and he loved cows. But he certainly had no use for mules. And he almost got his kids convinced of the same thing. My brother has never had milk. But anyhow, when I married my second husband, why?"
Eva Daniels,00:05:02:21,00;05;13;15,He convinced me that mules were all right. They weren't nearly as bad as those little rascals that my father tried to work and great stories were he.
Sam Schrager,00:05:13:15,00;05;16;23,"So he he kept working, taking care of himself as he grew up."
Eva Daniels,00:05:16:23,00;05;17;16,Learning how.
Sam Schrager,00:05:17:16,00;05;18;13,To do that.
