speaker,timestamp,End Time,words
Sam Schrager,,,"This second interview with was recorded on June 20, 1975 at his home at Potlatch Junction. (Idaho)"
Frank Milbert,,,"He said, ""You run a steam shovel?"" And, I said, ""Yeah, I wouldn't see why I couldn't. I have worked around 'em plenty, and I have run 'em years ago."" ""But,"" I said, ""who's got a steam shovel to run?"" ""Well,"" he said, ""The North ern Pacific is going to have to use all their engineers on the engines."" See, a lot of the engines during World War II were I'm talking of the passenger and the freight engines, were steam. They've only changed to diesel since the war. Well, this old— five yard bucket on this rail road type shovel— and they were built totally to set on rails, that's the way they motivated themselves and everything without riggers and whatnot to support them. And he said, ""Well, do you have a cranesman?"" See, with a steam shovel like that, you had to have one man, you called him cranesman that sit out on the boom on a seat to operate the sticks on the shovel, to run the bucket in and out and trip it; that is lift A. load out of it. And the operator, the engineer sits back in below and he swings it and hoists it, see, and then you have to have the fireman in back to keep the steam up. He's just as important as anybody on the thing, you carry about a hundred forty-five, fifty pounds of steam pressure on one of them, and he has to know his— 'course, I'd fired on a steam shovel long years ago and knew that part well enough. And as far as the engineering of it, I didn't worry about that either because, like everything else, if you can run one you can run the otherif you know the principle of the thing. Well, the union kept— when I told 'em, yeah, I thought I could find Charley Bovill would go with me— he was a pretty old feller, but he was pretty skookum yet, and as far as cranesman he could set up there and handle that part of it, see. Well, it turned out that I went over there to Basin and operated for about eight weeks on that. We loaded rip-rap into the cars, 56 and rip-rap's great big boulders, you know, and you have to have a big machine to handle tht.. And the union, as I say, the union didn't know anything about it, but this had put down that I was a steam shovel operator, and this outfit went down there — well, the union said, ""You can't go over there— or you can go over there and work, contractor for Northern Pacific, you can go over there and work for 'em, but on your own deal."" Well, the union rate was a dollar seventy-five cents an hour then. Well, the railroad would pay the dollar seventy-five cents, they wouldn't pay overtime. And the deal was that you work eleven hours a day seven days a week. Oh, you work eight hours a day operating, but— the way it ended up, I should say, is they gave me eleven hours a day, seven days a week til the job was over. Well, this is strictly agin the union— well, what we were supposed to get time and a half for Satur day and double time if you worked Sunday. But, lining it up, we didn't do anything on Sunday, they called that repair day, and of course, there wasn't nothing to repair as far as we were concerned. And I stayed in this camp, that's how we got talking about this. I stayed in their camp and I don't know as I ever was in a camp with a bunch of men— and I was there for two months— that I enjoyed more than that. These fellows were sociable and all that, but, feed you!— you're bound to have gained weight whenever you were there because they just used just anything and everything- the only trouble that we had in all the time was to keep the cook happy. He drank all the vanilla extract and everything else that was around there, and then he didn't get enough booze, and the railroad was strictly agin that, but he didn't belong to any railroad, you know, brotherhood or anything, and he did as he pleased. And pretty near every one of them camps that they were in, the cook was the boss. I'm talking whether it was a logging camp, a railroad construction camp or what it was. He was the boss of the camp!! Anything he wanted, he got, you know. I mean the cook. Because he was always kind of a cantankerous character, you know, might quit them and leave them at any time without— with a flunky to took Boy the guys didn't want him in the role."
Sam Schrager,,,When was this about? When you was—
Frank Milbert,,,"This was 1941, or '42, in the spring of '42. Now, wait a minute, it was the spring of '41 exactly. 1941, the spring of 1941. See, World War — Was it '41 that the World War II started? December of '41. It was the spring of '2, is when it was, because I was on a crane up at Kettle Falls tearing down them trestles when the war started in December. And when I come off of that, I went on over to Montana."
Sam Schrager,,,I wanted to ask you how you got into mining.
Frank Milbert,,,"Oh, I'd been in mining before that. I always had— I'll tell you how I really got into it, or how I got mainly interested in it, was in the early- or middle '30's, the middle '30's. When the price of gold went to thirty- five dollars an ounce, and that's when it did, in 1934, there was quite a lot of activity in gold mining in little or no time. I mean, you could find— see the Depression was on, you could find fellows all over these hills, even around here, out in the bush with a pan and a shovel and a pick and nothing else, you understand. Just the stuff that they had with them. And a tent, of course, and grub to support them. And, anywhere you'd go along these streams that had gold in 'em, you'd find guys digging on 'em."
Sam Schrager,,,This was new? Just because the price of gold had gone up?
Frank Milbert,,,"That's right. The hand digging didn't interest me, I was in the heavy mach inery business, see, but all these old shovels and all this old stuff, you know that was sitting up there, there was guys that have a few bucks and a couple of 'em'd get together and want a shovel or this or that to take on a project that they knew they could make some money on. It was just like anything, if they could make some money, why, they would rent these— and they would try to get it for as little as they could. Well, I'd go fix 58 up some old junker of a shovel for someone and they would sell it to someone down here in Dixie or down in the Seven Devils country or heaven knows where around here. Montana, a lot of places they'd been, see. And, I'd see these young guys, or, you know, I'd go out and help them work, or get this thing running— I have moved shovels into, oh, this is down Boise, out of Mountain Home, ship 'em to Mountain Home from Spokane, and then get on 'em and take 'em thirty-five miles across the desert. Well, I say across the desert, down on— can't think of the name now— Grandview, is where I took them, to a gold mine down there. And, as I say, those fellows seldom would know very much about operating or anything else or taking care of a machine, see, but they were all much to get the gold. in this way, see, I'd got to see what they were doing and how it was done. The fact is, many a time you'd stay there for two, three days or a week to get the thing working for the fellows, and I got interested in it myself. However, I had been in a few old-timers camps, gold camps before that, that is, just— and I got to finding out there was a lot of old fellows around, you know that had hung on from years before, from— well, all their life had probably been gold miners. And they were always an interesting breed to talk to, find out what they—how they— just like up here on Gold Creek, I had had my shovel, I had an outfit by that time, by the time I come up here which was '36-'37, '36, I guess when I first come up here. I had an outfit down on Salmon River, a shovel and wash plant, and I'd run it that winter and on up into the spring and I had a lot of excavation work to do in Spokane with it, and I had it hauled back to Spokane, see. But before I took it back for any winter of mining anywhere— You understand you could mine on Salmon River in the win ter— you can't up here. But Curly Darrow come walking into the shop where I kept my— I had a shop in Spokane— he come walking in there and he says, ""I understand you got a shovel in here interested in mining."" And, I said, 59 ""Yeah,"" I said, ""but,""I said, ""right now it's pretty busy on digging base ments and excavation work."" ""Well,"" he said, ""I got some placer ground down there on Gold Creek,"" he said, and we got to talking about it. He and his brother were together. His brother lived in Spokane, see, and I said, ""Well, sometime I'll drop down to see you."" And we just left it So, one time I was down through the— I don't remember where, but somewhere in here and I come up through this way, and I know about along after lunchtime I inquired how to find my way out to Gold Creek, and got up part way out there and had to walk part of the way, the road was impassable, it was early spring, you know, and I went up to see Curly. And, of course, I was impres sed with it. Not so much the value, he showed me some gold that he'd col lected. See, he had a gate up there that was working, and he showed me some VvoA of the old; he had four-five ounces that he showed me."
Sam Schrager,,,What so impressed you?
Frank Milbert,,,"Well, the place, it's beautiful up there to look at. I'm talking of the tim ber— and the friendliness- while I was there one of the other old miners come in, you know, and we visit, It was along late, the wife was with me at the time, it was along late in the evening when we left there, that is, almost dark and I had the car stuck in a mudhole down there to get it out, 'course that wasn't no problem, but— And all that summer, everytime I'd get a day or two that I could sneak away, I'd drop down there and test the ground, visit with them. I got to know every body along the creek that way, and there was;.hen a dozen fellows working in there, different places. And, you'd always have— ""Oh, don't bother bringing down anything to eat."" You could stay right with them. 'Bring your bunk along1.' Well, I'd take an army not and a bedroll, you know, or blanket. Them days we didn't have these here bedrolls, like you have here now. And their usual fare was eggs and fried potatoes; raw fried potatoes, was always a standard with a miner, you know. Vou just take 'em and peel 'em and slice 'em in the pan, you know, with a little onion, hog lard, you know, and fry them; steam them, you know, in A a pan with a lid on it, a skillet, you know. And they didn't have a lot to live on, but they made a living at that. You see, they would possibly get ten-twelve ounces of goldAa year, with their hard work like that. Well, that would— they would be frugal enough to make that do for the whole year. And, if they run out, wood was always plentiful up there, you could cut wood, and in the summer the road would be good enough— there was a Guernsey down here had a store, and he would— if they would get out so much cord wood, or some- thing like posts, cedar posts, why, they would trade that for groceries along whenever they were out of money. And, they didn't all do that, but some of them did."
