speaker,timestamp,spanish,words,tags
,,,,
Patricia McDaniel,[00:00:00:00],"Este año, en una entrevista con el señor Alfredo Valenzuela de Nampa, Idaho. Hoy la fecha de hoy es el día 8 de enero de 1991.","This year, in an interview with Mr. Alfredo Valenzuela of Nampa, Idaho. Today's date is January 8, 1991.",nampa;idaho
Patricia McDaniel,[00:00:24:27],"Ya está en marcha. Muy bien, vamos a ver. Ayer empezó usted hablarme de su historia. ¿Y que vinieron ustedes o usted vino de Tejas?","It's already underway. Okay, let's see. Yesterday you started telling me about your story. And did you come from Texas?",
Alfredo Valenzuela,[00:00:39:02],Um-hm?,Um-hm?,
Patricia McDaniel,[00:00:39:24],Y a ver si usted me puede recordar. Eso del del del viaje de Tejas hasta Idaho y las razones por por venir de todo esto.,And let's see if you can remember me. That thing about the trip from Texas to Idaho and the reasons for all this.,idaho
Alfredo Valenzuela,[00:00:53:17],"Bueno, cuando yo vine aquí. Cuando. Cuando me dijeron que que pa acá era estaba bueno, porque yo tenía un cuñado que vivía muchos, muchos años pa atrás. Aquí se había ido Tejas y después allá que se encontró que ya no tenía trabajo y que y que quería venirse de vuelta pa Idaho y yo me vine con él.","Well, when I came here. When. When they told me I was coming here, it was good, because I had a brother-in-law who lived here many, many years ago. He had left Texas here, and then he found out he no longer had a job and wanted to come back to Idaho, and I came with him.",idaho
Alfredo Valenzuela,[00:01:21:13],"Y entonces me dice Vámonos pa Idaho. Entonces dice que pues yo no conozco allá dice no dice pues nos vamos juntos. Dice, la hacemos allá, dice y trabajamos y dice Cabo, Ya sabemos trabajar en el rancho y trabajamos en los ranchos y todo eso está bien y nos venimos. Primero nos fuimos bajando y de ahí nos contratamos en un, en un en una troca con una gente y de ahí nos venimos como el llegamos aquí en mayo, en el 62, el en Martha, Idaho, estaba nevando, estaba bastante nieve.","And then he says, ""Let's go to Idaho."" Then he says, ""Well, I don't know there,"" he says, ""No,"" he says, ""Well, we'll go together."" He says, ""We'll do it there,"" he says, ""And we'll work,"" and he says, ""Corporal,"" ""We already know how to work on the ranch, and we work on the ranches, and all that's good, and we're coming."" First, we went down, and from there we got hired on a truck with some people, and from there we came. We arrived here in May, in '62, in Martha, Idaho, it was snowing, there was a lot of snow.",idaho;agriculture
Alfredo Valenzuela,[00:02:09:07],"Y mucho frío. El día 15 de de mayo, haciendo mucho frío. Y no, no lo creía. ¿Fuimos eternos en el campo y entonces? ¿Pues para batallar ahí tuvimos batallando no? Este pues ya unos agarraban un cuato y otros acá y otros y a mí me dijeron Señor Valenzuela dice usted trae muy poquito familia, dice, pero ya aquí ese va a ser su cuarto.","And it was very cold. On May 15th, it was very cold. And no, I didn't believe it. We were in the field forever, and then? Well, to fight there, we had to fight, right? Well, some were already grabbing a room, and others here, and others, and they told me, Mr. Valenzuela, you say you're bringing very little family, you say, but here, this is going to be your room.",health;family
Alfredo Valenzuela,[00:02:41:16],"¿Y me dieron un cuartito chiquito y unos bunk, a ver que le dicen eh. Dos aquí, dos por acá y un estufa de leña por un lado, eh Pues mi señora nunca sabía cocinar en una en una estufa de esas y pues ahí nos, eh, ahí nos aventaron y de ahí pues este. Pues yo no sabía trabajar muy bien en el andar, en el betabel, desayunando.","And they gave me a small room and some bunks, let's see what they say, eh. Two here, two over there, and a wood stove on one side, eh. Well, my wife never knew how to cook on one of those stoves, and so, uh, they threw us in, and from there, well, this. Well, I didn't know how to work very well, walking, eating beets, having breakfast.",family;recreation
Alfredo Valenzuela,[00:03:14:21],"Eh, que nos dieron crédito en una tienda de comida. Y este hasta que no se viniera el trabajo bien y después este. Pues batallé para comenzar a trabajar porque no podía trabajar ni hacer dinero yo, porque pues nomás yo trabajaba y pues no puede. No, no, no, no podía hasta que este yo fui solo y comencé a a preguntar en en la oficina del de ahí del de la del Carmelo y dije yo necesito un trabajo mejor que esto.","Uh, they gave us credit at a grocery store. And then this one, until a good job came along, and then this one. Well, I struggled to start working because I couldn't work or make money on my own, because I was just working, and well, I couldn't. No, no, no, I couldn't, until this one. I went alone and started asking around at the office there at Carmelo, and I said, ""I need a better job than this.""",
Alfredo Valenzuela,[00:03:55:11],"Y le dije yo tengo más, pues más empeño para muchos trabajos. Le digo no puedo, no puedo, no puedo, este no, no me pueden buscar un trabajo mejor. Digo, un ranchero aquí necesita un tractorista dijo. Esta vez habría tres, doble y dos. Y dijo Bueno, dijo Yo hablo con él. Y fue, telefoneo y hablo con él a la noche.","And I told him, ""I have more, well, more commitment for many jobs."" I said, ""I can't, I can't, I can't, not this one, they can't find me a better job."" I said, ""A rancher here needs a tractor driver,"" he said. ""This time there would be three, a double, and two."" And he said, ""Okay,"" he said, ""I'll talk to him."" And he went, he called and talked to him at night.",agriculture
Alfredo Valenzuela,[00:04:19:11],"Y dice. Y yo te aviso en la mañana. Entonces me avisó. Y entonces me dio un una casa y nos fuimos yo y mi familia pa esa casa. Y trabajamos por un mes y acabé el trabajo muy pronto. Y entonces dijo Bueno hijo, ya acabaste dijo el muy buen tractorista y todo, digo, pero no tengo bastante fierro dijo Porque tú trabajas en un recio viejo y cavaste muy pronto.","And he says, ""And I'll let you know in the morning."" Then he let me know. And then he gave me a house, and my family and I went to that house. And we worked for a month, and I finished the job very quickly. And then he said, ""Well, son, you're done,"" said the very good tractor driver and everything. ""I mean, but I don't have enough iron,"" he said. ""Because you work in an old fort, and you dug very quickly.""",family;agriculture
Alfredo Valenzuela,[00:04:46:20],"Y tuve que irme para el campo atrás. Entonces se abrió otro trabajo, se comenzó el trabajo del betabel, de vuelta en Weiser y nos fuimos todos los hombres pa. Y dejé mi familia en Martha. Y entonces nos vimos pa allá y anduve trabajando y pues yo no, no podía hacer mucho dinero porque yo no sabía mucho trabajar de de betabelero y ni nada de eso.","And I had to go back to the fields. Then another job opened up, the beet harvest started, back in Weiser, and all the men went. And I left my family in Martha. And then we found ourselves over there, and I worked, and well, I couldn't make much money because I didn't know much about beet farming or anything like that.",agriculture;idaho;family
