speaker,timestamp,End Time,words
Clarence Johnson:,00;00;00;00,00;00;07;07,And you can write it in another fashion. Would they work? Work for the hand out?
Rob Moore:,00;00;07;07,00;00;28;00,"Sometimes you go in and do it. Some people ask him to work. Yeah. yeah. and they have to do some work. So we gave you some that it would work like, but mostly they used to give free hand. Oh, no."
Rob Moore:,00;00;28;03,00;00;28;24,What what kind.
Clarence Johnson:,00;00;28;24,00;00;34;16,Of a the town was drawing in really early days. It was a pretty quiet little place.
Rob Moore:,00;00;34;18,00;01;17;02,"And, well, it, it well, in a way, for the times, it wasn't too quiet because after that, the demand for goods that was shipped out, and then there's quite a little business and then as time goes on, that's later that I remember that we went when the park moved in and they were quite crafty. Employ because they had, and go and eat it and go in and have a group movie first they have, they had two labor barns, Victorian, and they had, teenage going night and day holding people and supplies and."
Clarence Johnson:,00;01;17;05,00;01;18;29,"Well, they hauling logs down through year two."
Rob Moore:,00;01;19;05,00;01;47;15,"No, no, no, they, they. Yeah. And they know that, that when I moved department. Oh did you come to a lot of trafficking and that stimulated a business in town everywhere for years. You guys didn't quite know. And very sorry. The decomposition. yeah. I never I never did work for him, but did a lot of people around here worked a week and get their."
Rob Moore:,00;01;47;21,00;01;54;24,"You can do any farming? Well, I did work on a new growth net up there."
Clarence Johnson:,00;01;54;27,00;01;57;09,Was Troy pretty law abiding?
Rob Moore:,00;01;57;11,00;02;01;14,"Yes. from the early days, I'd say it was pretty law abiding."
Rob Moore:,00;02;08;04,00;02;34;00,"There was one incident down there that when the town marshal, went to arrest the party, on the south side of town, and that he was eating 92 or 94, and, he tried to force his way in, and that and this individual shot him from."
Clarence Johnson:,00;02;34;02,00;02;38;07,"Yeah, but that was Marshal Hayes was Marshal Hayes."
Rob Moore:,00;02;38;09,00;02;57;17,"And, he, of course, he's just the cronies and, well, he had two boys, two men that time, they, you get a few together and he's going to shoot this,"
Unknown,00;02;57;20,00;03;00;24,and.
Rob Moore:,00;03;00;26,00;03;23;25,"fly. What do you decide on sight? The officials from Moscow come down and and took him out the back way, out of the hotel and, and, and so they never got a chance him. But, he, he was paid slightly more. We didn't share very many years."
Unknown,00;03;23;27,00;03;28;20,and so he got out. All right. I don't know what the.
Clarence Johnson:,00;03;28;22,00;03;32;05,I've heard that Marshal Hayes was a pretty hard guy to get along with.
Rob Moore:,00;03;32;08,00;03;34;19,"Oh, that. And when he was kind."
Unknown,00;03;34;19,00;03;40;28,"Of hard, you know, and,"
Rob Moore:,00;03;41;00,00;03;53;29,"Whether he had the right to go outside of town, I don't, I don't know, some say it was because I guess that, you know, of course, the track probably wasn't incorporated in the town. You. But, people had to dislike for."
Unknown,00;03;54;00,00;04;00;19,"Him to, in that way."
Clarence Johnson:,00;04;01;17,00;04;07;05,"For quite a while, there was quite a bit of mining up in this area. Two. Wasn't that for prosperity?"
Rob Moore:,00;04;07;08,00;04;16;09,"there was, prospect, the North, the town, and, some east the town."
Unknown,00;04;16;11,00;04;24;11,"and but, you see."
Rob Moore:,00;04;24;13,00;04;32;24,"Six, seven miles east, the town, they had the mine there and I was at the copper received."
Clarence Johnson:,00;04;32;27,00;04;36;14,And that had that mine there.
Rob Moore:,00;04;36;16,00;04;48;22,"Ocean Voice always and okay. Always didn't had one, but,"
Rob Moore:,00;04;48;24,00;04;56;26,"Three and a half or four miles after it, right down this canyon. Oh, and it did. And,"
Unknown,00;04;56;29,00;05;05;04,"But, you know, you're on and off lot. And they had tunnels running in the American."
Rob Moore:,00;05;05;04,00;05;12;12,"You never really know, and letting them develop, you know, she'd come in."
Clarence Johnson:,00;05;12;15,00;05;15;09,I never had much success. No.
Rob Moore:,00;05;15;12,00;05;17;11,probably they they they could get.
Unknown,00;05;17;11,00;05;24;01,On with their job and or. I don't know.
Clarence Johnson:,00;05;24;03,00;05;34;21,"You told me last time we're talking about, Was it your wife, granddad had, was going to leave this country one day."
Rob Moore:,00;05;34;24,00;05;41;05,"An old, old post that my, my, granddad."
Unknown,00;05;41;09,00;05;46;07,"He, and, the,"
Rob Moore:,00;05;46;10,00;05;53;06,"93 four in there. He'd been here, since 83, in the depression."
Unknown,00;05;53;06,00;05;57;17,"Come on. And, and, yeah."
Rob Moore:,00;05;57;19,00;06;23;26,"Good in the truck and went then hunting another and so he decided to leave. he said he's going to leave and there and and did you story Marsh to, which is the smell which, well, that means going for a long time, but another up the road at midday. And they they run that and they raided."
Unknown,00;06;23;28,00;06;26;11,Durham and Kaufman and Durham and.
Rob Moore:,00;06;26;11,00;06;30;17,Kaufman run that. And and they had and give him credit.
Unknown,00;06;30;17,00;06;35;19,"To bottom around here and, and,"
Rob Moore:,00;06;35;22,00;07;02;27,"And the hard times come on. And one craft beer was wet, you know, and so, we've been we have been told that he's got to quit this year. I got nothing I no clothes to wear. And, and nothing to feed the family and and no machinery to speak of and and but they told him. No, you're not going to leave when I can't stay, I can't keep on."
Rob Moore:,00;07;02;29,00;07;22;16,"So I finally, they said we're trying to get everything you need. And, so he he said he tried again, you know, and, and they furnished in with them what the family needed and anything else he needed in there told him not put in."
Unknown,00;07;22;19,00;07;27;18,"yeah. All the land you can, and, more to,"
Rob Moore:,00;07;27;21,00;07;53;24,"So he got some neighbors to help. So we put in quite a bit of land. And then when, that coming year and when he had done and when he had harvested that year and sold his crop, he, he had, and he got $5,000 and it was all everything good. so, he came out fine."
Rob Moore:,00;07;53;24,00;07;56;11,Anyhow.
Unknown,00;07;56;13,00;07;59;16,"we just,"
Rob Moore:,00;07;59;18,00;08;07;22,"He managed to pay his debts and buy 160 acres for $6,000."
Clarence Johnson:,00;08;07;24,00;08;11;09,"And, they gave him all the our."
Rob Moore:,00;08;11;09,00;08;25;17,"Food and your shoes and everything else. Yeah. And, well, and, he actually watched in quite a predicament because that, the war God is actually on his feet, Yeah."
Clarence Johnson:,00;08;25;20,00;08;31;01,"And they gave him a seed grain to. Oh, yeah, if he needed anything."
Rob Moore:,00;08;31;03,00;08;35;00,"And then he got his neighbors, you know, did. And typically, what."
Clarence Johnson:,00;08;35;02,00;08;38;01,Did he pay his neighbors these days to.
Rob Moore:,00;08;38;03,00;08;45;19,Walk and indicated that before? I don't think they knew that. What if what what have you done that they're going to come.
Clarence Johnson:,00;08;45;19,00;08;51;18,Right. Do you think Darwin Kaufman. helped bail out quite a few people?
Rob Moore:,00;08;51;21,00;09;05;28,And those that were willing to. Yeah. stick it out. Yeah. And Durham and Kaufman that after some time sold out and went down to San Francisco to run over 50.
Rob Moore:,00;09;06;00,00;09;21;23,"But, did, and people, seem to like that Durham and Kaufman. Yeah. They were just interested in business. B wasn't interested in land. They didn't want it."
Clarence Johnson:,00;09;21;26,00;09;25;10,Itself. It sounds like they're also interested in helping the community out.
Rob Moore:,00;09;25;10,00;09;28;25,"Oh, yes. Yeah, yeah."
Unknown,00;09;28;27,00;09;34;24,"and, they figured when,"
Rob Moore:,00;09;34;26,00;09;46;07,"You get some of the city anyhow, then, we, we collect some of it, you know, and, but, they were different back. We. Yeah."
Clarence Johnson:,00;09;46;10,00;09;48;17,And the first one and then like Gomer.
Rob Moore:,00;09;48;19,00;09;53;02,Yeah yeah.
Rob Moore:,00;09;53;05,00;09;56;28,We're now and that kind of
Unknown,00;09;57;01,00;10;01;20,and. that that's about.
Rob Moore:,00;10;01;20,00;10;08;16,Enough for me now. And then you get to be in okay. It's you right. You should.
