speaker,timestamp,End Time,words
Laura Schrager,00:00:00:00,00:00:34:01,"On this tape, Ernie Johnson Butterfield reminisces about a wide variety of subjects. She recalls her mother's routine prohibition, good dresses and lodging. There would. She describes dances, the courtship with her husband, and her life after marriage. So, one of the. I told you on the phone that one of the reasons we got hung up and didn't, I didn't make it up here was we were talking to Glen elder, and he mentioned a few things that he really wanted me to ask you about."
Laura Schrager,00:00:34:04,00:00:41:06,"Things. The you didn't really know the stories about, but he thought you might remember them pretty well."
Laura Schrager,00:00:41:27,00:01:08:28,"And, one of them is, he remembered there was a shooting over a poker game at Jack Connors place team. Do you ever remember that story? No, I don't. Okay. And then another one was, the there was a feud between the duffs and the Wagners."
Edna Johnson Butterfield,00:01:08:29,00:01:23:22,"Oh, yes. What was the oldest, neighborhood scrap about to, you know. They were both all bachelors, and they just couldn't get along. I know my father used to pack stuff up to them."
Laura Schrager,00:01:23:24,00:01:28:07,"They lived up, hoodoo."
Unknown Speaker,00:01:28:09,00:01:30:00,Hmhm.
Edna Johnson Butterfield,00:01:30:02,00:02:01:07,"And this. This Charlie Wagner, he was in an old country. German. German. And of course, he would have his only. And show us the other fella. And I think they make trouble on this over a little land. And I told you how they used to take up land, you know, on homestead. Well, there was the chapel and my father grew up in who did the both of,"
Laura Schrager,00:02:01:09,00:02:09:04,One of them. They thought that the other person was taking some of their land. They had a gunfight over that.
Edna Johnson Butterfield,00:02:09:06,00:02:22:11,I don't know what they did. I don't remember that part. But I do know that my father said he he had to be awful careful not get this stuff fixed up right.
Laura Schrager,00:02:26:01,00:02:30:06,What happened? Did they just stay there and keep fighting it out?
Edna Johnson Butterfield,00:02:30:09,00:02:45:17,"Or am I just know? But both eventually died. They stayed there, but they were elderly men. And I knew them. And they and they died there."
Laura Schrager,00:02:45:19,00:02:48:24,You probably really enjoyed fighting.
Unknown Speaker,00:02:50:04,00:02:52:02,but.
Laura Schrager,00:02:52:04,00:03:00:05,"And they, the other thing he mentioned was, the Admis liner shooting."
Edna Johnson Butterfield,00:03:00:07,00:03:01:22,"No, I,"
Edna Johnson Butterfield,00:03:03:16,00:03:05:05,"Agnes was liner, you see?"
Laura Schrager,00:03:05:07,00:03:05:23,Yes.
Edna Johnson Butterfield,00:03:06:00,00:03:23:04,"No, I don't remember. No. If my brother next to me next older than me was alive, he could tell you all them thing. I expect he was three years older than I was, but he had a, a great memory."
Edna Johnson Butterfield,00:03:23:06,00:03:28:19,And he could tell her anything.
Edna Johnson Butterfield,00:03:28:22,00:03:37:04,"Okay, but he's been gone now for seven years."
Laura Schrager,00:03:37:07,00:04:00:09,"You were there any, People that you remember from, the past that were real characters, which was that were real characters that, you know, did stand out in your memories? no special."
Edna Johnson Butterfield,00:04:00:11,00:04:17:22,"I can do this. I think this landmark can tell you so much about outstanding things which anyone, just mentioned. And,"
Edna Johnson Butterfield,00:04:17:25,00:04:55:10,"They love it, fellas. With the, old bachelors. Oh, my. There's one fella. His name was, Dick Richard Gray. And he was a hoodoo. And he, yeah, a little family up there. And they had six children. And finally they he didn't get them out to go to school. And I know the county commissioners took it up, made me him, you know, him out of there, but I could go to school."
Edna Johnson Butterfield,00:04:55:13,00:05:06:07,"And the main thing that was he you run for legislature and got elected, and he got you. Children weren't even in school."
Edna Johnson Butterfield,00:05:06:09,00:05:20:21,"That was over. And if the remote in the neighbors thought that was something terrible, well, but you know, about same county, just like. So that was it."
Edna Johnson Butterfield,00:05:20:24,00:05:33:02,I'm sure Glen Guillory could remember that little kid.
Edna Johnson Butterfield,00:05:33:04,00:05:34:28,Would you like a cup of coffee?
Laura Schrager,00:05:35:01,00:05:37:16,"Oh, no, thanks. I just had lunch."
Laura Schrager,00:05:39:28,00:05:42:00,I've been drinking too much coffee today.
Laura Schrager,00:05:43:00,00:05:45:01,I've been drinking too much coffee today.
Edna Johnson Butterfield,00:05:45:03,00:05:47:22,Oh.
Laura Schrager,00:05:49:27,00:06:03:08,"last time when I was here, your, one of your daughters mentioned to me about the routine your mother had. The what? The routine that your mother had for doing things on different days."
Edna Johnson Butterfield,00:06:03:08,00:06:03:28,Yes.
Laura Schrager,00:06:04:00,00:06:06:20,Can you tell that to me again?
Edna Johnson Butterfield,00:06:06:22,00:06:40:27,"Well, on Saturday, the house had to be all scrubbed. Cleaned. And Sunday and Monday it all washed. It no matter what to do. And we had to work on Monday and then Tuesday with ironed. And then Wednesday she generally went, oh, she bathed in and went through the things that she had to do. And she, she go through she had her day to do what needed doing."
Edna Johnson Butterfield,00:06:40:27,00:07:10:06,"Said. And Friday was to sweep and clean the house again. And then Saturday she baked up something they didn't do, like no canned goods store. Get it? And they did go to, you see, it was 30 miles to go to a store. And then on Sunday, and my mother and my grandmother were two people that never worked. And they did absolutely what they had to."
Edna Johnson Butterfield,00:07:10:06,00:07:42:20,"On Sunday. And my grandmother had knit. Oh, she had made an awful lot of lace and things like that. But Saturday night her needles laid down and they weren't picked up again on Monday morning. She never, never donated stitch, and if anything needed mending unless it was absolutely necessary there. Stayed there on Monday morning. People don't do that these days, but that's the way that they did."
Laura Schrager,00:07:42:22,00:07:44:28,Did you go to Sunday school? You know?
Edna Johnson Butterfield,00:07:45:00,00:08:04:18,"Well, at one time we had a Sunday school up there in our old school, and that was the most that I ever went to school because I was so far in a row. But in our school with our shop there, it was a couple of years that they also had Sunday school, and that was all that I can remember."
Laura Schrager,00:08:04:20,00:08:13:16,"Did your, is there anywhere that you celebrated Sunday, especially in the family?"
Edna Johnson Butterfield,00:08:13:18,00:08:49:25,"Yes. We ours. I have a. I have, and my mother always tried to get the family together at Thanksgiving time, which I have held up so far, and I hope to be able to do it again this year. We have our family gathering on Thanksgiving Day, and, used to be that to wasn't too many others, but the last two years I've had 45 and that's just home family that we were outside and now I'm planning it again."
Edna Johnson Butterfield,00:08:49:27,00:09:17:09,"If a good lord says I can and I'm relatives, come. I have some nephews at Pierce and they come my way, some from Spokane. We have, we just have a a family get together and they all bring us something. You know, and they come at noon and generally straddle it after eating in the evening."
Laura Schrager,00:09:18:17,00:09:20:03,That must be pretty nice.
Edna Johnson Butterfield,00:09:20:03,00:09:28:28,It is. And it being that's the family we consider that or a family once a year. And of course this.
Edna Johnson Butterfield,00:09:29:01,00:09:36:29,"It seems pretty nervy year that somebody's taken out of it. Oh and you know, I know that number."
Laura Schrager,00:09:37:02,00:09:39:14,And a few additions maybe.
Edna Johnson Butterfield,00:09:39:14,00:09:57:00,"Yeah a few days. And last year this year, this year we've had one new I have had one new great grandson here this year, a year old the 4th of December."
Edna Johnson Butterfield,00:09:58:11,00:10:09:08,"You know, I was just trying to think of the immediate family so far been taken this year."
Laura Schrager,00:10:09:10,00:10:18:00,"Did you, for any of the holidays, like Easter? Christmas? Would you go to church in town?"
Edna Johnson Butterfield,00:10:18:03,00:10:41:20,"No, no, we never did that. and I don't think you find a lot of them here that do. Did you might find some, I think now I'm sure Mrs. Van Hart down here. Oh, of course, church on Sunday."
Laura Schrager,00:10:41:23,00:10:49:23,"Do you think religion was more of, private impact? Do you think religion was more private then, or."
Edna Johnson Butterfield,00:10:49:24,00:11:15:13,"Well, people were more neighborly. People are not neighborly. Not like they were in those days. People go back and forth and take the noon hour, like go to lunch now. They'd have their own dinner. but no, nobody does that anymore."
