speaker,timestamp,spanish,words,tags
,,,,
Martha Torrez,[00:00:00:00],"Estamos a día 19 de octubre de 1991. Hoy por la tarde estamos visitando con la señora Felicitas García, que vive por la calle Patzi. Es 966 calle Patzi en Pocatelo. Mi nombre es Martha Torres y la estaré entrevistando hoy. Esta tarde. Doña Felicitas. ¿Ya, ya hemos estado platicando un poquito, verdad? Antes de haber comenzado la grabación. ¿Lo primero que le quisiera preguntar hoy por la tarde es este Cómo es que usted y su familia vinieron al estado de Idaho?","It's October 19, 1991. This afternoon we're visiting with Mrs. Felicitas García, who lives on Patzi Street. It's 966 Patzi Street in Pocatelo. My name is Martha Torres, and I'll be interviewing her today. This afternoon. Mrs. Felicitas. Okay, we've been chatting a little bit, haven't we? Before we start recording. The first thing I'd like to ask you this afternoon is: How did you and your family come to Idaho?",family;idaho
Felicitas Garcia,[00:00:44:09],Porque yo pasé de allá en México en 1910. Sin familia (Inaudible). ,Because I left Mexico in 1910. Without family (Inaudible).,mexico;family
Martha Torrez,[00:00:56:13],"¿Pero con quién vino? Cuando primero vinieron, vino con sus padres.","But who did he come with? When they first came, he came with his parents.",
Felicitas Garcia,[00:01:00:03],Con mi esposo.,With my husband.,family
Martha Torrez,[00:01:01:07],O con su esposo en 1910.,Or with her husband in 1910.,family
Felicitas Garcia,[00:01:06:12],¿Él 1910? Sí.,He 1910? Yes.,
Martha Torrez,[00:01:08:29],¿Y por qué vinieron al estado de Idaho?,And why did you come to the state of Idaho?,idaho
Felicitas Garcia,[00:01:12:28],Pues él venía a trabajar por el ferrocarril. Él fue trabajador del ferrocarril todo ese tiempo. Mmm.,"Well, he came to work for the railroad. He was a railroad worker all that time. Hmm.",railroads and transportation;labor
Martha Torrez,[00:01:21:17],¿Y qué hacía con el ferrocarril?,And what did he do with the railroad?,railroads and transportation
Felicitas Garcia,[00:01:24:11],"Componer los trastes del tren, todo esas cosas hacia él.","Fixing the train's frets, all those things towards it.",
Martha Torrez,[00:01:31:24],¿Cómo consiguió él ese trabajo desde de México venia contratado?,How did he get that job since he was hired from Mexico?,mexico
Felicitas Garcia,[00:01:34:29],"No, a pie de allá a trabajar en los trabajos donde los ponían. Pero él después ya agarró trabajo con el ferrocarril.","No, he walked from there to work at whatever jobs they gave him. But he later got a job with the railroad.",railroads and transportation
Martha Torrez,[00:01:54:24],Qué recuerdos de doña Felicitas del Tiempo Cuando. Cuando cruzaron para acá. Este. ¡Qué manera de transportación usaron?,What memories of Doña Felicitas from the Time When. When they crossed here. East. What mode of transportation did they use?,
Felicitas Garcia,[00:02:06:15],"En ese tiempo tenían que agarrar pasaporte para pasar para acá. Yo tengo mi pasaporte, pero no me acuerdo en cual platilla tipo una cajita así y traigo mi pasaporte y traigo una tarjeta como por toda mi familia de aquí, todo el servicio que dieron ellos fueron a lavarme y volvieron y pues todas esas cosas, tengo yo mi mis papeles en esa cajita y ahí traigo una, una tarjeta vino de Boise, cuando decían que iban a recoger toda la gente que no viera que no tuviera pasaporte para estar aquí.","At that time, you had to get a passport to get here. I have my passport, but I don't remember which one, it's like a little box. I bring my passport and a card for my whole family here. All the services they provided were to wash me and come back, and all that stuff. I have my papers in that little box, and I bring one. A card came from Boise. They said they were going to collect all the people they didn't see who didn't have a passport to be here.",family;boise
