speaker,timestamp,End Time,words
Gus Gamble:,00;00;00;00,00;00;14;07,"Oh, I think I. Hung around the."
Gus Gamble:,00;00;14;09,00;00;21;27,"High school social work and. Yeah, I."
Gus Gamble:,00;00;22;00,00;00;29;10,Just returned from. And I feel there.
Sam Schrager:,00;00;29;12,00;00;31;25,"Yeah, I think that I do. Yeah."
Gus Gamble:,00;00;31;27,00;00;37;00,I got yeah.
Gus Gamble:,00;00;37;03,00;00;37;22,Yeah.
Gus Gamble:,00;00;37;24,00;00;43;00,And he would say so us so.
Gus Gamble:,00;00;43;02,00;00;50;17,"And yeah, I know we can read right through if we had."
Gus Gamble:,00;00;50;19,00;00;57;18,To listen wild. Yeah.
Gus Gamble:,00;00;57;20,00;01;02;08,Yeah. What about that.
Sam Schrager:,00;01;02;11,00;01;04;16,What did he brag about?
Gus Gamble:,00;01;04;18,00;01;09;00,He found the. Yeah. Yeah.
Gus Gamble:,00;01;09;02,00;01;17;01,Yeah. Yeah.
Gus Gamble:,00;01;17;04,00;01;27;14,I of all the other guys like that. Yeah. Yeah.
Gus Gamble:,00;01;27;16,00;01;29;27,What are you back to? My.
Gus Gamble:,00;01;29;29,00;01;37;03,I asked the Prime minister about.
Gus Gamble:,00;01;37;13,00;02;11;21,"perhaps, and I didn't do anything, really, until we could see it. And, he. Yeah. About, you know, the glove and how, you know, I had no money. I mean, all right. The hell? Good, man. Yeah. About 50 or $0.75 today, though. Yeah. And he walks through, and that's why he didn't do as much. and today is, our average man."
Gus Gamble:,00;02;11;21,00;02;42;03,"We're doing an hour. Yeah, he he doesn't he is not nothing at all. And that is, another little hammer hand. we didn't have much use for him for a while because we thought he was the same. But he was. He was, he didn't pretend to do hard work, and he would drive teams somewhere in the field, and, I got a dollar a are."
Gus Gamble:,00;02;42;05,00;02;51;00,"But he had, he you get that though? His horses, they work and so on."
Gus Gamble:,00;02;51;00,00;03;00;05,He knew that. Do you remember about him? leaving some jobs there? Yeah. You boys have been selling these guys?
Gus Gamble:,00;03;00;07,00;03;31;15,"Yeah. Yeah, that's the ad. I know the monologue. And I need is for parts. That's not mine anyway. How many divorces? All summer? And after the mayor and the dog goes, he'll go on. And it's probably not the year for them. And, so the the hollow throated back and and you days after them and. Hello Virginia."
Gus Gamble:,00;03;31;18,00;03;52;00,"We in dogs in the fall they'll hold my shame and we'll give them one away. Well I was trying to and he was here and and I didn't that didn't sit well with us at all. Yeah, yeah, we're having to hustle, feed and all. Don't live here."
Gus Gamble:,00;03;52;03,00;03;53;21,Do you think he ate the dogs?
Gus Gamble:,00;03;53;27,00;03;55;17,Yeah. Those stories in the egg.
Gus Gamble:,00;03;55;17,00;04;34;16,"Dogs. Yeah. And I think he did. And, he had some little shots from between. well, we have in between, sorry. And, the dairy, there was no deer. It had been, ten years later, they have the, Yeah. Started, deliver a big, large meal and, and they had, but this cross country in, in Delaware they call tumble."
Gus Gamble:,00;04;34;19,00;05;03;00,"It's a little quiver now, but it was trommel and, now the brothers were back in their cattle, and they, they go out to the Clearwater River and, in the summer, in the winter. And, he's alive. The two of them come out here in the summer. They have. They had a lot of. But this little problem is not good."
Gus Gamble:,00;05;03;02,00;05;32;24,"And they had the little one room shack. So, so later on the their had an old shack and and, no, no, no, don't even, he just called in through a window. Well, no, he, no, he was no good at all. But you some people kind of believe them. But those kids, the little ones, they were."
Gus Gamble:,00;05;32;24,00;05;39;10,"But we we knew better. We. It was just an old hidden gem, or we didn't like that."
Gus Gamble:,00;05;39;12,00;05;40;18,"And,"
Sam Schrager:,00;05;40;21,00;05;42;26,"Yeah. Well, yeah."
Gus Gamble:,00;05;42;28,00;05;45;22,"Yes, I was, and I wasn't born, and."
Gus Gamble:,00;05;45;24,00;05;47;01,I don't know.
Gus Gamble:,00;05;47;04,00;05;47;28,Any stories about.
Gus Gamble:,00;05;47;29,00;05;48;22,Yours.
Gus Gamble:,00;05;48;24,00;05;50;02,About the King of the forest.
Gus Gamble:,00;05;50;05,00;05;51;17,"Yeah, yeah."
Sam Schrager:,00;05;51;20,00;05;56;11,"Did he say that he'd, That he'd ridden with Kit Carson?"
Gus Gamble:,00;05;56;12,00;06;24;07,"Yes. Yeah. And he was supposed to show his children Carson a lot of things that he didn't know. So the the toy. Yes, yes. Kit Carson. No, he was, yes or no in the money? I never seen Carson. Carson shot the his dogs."
Sam Schrager:,00;06;24;10,00;06;27;11,And then he disappeared about 19 three or he left.
Gus Gamble:,00;06;27;16,00;07;02;17,"Yeah. I didn't see the last time ever. So I, you know, I heard that he. I never saw him after that, but we met him on the road with him, and, 1 or 2 wouldn't have no idea when a really old, Well, they all, hack heck of this top of the hat. And he would go and control a lot of the area somewhere, and, he was, just out east of Moscow."
Gus Gamble:,00;07;03;19,00;07;31;13,"oh. Before I get, Cornwall even just, about four miles out past the the path, the golf course, the east of Moscow and then. Yeah. Yeah. Oh. Who with all that golf course? Our buddy and I do some plays."
Gus Gamble:,00;07;31;15,00;07;34;05,"Virginia. Oh, the Moscow golf course."
Gus Gamble:,00;07;34;09,00;07;41;14,"Yeah, yeah. who owned it? Yeah, it, some of Lodge owns it."
Gus Gamble:,00;07;41;16,00;07;42;09,"Oh, the Elks."
Gus Gamble:,00;07;42;14,00;07;44;15,"Yeah, yeah, yeah. That's that."
Sam Schrager:,00;07;44;18,00;07;47;13,So you met Wild Davey out out there?
Gus Gamble:,00;07;47;13,00;08;20;07,"Yeah, I was that was an association of the. Now the. Oh, no, this one from outside through. But the the mountain thing. But then after that. Yeah. Yeah I don't know I, we met and I'll be and my brothers after my old brother stopped and he some haywire off the fence a long ways and, wrapped around who he was from the."
Gus Gamble:,00;08;20;08,00;08;42;13,"Yeah. I, I hacked we just have a shovel when real with, hoop around it and, and it would stretch and, dance or just drop off the, the."
Gus Gamble:,00;08;42;17,00;08;44;04,Because you got it all fixed anyway.
Gus Gamble:,00;08;44;07,00;08;45;14,"Yeah, yeah."
Gus Gamble:,00;08;45;17,00;08;46;12,"Well, I think."
Gus Gamble:,00;08;46;15,00;09;09;12,"Interesting and even nothing now and, and, the, the whole weather having to wire up the fence so birds jumped up and birds before they. I don't know how you can have the wire that and, and shoot it all on and wrapped it tight. And I guess he got, his shot."
Sam Schrager:,00;09;09;15,00;09;12;09,With. He. Did he have a wife then?
Gus Gamble:,00;09;12;12,00;09;33;18,"I suppose, too, I guess. But I didn't know that until that little, old ten years ago or so. But he had so many schools around the university, but she didn't know very much now, or she wouldn't have been, but she wrote this book. Kind of told name."
Sam Schrager:,00;09;33;20,00;09;36;14,So how did he work again? How did he how did he.
Gus Gamble:,00;09;36;18,00;09;46;22,"Oh, a little short fella about, or five. This his short? Did you 20 pounds or more. This little fat fella."
Gus Gamble:,00;09;46;24,00;09;49;05,You mean 120 pounds.
Gus Gamble:,00;09;49;08,00;09;55;23,"Oh, yeah. Yeah yeah yeah yeah yeah yeah. But he was, and,"
Sam Schrager:,00;09;55;25,00;09;58;26,And he wore the buckskin. He wore buckskin. Did he.
Gus Gamble:,00;09;59;22,00;10;05;21,"yes, yes. He would. yes. In,"
Gus Gamble:,00;10;05;23,00;10;08;13,In.
Gus Gamble:,00;10;08;16,00;10;10;12,"His, regalia."
Gus Gamble:,00;10;10;14,00;10;13;21,Absolutely looks like that.
Sam Schrager:,00;10;13;23,00;10;15;06,That's another picture.
Gus Gamble:,00;10;15;08,00;10;27;20,"All we have is. Oh, yeah. He's, he looks bigger, and, he was. I used to have a pretty good sized man there, but it was deep. Probably not touching the ground."
Gus Gamble:,00;10;27;21,00;10;28;15,"Yeah, I've."
Gus Gamble:,00;10;28;15,00;10;32;02,Seen it on a stump or something.
Sam Schrager:,00;10;32;04,00;10;40;11,"Oh, and then. And then one. What? What's his. What are you saying about the girl? That. That he wanted to tone his hair? Yeah."
Gus Gamble:,00;10;40;13,00;11;07;09,"Yeah, yeah. And same, you know, this is a neighbor was down to that girl out loud. and I don't think she was of age anyway. He was. And she was very quiet. She said half an hour, and I think her mother thought cooler. And so one of all, he as it was in the house, so he came in."
Gus Gamble:,00;11;07;11,00;11;39;09,"So then you know what? He he, poster. Wouldn't you like to comb my hair? I don't know this a place, though, is like that. And though, he says no, it's all it is, so. And, all of good long. I just wanted to cut my. Oh, would hold my hair. And, who is he? Never, never has this wire with you."
Gus Gamble:,00;11;39;09,00;11;58;15,"Just serious. But he'll follow those and not. And I know it never had their wife and never had the depression or maybe it's the walking game, or I'd try. And I suppose."
Sam Schrager:,00;11;58;17,00;12;00;24,While they e sure sounds like.
Gus Gamble:,00;12;00;24,00;12;02;04,"It, it sounds interesting."
Sam Schrager:,00;12;02;04,00;12;04;14,"Their character. Oh, yeah."
Gus Gamble:,00;12;04;17,00;12;15;09,"I think, I yeah, well, I think I can stick that out so yeah."
Gus Gamble:,00;12;15;11,00;12;22;17,"If at all. Yeah. Yeah, yeah, I don't know."
Sam Schrager:,00;12;22;20,00;12;31;09,"Well, according to this, his wife, wrote the books for him."
Gus Gamble:,00;12;32;28,00;12;42;23,Probably. And maybe the.
Sam Schrager:,00;12;42;26,00;12;49;27,"Were there any other any other guy's characters around? And, like, I don't imagine they'd be like him, but were there any."
Gus Gamble:,00;12;49;27,00;12;50;20,Other sort.
Sam Schrager:,00;12;50;20,00;12;53;03,Of crazy guys around you all.
Gus Gamble:,00;12;53;03,00;12;53;29,From.
Gus Gamble:,00;12;54;01,00;12;57;14,"But they were the ones. It was, what the ship was is."
Gus Gamble:,00;12;57;14,00;13;01;27,"This little man, he knows you, Pat Malone. Maybe he can tell you about Pat my home."
Gus Gamble:,00;13;01;27,00;13;02;23,"Oh, yeah. Some of those."
Gus Gamble:,00;13;02;23,00;13;03;09,Stories.
Gus Gamble:,00;13;03;21,00;13;09;01,yeah. I did not know that was there around that early.
Gus Gamble:,00;13;09;03,00;13;13;26,"Oh, no. He wasn't. No, no, I didn't know him till 1914 or so."
Gus Gamble:,00;13;14;01,00;13;27;16,"Oh, well, yeah, I am 139. I was going into, Elk River out was there, and though me and John did down."
Gus Gamble:,00;13;27;18,00;13;29;25,"In,"
Gus Gamble:,00;13;32;04,00;14;02;12,"went down to Edgewater, you wouldn't find it in shock so long. Yeah, I've been set up that I'm not sure what it is. So it's this, town or. And so we, we go to in order to get to Moscow, you have to come to Poland and lay off where I live on. And, and finally hit the wall early on."
Gus Gamble:,00;14;02;12,00;14;29;22,"And then the next morning, because, I'm trained, and there's a lot of hellos on the way to Iowa for that, and I know who that is. Bovill. And then we would. Yeah, I thought of Pat's, shoulders and go on out to my homestead, grow a John, Baker's two or he bought. He is."
Sam Schrager:,00;14;29;24,00;14;31;01,Where was the homestead?
Gus Gamble:,00;14;31;22,00;15;02;24,"out east, east of, Elk River. But there was no, until I got the railroad in. But the railroad did in, about four years, and they had started the mill out at, the fall of 1811, the fall of 1911. That started it up and have run it, pretty much throughout the winter."
Gus Gamble:,00;15;02;26,00;15;17;12,"Our brother John in on they started it and they, they, At Denver they named Clipper. But before that it was a strong."
Gus Gamble:,00;15;18;19,00;15;23;11,"And, so this all this helpful was that before then?"
Sam Schrager:,00;15;23;14,00;15;24;17,Who Trumbull was?
Gus Gamble:,00;15;24;17,00;15;29;00,I know this old fella. Know this? Dave. Yes. The.
Sam Schrager:,00;15;29;03,00;15;32;11,"Oh, did you know Trumbull at all, old man? Trumbull?"
Gus Gamble:,00;15;32;22,00;15;51;00,"didn't know the old man, but I knew the boys. The boys run a bunch of cattle, bring up the, North Fork in. Well, they've got the mill, and, b, dam in there now. Oh, that gave them digging."
Gus Gamble:,00;15;51;00,00;16;00;27,"And I read nothing up about that cattle range, but, you know, engaging Miller's book. I don't think he wrote that. That's something I never heard before."
Sam Schrager:,00;16;01;00,00;16;03;17,"What cattle ranches is now. Well, it."
Gus Gamble:,00;16;03;17,00;16;09;05,"Was up in Elk River some place wasn't, I guess. then you said they ran them there in the."
Sam Schrager:,00;16;09;08,00;16;10;27,Trumbull Trumbull sons.
Gus Gamble:,00;16;10;27,00;16;12;18,Yeah.
Gus Gamble:,00;16;12;20,00;16;31;15,"Yeah. Well, that was that. Yeah. That was the name of the place. Just a little store or something. Right. And so mine was up around that mill. They, the,"
Gus Gamble:,00;16;31;17,00;16;47;21,"Older homes. That was the old, old, Bay clerk and, read all of the boys up from Nauvoo. Old hurry and, Yeah. And, how old?"
